Year,SampleID,SampleType,EventID,SamplingLocation,SamplingSite,EventDate,RecordedBy,DecimalLatitude,DecimalLongitude,VolumeFiltered (mL),FilterType,OccurrenceStatus,New_OccurrenceStatus,SMB Ct_1,SMB Ct_2,SMB Ct_3,SMB Pg/L_1 ,SMB Pg/L_2,SMB Pg/L_3,SMB Copies/L_1 ,SMB Copies/L_2,SMB Copies/L_3
2019,r19D:1915,Field blank,2019-r19D:1915,NA,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1916,Sample,2019-r19D:1916,McKiel Bogan,Site 1,8/27/2019,DFO Gulf,46.50335,-66.96510,325,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1917,Sample,2019-r19D:1917,McKiel Bogan,Site 1,8/27/2019,DFO Gulf,46.50335,-66.96510,350,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1918,Sample,2019-r19D:1918,McKiel Bogan,Site 1,8/27/2019,DFO Gulf,46.50335,-66.96510,425,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1919,Sample,2019-r19D:1919,McKiel Bogan,Site 2,8/27/2019,DFO Gulf,46.49888,-66.95682,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1920,Sample,2019-r19D:1920,McKiel Bogan,Site 2,8/27/2019,DFO Gulf,46.49891,-66.95677,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1921,Sample,2019-r19D:1921,McKiel Bogan,Site 2,8/27/2019,DFO Gulf,46.49886,-66.95685,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1922,Sample,2019-r19D:1922,SWM River,Site 3,8/27/2019,DFO Gulf,46.49718,-66.95809,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1923,Sample,2019-r19D:1923,SWM River,Site 3,8/27/2019,DFO Gulf,46.49707,-66.95817,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1924,Sample,2019-r19D:1924,SWM River,Site 3,8/27/2019,DFO Gulf,46.49698,-66.95823,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
