Year,SSB_spring,SSB_spring 95% low,SSB_spring 95% high,SSB_spring 50% low,SSB_spring 50% high,SSB_fall North,SSB_fall North 95% low,SSB_fall North 95% high,SSB_fall Middle,SSB_fall Middle 95% low,SSB_fall Middle 95% high,SSB_fall South,SSB_fall South 95% low,SSB_fall South 95% high,SSB_fall Total,SSB_fall Total 95% low,SSB_fall Total 95% high
1978,87.4003,64.56025,123.657025,77.461225,99.582975,25.2876,20.741125,28.47103,13.883,11.8552475,16.3815475,20.2575,16.3464375,25.8551175,59.45995,53.3281675,66.63549
1979,65.36615,48.79538,94.3457525,57.925325,74.867125,11.4654,8.36985875,13.2636375,12.30405,11.0521,14.10383,29.2253,22.905975,33.629,53.20665,44.8209875,58.16845
1980,42.62485,28.523915,68.13818,36.6843,50.869725,8.7226,7.0506395,11.2211175,8.567845,7.19964825,9.95105025,23.508,20.3884775,27.0770525,40.8485,36.664985,45.8911275
1981,36.1028,20.2391225,65.357255,29.136675,45.6209,17.45645,13.732495,22.60408,12.37795,10.835445,14.469925,29.11645,24.252345,35.7813475,59.1001,52.2660875,67.83299
1982,41.268,23.51767,74.6797425,33.4538,51.8535,31.7799,24.71608,38.24916,11.3696,9.40712525,13.3109625,40.48915,33.0775425,51.8372575,83.6585,72.978035,96.9126525
1983,73.64835,43.4496,127.21525,60.395075,91.66175,43.8624,34.8642825,56.96822,11.5298,9.82912225,13.710615,53.60015,42.7237175,67.650065,110.199,94.0552625,126.6662
1984,116.8095,70.929375,193.1733,96.782525,144.56325,65.57625,55.042065,81.4748775,14.61115,12.098285,18.7735175,82.7165,69.2108925,113.854225,163.0625,143.049525,202.10905
1985,149.9465,95.80556,240.37615,126.92125,182.28575,75.59465,64.356645,90.031385,16.2597,13.50707,20.5270625,83.43705,71.842165,109.6391,176.2695,155.0488,205.948125
1986,186.1035,127.3049,286.91665,160.2685,222.21675,83.44865,72.057525,102.301,14.9323,12.016085,18.212525,98.57355,82.5412625,126.4994,197.8615,175.812725,228.5095
1987,152.6865,107.826775,229.487125,133.02275,181.125,86.37245,77.45407,106.6964,16.95295,13.51232,21.5866575,126.4625,103.700475,163.8364,230.064,205.140725,268.799675
1988,131.2735,94.751865,195.55965,115.024,155.5865,83.178,73.4181275,99.7862775,20.97315,16.6162475,25.6908925,117.641,97.6011875,151.2049,221.5525,198.041325,257.110875
1989,107.1925,77.5745125,160.97215,94.21075,127.812,78.133,68.9596225,92.582865,15.84865,12.531035,19.3199125,91.1702,75.5196575,116.038025,185.1445,164.605425,211.111175
1990,104.188,75.591865,157.615975,91.367325,124.75625,66.00315,58.038785,75.89177,17.96545,14.710285,22.2447425,86.78295,71.09208,107.890875,171.7305,150.823675,193.989
1991,112.233,80.278095,170.917175,98.1077,134.935,75.51045,64.0169175,88.4097,37.15245,31.205285,47.5640225,97.3325,77.81527,124.268025,210.194,187.72485,243.635375
1992,172.95,123.211625,266.7521,149.854,210.41925,87.99025,77.147545,102.17725,40.7004,35.0082525,49.99912,100.4215,82.198525,124.3495,230.624,205.689925,258.73775
1993,167.198,122.172875,256.142025,146.195,203.56725,71.02635,60.7161125,84.402345,33.8098,28.968355,40.3994775,87.89355,74.07298,105.103375,194.0925,172.91335,213.195425
1994,144.6735,105.9013,221.918825,126.83525,175.38075,78.02835,70.71369,86.96588,35.27575,30.87929,41.504175,86.45875,75.333305,102.967125,200.656,184.14305,221.7204
1995,189.099,139.28335,289.1302,166.17075,233.417,51.1599,47.6659275,57.519505,32.4938,29.2726175,37.0340575,69.7942,61.462915,84.7202175,153.7215,142.84795,170.80225
1996,137.4045,102.4373,208.54455,121.25925,169.5535,38.07225,34.7325875,41.7975475,26.5677,23.6881525,29.46511,67.8376,59.612925,79.4159025,132.56,121.63445,145.86415
1997,113.7515,85.45391,171.8477,100.8415,140.625,31.47905,28.3914425,34.9334125,20.3011,18.3499725,22.875065,54.3739,47.188675,64.3132725,106.43,97.95763,115.394675
1998,93.06335,71.1467625,139.385425,83.292,114.92225,32.0989,29.3811775,35.210345,23.18685,20.3356375,27.26248,65.6871,55.625115,75.9278125,121.2395,110.58625,131.878225
1999,72.19255,55.8099625,106.610375,65.127,88.199475,42.8644,39.702735,48.21849,30.00325,26.60606,33.542435,75.13925,64.3182175,90.6984475,148.089,135.681175,167.741225
2000,61.365,48.02623,90.6069825,55.5896,74.111525,46.6366,43.09579,50.650265,34.43715,29.2767275,38.71228,83.695,68.8946175,112.063475,164.135,146.575,196.844375
2001,52.5517,41.119945,80.42123,47.377075,64.15765,46.1762,42.707445,50.5106575,32.07875,26.8186225,37.6777425,81.7128,64.833375,112.15395,159.3305,141.178275,193.38675
2002,38.6047,30.1967725,61.1211775,34.723675,47.615775,45.0189,41.358795,49.1607625,37.1719,31.809885,45.024995,134.8705,110.396375,195.3964,217.416,193.20195,279.1047
2003,32.26035,24.921975,53.316315,28.831625,40.89905,40.76595,36.85209,45.336325,42.54115,35.4664775,51.437545,155.962,124.603675,239.11425,239.145,207.862925,325.9609
2004,22.5193,16.7464425,39.0210825,19.847,29.08945,40.4077,36.5949925,45.0380825,53.7324,44.96578,62.766955,181.361,136.0039,288.843225,274.665,231.78025,382.502475
2005,25.2718,16.930615,46.3813125,21.3708,33.674525,52.61845,47.519075,60.8480775,52.37335,43.3923825,63.441065,195.2805,148.534075,313.861,299.9185,255.505675,419.6282
2006,24.9822,16.193095,47.047945,20.910425,33.546275,60.03705,54.48367,70.2642575,51.64415,41.0285475,63.66524,188.6405,141.28895,304.57145,300.59,255.653775,414.021125
2007,30.693,19.68078,57.0227775,25.725325,40.500675,53.0954,46.7301975,67.2097525,46.68765,35.5618825,57.5517725,155.6725,115.1887,251.390125,254.354,214.888625,352.9556
2008,36.76365,23.069165,68.5869425,30.59055,48.308725,64.7183,52.43889,82.169825,66.44195,49.5454875,86.3162525,195.03,147.801725,303.976475,324.357,276.269375,438.74955
2009,39.092,24.92208,72.1334575,32.750725,51.062175,107.3605,88.9120525,139.28465,89.31835,66.101755,121.281375,232.301,172.963875,360.33665,429.635,366.5317,556.807675
2010,44.89895,28.833975,80.1053075,37.892575,57.601475,135.5265,112.718775,170.0963,100.0275,73.3850375,138.336025,244.7075,178.196825,382.168575,484.0835,411.3216,619.3054
2011,43.5632,28.54774,77.5984325,36.93225,55.801525,171.0145,139.7681,210.969275,106.2265,76.63693,151.063075,229.8585,166.597525,363.650125,511.668,437.42955,639.5531
2012,40.0972,26.5095,70.8970225,33.755225,51.014975,186.3715,151.9057,228.097325,89.4477,62.7374825,128.173475,180.792,128.5306,288.0501,461.591,398.3626,560.2432
2013,39.2582,26.06728,68.8447075,33.2133,49.777175,209.55,172.2309,250.2452,84.1681,61.0731125,116.7722,145.3805,106.15465,232.943675,442.0015,385.778675,526.53945
2014,37.74715,24.852145,66.2567325,32.0791,48.254575,203.625,166.59765,240.127675,76.5902,57.3919675,103.511175,115.145,84.247595,182.622075,397.203,347.650125,468.64855
2015,33.37815,21.74078,58.3639525,28.4676,42.6611,175.927,141.969625,210.293025,73.4586,56.6517525,97.11119,95.8719,69.28394,147.933175,345.7065,303.026475,410.895075
2016,31.79045,20.2152025,55.9623475,27.18465,40.773325,166.015,135.038675,198.909925,70.146,54.7855,90.9335875,104.293,73.1108225,163.3862,338.034,298.15585,420.2944
2017,43.85855,27.54511,77.5084025,37.385925,56.4182,141.873,115.3985,168.983225,59.09445,46.5786625,75.1599075,98.3101,69.1910425,152.345075,297.2705,263.388475,371.74255
2018,45.54355,28.6841625,80.9385375,38.77065,58.889275,107.04,86.2063325,129.416025,47.2495,36.68499,59.7040425,72.789,51.27167,112.508225,225.6605,199.9257,283.892325
2019,40.4435,25.4230175,72.543145,34.231975,52.302575,84.729,67.7062,104.429575,41.26975,32.18649,53.632075,75.9636,53.36272,112.26105,200.889,173.4751,256.62725
2020,38.4024,23.771475,69.8934575,32.319625,49.643175,58.58895,45.06178,74.56586,41.68,31.9480125,56.1129275,68.06705,46.79645,96.52523,168.8495,140.075625,211.198175
2021,35.6256,22.01265,66.95018,29.720975,45.890675,45.66425,34.7910825,62.10859,38.0729,28.6962825,52.4705875,58.9708,41.7823025,87.9829925,144.0075,116.993975,185.44285
