"year","biomass.median_biomasse.médiane","biomass.025_biomasse.025","biomass.25_biomasse.25","biomass.75_biomasse.75","biomass.975_biomasse.975"
1961,56374.2281021433,30317.2880251793,45636.3987820516,69973.3207049247,106742.318862022
1962,52106.3624869542,27462.0185987339,41887.3266652469,65187.5580909975,101750.406015058
1963,48309.6724983657,24150.187582137,38334.3054208541,60336.8892187878,96640.2578624197
1964,45550.4536492581,23341.5363201784,36403.1150413797,57331.3017211039,92932.5014206327
1965,43283.536557857,21565.8477058465,34408.1459750321,54563.6966294151,91598.7356297438
1966,40542.4919487218,20632.3316726805,32606.2031711958,51584.590899375,84640.636685729
1967,39451.0278190202,20706.9034946756,31448.3911518243,49609.8026125386,78879.9892080379
1968,37446.2713700938,20066.2613312769,30215.4686514241,46538.1055395957,75187.5975151582
1969,35053.6964783737,19272.657653822,28575.4580567506,43158.3222197972,66694.2718008965
1970,31450.405532666,17819.4537401774,25821.5281345236,38434.9864586144,55862.8853124975
1971,28614.7042611983,16207.5176243356,23581.9935489356,34308.2952253513,47734.3979851597
1972,27736.1142602038,16072.8720740113,23013.4493739875,33116.1998449755,45439.6043212096
1973,28358.4335934589,16838.7574323703,23758.7986854523,33621.5850699499,45809.9922134441
1974,28265.3911615832,17280.4301497401,23968.8839975662,33303.8925048518,45702.8096411463
1975,29702.1875487289,18885.7329559374,25417.9315474637,34725.2850494718,47628.8971192013
1976,26348.881370188,15734.3501059735,21941.7158366839,31786.4207123509,45325.2560083315
1977,26479.2726046454,16229.2184683787,21949.3189933261,31864.1635262361,45628.2845102808
1978,21833.2995608594,13140.7582858804,18220.8618643017,26399.2297985498,36651.4926564049
1979,18990.2604241772,11215.9017743606,15561.4658271373,23051.5220053949,32896.4996113199
1980,15188.7212305235,8670.22768513555,12378.5162044973,18587.8043835534,26621.5982380502
1981,13361.7968461024,7516.87890659361,10919.4990977031,16040.293142495,22622.6565511169
1982,12120.8702230921,6803.37352776557,9959.92531481202,14757.556901017,20298.8341275862
1983,11682.372432936,6509.16613234156,9565.63235347673,14186.9365893936,19276.175199487
1984,12196.0328962456,6978.58662243138,10215.0774726291,14526.7070473983,19902.4034495038
1985,13304.6197483607,7941.6450272209,11266.7730083951,15703.63494681,21243.3058208905
1986,15176.2268677279,9368.86746328962,12804.092652867,18104.1145162877,24529.7604266344
1987,15623.2334019966,9736.07621257058,13132.6988803515,18429.1566232235,25211.1129297826
1988,15261.8820581402,9116.33205513803,12696.6631204479,18259.3721912366,25217.7263430459
1989,13621.3608186264,7851.4617118662,11259.6162678494,16432.3947123454,23057.4554196178
1990,11897.4927929093,6794.07386035952,9854.84315097304,14184.1996357039,20246.5491374965
1991,9416.05557611381,5539.11063637638,7864.86935265431,11210.5251063306,15434.6108558909
1992,7049.15311529634,4110.98768143322,5887.79060227207,8348.51748217956,11511.6271171896
1993,5707.98424534899,3136.08294312042,4635.48080636979,6891.15365218654,9759.13871765517
1994,5914.32802542904,3284.45915696167,4832.29411051734,7170.75733601761,9909.58845058567
1995,6008.03760655876,3428.45115013525,4974.44265160443,7236.43880053082,10199.6424146543
1996,6404.74491556693,3699.76878192344,5309.34952071649,7713.27518276045,10729.8435022386
1997,6568.24305226809,3852.67955915389,5457.22571285507,7878.55562262164,10997.5344278416
1998,7301.48386008186,4358.43074925766,6048.34843859766,8720.48529497817,12101.1319185283
1999,8255.34467744537,4941.94510862356,6811.49814552434,9962.89974771163,14179.6960475793
2000,8429.20269210515,4975.61523030197,6999.60359648464,10378.775443339,14954.8595614004
2001,8363.89460069153,4903.98718355551,6942.74274375413,10076.9490944417,14197.0675744071
2002,8140.44876144094,4771.66467542296,6746.89067817136,9853.4275106783,13845.6460259502
2003,7845.6398120023,4762.48301516611,6622.67667427349,9407.78528084799,12995.2690424161
2004,7789.54985821592,4667.04250266462,6507.3991070224,9231.0882471196,12705.6728944609
2005,7876.7988906047,4676.18222429185,6566.90384084265,9472.26239162338,13256.0516963833
2006,7509.42144698776,4349.32991787929,6208.20353256597,9070.63217352516,12889.3343668213
2007,6716.59891856259,3891.24429287528,5602.24373291452,8057.18650200127,11140.3282163294
2008,6596.93965344003,3778.36340997125,5413.83317676802,7895.81374720317,10952.3829783933
2009,6260.19071521934,3592.62844721127,5192.01956690098,7573.0365925564,10462.4408725399
2010,6757.3008635189,3914.84745027956,5593.67895050327,8086.02048164279,11213.8097379812
2011,7163.90424072484,4231.6536709346,5941.72718545985,8564.29969870251,11905.3798712418
2012,8783.45707893498,5040.71376887642,7298.54483371808,10535.1524725359,14665.3348174983
2013,9655.59582026037,5533.72201812214,7977.26189603591,11638.892745541,16002.573948416
2014,11329.4803160603,6563.23334008015,9375.14184420858,13611.702812139,18718.7314018308
2015,12337.3694937463,7230.33666288936,10158.5965276927,14831.8406204146,20515.8878853363
2016,13426.6864762554,7807.6838829607,11125.1309112677,16105.4424838739,22468.4678719681
2017,14647.7487952113,8617.39494739792,12136.7072499388,17546.0006388203,24505.5958418584
2018,14333.6333747806,8422.57665373779,11975.6355828511,17245.3659150903,23894.4303437697
2019,15578.2882474293,9130.01696179774,12997.8509445101,18826.3871854302,26412.4938510917
2020,16872.9859659633,9518.82816032846,13910.3599947784,20652.1604945192,29416.6694099982
2021,17767.6606600429,9757.98949271648,14504.1413889923,21899.3786931689,32056.681000607
