Species_code__code_espèce,Common_name_en__nom_commun_en,Common_name_en__nom_commun_fr,Scientific_name__nom_scientifique,ITIS_TSN
ALW,Alewife (Gaspereau),Gaspereau,Alosa pseudoharengus,161706
ALOSA ,Alosa sp. (Alewife or blueback herring),Alosa sp. (Gaspereau ou Alose d'été),Alosa,161701
EEL,American Eel,Anguille d'Amérique,Anguilla rostrata,161127
SLA,American Sand Lance,Lancon d'Amérique,Ammodytes americanus,171673
MAK,Atlantic Mackerel,Maquereau bleu,Scomber scombrus,172414
SAL,Atlantic Salmon,Saumon d'Atlantique,Salmo salar,161996
SILV,Atlantic Silverside,Capucette d'Atlantique,Menidia menidia,165994
TOM,Atlantic Tomcod,Poulamon d'Atlantique,Microgadus tomcod,164720
KIL,Banded Killifish,Fondule barrée,Fundulus diaphanus,165646
BSS,Blackspotted Stickleback,Épinoche tachetée,Gasterosteus wheatlandi,166385
HER,Blueback Herring,Alose d'été,Alosa aestivalis,161703
BRST,Brook stickleback,Épinoche a cinq épines,Culaea inconstans,166399
BTR,Brook Trout,Truite mouchetée,Salvelinus fontinalis,162003
BBUL,Brown Bullhead,Barbotte Brune,Ameiurus nebulosus,164043
BRFU,Brown fuzzy algae,Algue brune filamenteuse,Pilayella littoralis,10824
BWT,Brown Trout,Truite brune,Salmo trutta,161997
CHU,Chub Species,Espèces Chub,Alburnoides,163713
COBR,Common brown algae,Algue brune commune,Phaeophyta,660055
CORE,Common red algae,Algue rouge commune,Rhodophyta,660046
CUN,Cunner,Tanche-tautogue,Tautogolabrus adspersus,170481
CYPR,Cyprinidae family,Famille Cyprinidae,Cyprinidae,163342
ZOMA,Eelgrass,Zostere marine,Vallisneria ,38950
FLOU,Flounder sp.,Plies sp.,Pleuronectiformes,172702
4SS,Fourspine Stickleback,Épinoche a quatre épines,Apeltes quadracus,166397
GAST,Gasterosteus sp.,Gasterosteus sp.,Gasterosteus,166364
GSH,Grass Shrimp,Crevette d'herbe,Palaemonetes,96391
GRAL,Green algae,Algue verte,Chlorophyta ,5414
GCR,Green Crab,Crabe vert,Carcinus maenas,98734
COFR,Green Fleece,Codium Fragile,Codium fragile,6897
GRUB,Grubby,Crapaud de mer nain,Myoxocephalus aenaeus,167321
KELP,Kelps,Laminaires,Laminariales,11211
LCR,Lady Crab,Crabe calico (demoiselle),Ovalipes ocellatus,98714
LACH,Lake Chub,Mené à lac,Couesius plumbeus,163535
MCR,Mud Crab,Crabe de vase,Panopeus herbstii,98778
MUM,Mummichog,Choquemort,Fundulus heteroclitus,165647
9SS,Ninespine Stickleback,Épinoche a neuf épines,Pungitius pungitius,166387
PIP,Northern Pipefish,Syngnate brun,Syngnathus fuscus,166451
SMEL,Rainbow Smelt,Éperlan arc-en-ciel,Osmerus mordax,162041
RTR,Rainbow Trout,Truite arc-en-ciel,Oncorhynchus mykiss,161989
RCR,Rock Crab,Crabe de roche (commun),Cancer irroratus,98679
GUN,Rock Gunnel,Sigouine de roche,Pholis gunnellus,171645
FUCU,Rockweed,Espece Fucus,Pilea microphylla,19133
SSH,Sand Shrimp,Crevette de sable,Crangon septemspinosa,97110
SCU,Shorthorn Sculpin,Chaboisseau à épines courtes,Myoxocephalus scorpius,167318
ROCK,Silver Rockling ,Mustèle argentée,Gaidropsarus argentatus,164768
SFL,Smooth Flounder,Plie lisse,Pleuronectes putnami,172914
SBA,Striped Bass,Bar rayé,Morone saxatilis,167680
3SS,Threespine Stickleback,Épinoche a trois épines,Gasterosteus aculeatus,166365
TRO,Trout Species,Espèces truites,Salmonidae,161931
UNK,Unknown species,Espèce inconnue,,
BAR,White Barracudina ,Lussion blanc,Arctozenus risso,644687
WHHA,White Hake,Merluche blanche,Urophycis tenuis,164732
PER,White Perch,Bar-perche,Morone americana,167678
WHSU,White Sucker,Menier Noir,Catostomus commersonii,553273
RUMA,Widgeon grass,Ruppie maritime,Ruppia maritima,39063
WNFL,Windowpane Flounder ,Turbot de sable,Scophthalmus aquosus,172746
WFL,Winter Flounder,Plie rouge,Pseudopleuronectes americanus,172905
SKAT,Winter Skate ,Raie tachetée,Leucoraja ocellata,564145
YEFL,Yellowtail Flounder,Limande à queu jaune,Limanda ferruginea,172909
