year / année,site / site,station / station,latitude / latitude,longitude / longitude,number of samples / nombre d'échantillons,mean water temperature / température moyenne de l'eau,mean salinity / salinité moyenne,mean dissolved oxygen / oxygène dissous moyen,total species observed / total des espèces observées,total yoy measured / total des jeunes mesurés,total adults measured / total des adultes mesurés,SAV was reported / VAS a été rapporté
2009,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,4,17.375,21.425,9.027,34,280,4351,True
2010,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,5,17.38,21.56,8.888,46,281,5925,True
2011,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,20.967,19.667,8.857,27,60,2180,True
2012,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,21.0,23.62,10.487,33,443,1653,True
2013,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,20.333,23.86,8.533,28,379,2499,True
2014,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,19.133,25.413,7.213,27,75,1382,True
2015,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,24.3,23.797,8.473,23,199,1092,True
2016,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,18.067,24.6,8.66,30,181,2266,False
2017,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,3,19.867,26.51,7.673,32,142,1015,True
2018,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,1,16.2,25.38,9.65,11,0,875,False
2019,Cap-Pelé (NB),Aboujagane River,46.22155,-64.39916,1,15.7,19.95,8.19,10,1,841,False
2019,Trout River (PE),Across Hinton Lane,46.442195,-63.469822,1,19.6,21.57,9.98,10,0,2480,True
2004,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,14.52,28.16,8.426,46,197,2394,True
2005,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,14.04,27.62,7.882,30,115,1569,True
2006,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,15.9,27.56,8.15,26,20,256,True
2007,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,15.84,26.74,7.7,31,35,3314,True
2008,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,17.16,25.38,7.972,44,209,5344,True
2009,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,16.96,27.72,8.74,29,4452,708,True
2010,Basin Head (PE),Across Lagoon,46.384835,-62.109143,4,18.15,26.075,7.595,29,204,4027,True
2011,Basin Head (PE),Across Lagoon,46.384835,-62.109143,4,15.025,27.375,7.603,30,95,2621,True
2012,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,17.3,24.78,8.074,31,207,6670,True
2013,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,18.35,24.293,8.263,36,240,7701,True
2014,Basin Head (PE),Across Lagoon,46.384835,-62.109143,5,14.14,26.754,8.474,28,26,3345,True
2015,Basin Head (PE),Across Lagoon,46.384835,-62.109143,3,17.467,25.987,9.767,29,11,2648,True
2016,Basin Head (PE),Across Lagoon,46.384835,-62.109143,3,17.867,25.867,6.517,23,58,653,True
2017,Basin Head (PE),Across Lagoon,46.384835,-62.109143,3,18.033,27.15,8.193,19,266,443,True
2018,Basin Head (PE),Across Lagoon,46.384835,-62.109143,1,18.9,25.76,7.8,9,3,645,True
2019,Basin Head (PE),Across Lagoon,46.384835,-62.109143,3,18.933,25.97,7.93,25,10,3875,True
2004,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,14.0,28.28,8.396,39,101,1935,True
2005,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,14.02,27.98,8.164,39,71,1680,True
2006,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,15.86,27.44,8.402,31,78,1344,True
2007,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,16.04,26.64,8.424,31,5,2634,True
2008,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,16.62,26.06,8.118,40,633,10085,True
2009,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,16.08,28.34,8.774,33,96,2428,True
2010,Basin Head (PE),Across Slipway,46.382572,-62.110019,4,17.975,27.525,8.13,28,150,1712,True
2011,Basin Head (PE),Across Slipway,46.382572,-62.110019,4,15.05,27.425,7.74,33,58,1398,True
2012,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,16.38,22.32,8.708,33,106,9259,True
2013,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,17.35,23.83,8.438,35,135,6935,True
2014,Basin Head (PE),Across Slipway,46.382572,-62.110019,5,14.06,26.808,8.746,19,13,2766,True
2015,Basin Head (PE),Across Slipway,46.382572,-62.110019,3,17.3,26.353,10.27,21,10,3286,True
2016,Basin Head (PE),Across Slipway,46.382572,-62.110019,3,17.1,26.067,6.933,23,40,1148,True
2017,Basin Head (PE),Across Slipway,46.382572,-62.110019,3,17.7,27.12,8.267,19,75,1200,True
2018,Basin Head (PE),Across Slipway,46.382572,-62.110019,1,18.0,26.38,8.22,3,0,684,True
2019,Basin Head (PE),Across Slipway,46.382572,-62.110019,3,18.633,26.34,7.913,25,39,6450,True
2005,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,4,20.8,26.575,9.138,25,0,4515,True
2006,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,2,16.4,27.0,7.9,10,9,113,True
2007,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,5,15.96,26.96,8.508,27,36,3856,True
2008,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,5,15.9,23.12,8.804,20,67,3629,True
2009,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,5,14.48,26.44,9.326,18,28,1681,True
2010,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,5,18.26,26.74,8.818,24,881,1885,True
2011,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,16.8,26.067,8.077,11,118,1194,True
2012,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,21.267,25.133,9.207,11,9,2868,False
2013,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,18.467,27.657,9.67,13,84,2876,True
2014,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,18.367,26.383,10.867,12,12,979,True
2015,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,19.533,25.61,10.573,12,1,1535,True
2016,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,16.7,24.6,8.197,17,173,3537,True
2017,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,3,16.8,25.46,7.487,17,117,1382,True
2018,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,1,13.5,27.66,8.85,5,0,19,False
2019,Brudenell-Montague (PE),Aitken Point,46.172776,-62.547863,1,15.6,27.7,11.43,7,0,437,True
2004,Mill River (PE),Al Peter's,46.758934,-64.141007,5,17.078,22.136,9.92,33,6966,4459,True
2005,Mill River (PE),Al Peter's,46.758934,-64.141007,5,18.1,19.06,8.84,39,554,2040,True
2006,Mill River (PE),Al Peter's,46.758934,-64.141007,5,19.36,22.74,6.756,36,610,2023,True
2007,Mill River (PE),Al Peter's,46.758934,-64.141007,5,19.38,22.58,8.074,33,92,3040,True
2008,Mill River (PE),Al Peter's,46.758934,-64.141007,5,17.44,18.54,9.486,38,1084,6573,True
2009,Mill River (PE),Al Peter's,46.758934,-64.141007,5,17.56,14.94,10.81,30,1244,2698,True
2010,Mill River (PE),Al Peter's,46.758934,-64.141007,5,19.92,21.84,7.905,33,2751,8111,True
2011,Mill River (PE),Al Peter's,46.758934,-64.141007,3,20.3,18.933,6.967,28,213,1632,True
2012,Mill River (PE),Al Peter's,46.758934,-64.141007,3,21.2,20.967,13.327,8,210,1258,True
2013,Mill River (PE),Al Peter's,46.758934,-64.141007,3,20.467,20.407,8.647,20,248,5934,True
2014,Mill River (PE),Al Peter's,46.758934,-64.141007,3,22.1,20.073,9.377,18,330,5358,True
2015,Mill River (PE),Al Peter's,46.758934,-64.141007,3,21.4,22.343,10.3,30,108,4486,True
2016,Mill River (PE),Al Peter's,46.758934,-64.141007,3,20.967,19.933,8.74,18,551,1352,True
2017,Mill River (PE),Al Peter's,46.758934,-64.141007,3,20.3,22.143,6.703,15,12,1612,True
2018,Mill River (PE),Al Peter's,46.758934,-64.141007,1,17.5,21.99,9.52,8,2,1441,True
2019,Mill River (PE),Al Peter's,46.758934,-64.141007,1,18.9,15.57,10.69,5,5,1063,True
2007,Shediac River (NB),Albert Gallant,46.279518,-64.572578,5,20.62,23.92,9.132,32,1283,5776,True
2008,Shediac River (NB),Albert Gallant,46.279518,-64.572578,5,17.92,21.76,8.22,37,113,1249,True
2009,Shediac River (NB),Albert Gallant,46.279518,-64.572578,5,18.74,22.27,9.076,38,281,1349,True
2010,Shediac River (NB),Albert Gallant,46.279518,-64.572578,5,18.5,24.096,7.47,30,233,755,True
2011,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,20.433,22.1,7.363,21,60,735,True
2012,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,22.54,23.683,7.237,21,18,778,True
2013,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,21.667,22.197,7.807,20,195,472,True
2014,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,20.967,19.797,7.91,17,6,241,True
2015,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,23.533,21.883,7.807,18,56,354,True
2016,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,18.433,21.203,10.4,23,15,1113,True
2017,Shediac River (NB),Albert Gallant,46.279518,-64.572578,3,20.067,24.647,6.497,23,31,285,True
2018,Shediac River (NB),Albert Gallant,46.279518,-64.572578,1,14.8,23.54,10.4,9,0,1518,False
2019,Shediac River (NB),Albert Gallant,46.279518,-64.572578,1,18.5,23.98,8.25,11,0,306,False
