name__nom,datafile__fiche de donnée,description_en,description_fr
Site__Site,all raw data files,Site from which the data were collected,Site où les données ont été collectées
Lat,Siphon coords,The latitudinal coordinate in degree decimal,Coordonnées latitudinales en degrés décimaux.
Long,Siphon coords,The longitudinal coordinate in degree decimal,Coordonnées longitudinales en degrés décimaux.
Sampling date__Date d'échantillonnage,Clam-hole ID + size ; Clam-hole counts,Date on which the site was sampled,Date de l'échantillonnage du site
Hole ID__ID du trou,Clam-hole ID + size,"Siphon hole ID number, valued sequentially according to the order in which siphon holes were assessed and sampled. Numbers with letters (after Hole ID 50) represent resampled hole ID due to holes being misidentified or belonging to a dead Mya","Numéro d'identification du trou de siphon, évalué séquentiellement selon l'ordre dans lequel les trous de siphon ont été évalués et échantillonnés. Les chiffres avec des lettres (après Hole ID 50) représentent des trous rééchantillonnés en raison de trous mal identifiés ou appartenant à un Mya mort."
Predicted species__Espèces prédites,Clam-hole ID + size,The species that the siphon hole was predicted to belong to; all siphon holes included in the dataset were originally predicted to belong to Mya,L'espèce à laquelle le trou de siphon était censé appartenir ; tous les trous de siphon inclus dans l'ensemble de données étaient initialement censés appartenir à Mya.
Actual species__Espèces actuelles,Clam-hole ID + size,The actual species or animal that the siphon hole belonged to,L'espèce ou l'animal auquel appartenait le trou de siphon
ID correct?__Id correcte ?,Clam-hole ID + size,"Whether or not the actual species was the same as the predicted species; labelled 'Yes' if the predicted species and actual species were the same, labelled 'No' if the  predicted species and actual species were not the same","Si l'espèce réelle était ou non la même que l'espèce prédite ; étiqueté ""Oui"" si l'espèce prédite et l'espèce réelle étaient les mêmes, étiqueté ""Non"" si l'espèce prédite et l'espèce réelle n'étaient pas les mêmes."
Correct ID binary__ID binaire correct,Clam-hole ID + size,"Binary coded factor for ""ID correct?""; labelled 1 if ""ID correct?"" = 'Yes', labelled 0 if ""ID correct?"" = 'No'","Facteur codé de façon binaire pour ""ID correct ?""; étiqueté 1 si ""ID correct ?"" = ""Oui"", étiqueté 0 si ""ID correct ?"" = ""Non""."
Hole length (mm)__Longueur du trou (mm),Clam-hole ID + size,The length of the siphon hole as measured with a digital caliper (in millimeters),La longueur du trou du siphon mesurée avec un pied à coulisse numérique (en millimètres).
Clam shell length (mm)__Longueur de la coquille (mm),Clam-hole ID + size,The shell length of the clam that the siphon hole belonged to as measured with a digital caliper (in millimeters),"Longueur de la coquille de la palourde à laquelle appartenait le trou de siphon, mesurée à l'aide d'un pied à coulisse numérique (en millimètres)."
Clam wet weight (g)__Poids humide de la mye (g),Clam-hole ID + size,The wet weight of the clam that the siphon hole belonged to as measured with a field scale (in grams),"Le poids humide de la mye à laquelle appartenait le trou de siphon, mesuré à l'aide d'une balance de terrain (en grammes)."
Quadrat__Quadrat,Clam-hole counts,"Quadrat ID number, valued sequentially according to the order in which quadrats were sampled","Numéro d'identification du quadrat, évalué séquentiellement selon l'ordre dans lequel les quadrats ont été échantillonnés."
Distance along transect__Distance le long du transect,Clam-hole counts,Distance along quadrat that the sample was taken (in meters); distances were randomized using the RANDBETWEEN() function in MS Excel,Distance le long du quadrat où l'échantillon a été prélevé (en mètres) ; les distances ont été randomisées à l'aide de la fonction RANDBETWEEN() de MS Excel.
JC hole count__Nombre de trous JC,Clam-hole counts,Number of siphon holes within the quadrat counted by observer JC,Nombre de trous de siphons dans le quadrat compté par l'observateur JC
JH hole count_Nombre de trous JH,Clam-hole counts,Number of siphon holes within the quadrat by counted observer JH,Nombre de trous de siphon dans le quadrat par observateur compté JH
SH hole count__Nombre de trous SH,Clam-hole counts,Number of siphon holes within the quadrat by counted observer SH,Nombre de trous de siphon dans le quadrat par observateur compté SH
HH hole count__Nombre de trous HH,Clam-hole counts,Number of siphon holes within the quadrat by counted observer HH,Nombre de trous de siphon dans le quadrat par observateur compté HH
IB hole countNombre de trous IB,Clam-hole counts,Number of siphon holes within the quadrat by counted observer IB,Nombre de trous de siphon dans le quadrat par observateur compté IB
Clam count >20mm__Nombre de myes >20mm,Clam-hole counts,Number of clams collected from the quadrat with a shell length greater than 20mm ,Nombre de myes collectées dans le quadrat dont la longueur de la coquille est supérieure à 20 mm 
Clam count <20mm__Nombre de myes <20mm,Clam-hole counts,Number of clams collected from the quadrat with a shell length less than 20mm ,Nombre de myes collectées dans le quadrat dont la longueur de la coquille est inférieure à 20 mm 
Total clam count__Nombre total de myes,Clam-hole counts,Total number of clams collected from the quadrat regardless of shell length,"Nombre total de myes collectées dans le quadrat, quelle que soit la longueur de la coquille."
Total clam wet weight__Poids humide total des myes,Clam-hole counts,"Total biomass of all clams collected from the quadrat (wet weight, in grams)","Biomasse totale de toutes les myes collectées dans le quadrat (poids humide, en grammes)"
Include/Exclude__Inclus/Exclus,Clam-hole counts,"Whether or not the sample was included or excluded from the analysis; rationales for any exclusions are provided in the ""Reason for exclude"" column","L'échantillon a été inclus ou exclu de l'analyse ; les raisons de toute exclusion sont indiquées dans la colonne ""Raison de l'exclusion""."
Notes__Notes,Clam-hole counts,General notes recorded during sampling,Notes générales enregistrées lors de l'échantillonnage
Reason for exclude__Raison de l'exclusion,Clam-hole counts,Rationale for excluding a sample from the analysis,Justification de l'exclusion d'un échantillon de l'analyse
#__#,Temperature,"Sequential sample ID number. Numbers do not always start at 1 due to different logger deployment times. Data for each site are trimmed to common sampling dates across sites (June 1 - October 24, 2023)",Numéro d'identification séquentiel de l'échantillon. Les numéros ne commencent pas toujours à 1 en raison des différentes heures de déploiement des enregistreurs. Les données de chaque site sont réduites aux dates d'échantillonnage communes à tous les sites (du 1er juin au 24 octobre 2023).
Date-Time (AST/ADT)__Date et heure (AST/ADT),Temperature,Date and time of each individual sample in Atlantic Standard Time,Date et heure de chaque échantillon individuel en heure normale de l'Atlantique
