sample,site,dish_ wgt,dish_wet sample_wgt,wet_wgt,dish_dry_sample_wgt,dry_wgt,dish_ash_sample_wgt,ash_wgt,moisture_content,organic_content
1,Shemogue,1.0078,35.5927,34.5849,29.2985,28.2907,29.004,27.9962,18.19927194,1.040978131
2,Shemogue,0.9968,31.5154,30.5186,26.0051,25.0083,25.7167,24.7199,18.05554645,1.153217132
3,Shemogue,0.9989,35.9661,34.9672,27.4457,26.4468,26.9927,25.9938,24.36683521,1.712872635
4,Powell's Cove,0.9993,30.1353,29.136,25.1529,24.1536,24.8423,23.843,17.10049423,1.285936672
5,Powell's Cove,1.0136,26.8429,25.8293,22.2231,21.2095,21.8375,20.8239,17.88588928,1.818053231
6,Powell's Cove,1.0086,36.5921,35.5835,29.6982,28.6896,29.3077,28.2991,19.3738671,1.361120406
7,Maisonnette,1.0005,47.3675,46.367,35.1502,34.1497,34.4133,33.4128,26.34912761,2.157852046
8,Maisonnette,0.9932,38.7691,37.7759,28.563,27.5698,28.1008,27.1076,27.01748999,1.676472082
9,Maisonnette,0.9959,43.0908,42.0949,32.6832,31.6873,32.1637,31.1678,24.72413523,1.639458079
10,Kouchibouguac,0.9987,35.7586,34.7599,28.3588,27.3601,28.0421,27.0434,21.28832361,1.157525009
11,Kouchibouguac,1.005,47.8546,46.8496,37.7316,36.7266,37.0863,36.0813,21.60744169,1.757037134
12,Kouchibouguac,1.0107,38.1715,37.1608,30.1749,29.1642,29.8281,28.8174,21.5189124,1.189129138
