Sample,Site,date,2mm wgt_dish,1mm wgt_dish,600um wgt_dish,250um wgt_dish,125um wgt_dish,63um wgt_dish,<63um wgt_dish,2mm wgt_no dish,1mm wgt_no dish,600um wgt_no dish,250um wgt_no dish,125um wgt_no dish,63um wgt_no dish,<63um wgt_no dish,Ash wgt before sieving,total sample wgt,% sample retained,Phi,SD (sorting)
DISH,,,1.5475,1.5025,1.4214,1.5521,1.4564,1.3781,1.5846,,,,,,,,,,,,
1,Shemogue,29-Aug-23,1.635,1.5947,1.6919,15.2341,9.8269,3.8897,4.0297,0.0875,0.0922,0.2705,13.682,8.3705,2.5116,2.4451,27.9962,27.4594,98.0826,2.6341,1.1119
2,Shemogue,29-Aug-23,2.2148,1.7198,1.7354,13.8738,8.8248,3.4115,2.9496,0.6673,0.2173,0.314,12.3217,7.3684,2.0334,1.365,24.7199,24.2871,98.2492,2.4122,1.1459
3,Shemogue,29-Aug-23,1.737,2.3598,2.3056,11.8895,8.3024,4.1412,4.5383,0.1895,0.8573,0.8842,10.3374,6.846,2.7631,2.9537,25.9938,24.8312,95.5274,2.6402,1.3625
4,Powell's Cove,28-Aug-23,1.9588,2.2132,2.7723,10.8605,8.1698,4.024,3.7718,0.4113,0.7107,1.3509,9.3084,6.7134,2.6459,2.1872,23.843,23.3278,97.8392,2.5149,1.3523
5,Powell's Cove,28-Aug-23,2.5331,1.9483,2.2844,8.5068,7.408,4.2203,4.1223,0.9856,0.4458,0.863,6.9547,5.9516,2.8422,2.5377,20.8239,20.5806,98.8316,2.6134,1.5396
6,Powell's Cove,28-Aug-23,3.6632,2.6735,3.0151,12.0481,9.182,4.1556,3.5189,2.1157,1.171,1.5937,10.496,7.7256,2.7775,1.9343,28.2991,27.8138,98.2851,2.1956,1.5288
7,Maisonette,14-Aug-23,1.6109,1.6841,1.8257,26.0691,5.398,3.2376,3.6691,0.0634,0.1816,0.4043,24.517,3.9416,1.8595,2.0845,33.4128,33.0519,98.9199,2.2893,1.0035
8,Maisonette,14-Aug-23,1.5475,1.6447,1.7058,21.9005,4.6628,2.6739,3.0975,0,0.1422,0.2844,20.3484,3.2064,1.2958,1.5129,27.1076,26.7901,98.8287,2.2602,0.9484
9,Maisonette,14-Aug-23,1.5666,1.6063,1.7532,24.9043,5.0669,2.8434,3.4303,0.0191,0.1038,0.3318,23.3522,3.6105,1.4653,1.8457,31.1678,30.7284,98.5902,2.2716,0.9652
10,Kouchibouguac,29-Aug-23,1.8477,3.9145,7.2412,15.4441,4.6422,2.3993,1.6944,0.3002,2.412,5.8198,13.892,3.1858,1.0212,0.1098,27.0434,26.7408,98.8811,1.5897,1.0053
11,Kouchibouguac,29-Aug-23,1.9787,4.618,9.6567,19.4433,5.9858,2.2116,1.7545,0.4312,3.1155,8.2353,17.8912,4.5294,0.8335,0.1699,36.0813,35.206,97.5741,1.5565,0.9964
12,Kouchibouguac,29-Aug-23,1.8819,3.6325,6.0696,16.7771,6.3132,2.4341,1.9022,0.3344,2.13,4.6482,15.225,4.8568,1.056,0.3176,28.8174,28.568,99.1346,1.7624,1.0365
