Sample,Site,Ash wgt before sieving,Total sample wgt,% sample retained,Phi (?),SD (sorting)
1,Shemogue,27.9962,27.4594,98.0826,2.6341,1.1119
2,Shemogue,24.7199,24.2871,98.2492,2.4122,1.1459
3,Shemogue,25.9938,24.8312,95.5274,2.6402,1.3625
4,Powell's Cove,23.843,23.3278,97.8392,2.5149,1.3523
5,Powell's Cove,20.8239,20.5806,98.8316,2.6134,1.5396
6,Powell's Cove,28.2991,27.8138,98.2851,2.1956,1.5288
7,Maisonnette,33.4128,33.0519,98.9199,2.2893,1.0035
8,Maisonnette,27.1076,26.7901,98.8287,2.2602,0.9484
9,Maisonnette,31.1678,30.7284,98.5902,2.2716,0.9652
10,Kouchibouguac,27.0434,26.7408,98.8811,1.5897,1.0053
11,Kouchibouguac,36.0813,35.206,97.5741,1.5565,0.9964
12,Kouchibouguac,28.8174,28.568,99.1346,1.7624,1.0365
