site,correct.id,correct.id.binary,siphon.hole.length,siphon.hole.width,siphon.hole.LxW,clam.length,clam.width,clam.weight
Maisonette,Yes,1,9.51,3.94,37.47,38.06,23.63,6.38
Maisonette,Yes,1,4.95,2.1,10.4,23.88,15.95,1.92
Maisonette,Yes,1,6.13,5.35,32.8,36.15,22.67,6.16
Maisonette,No,0,3.09,1.78,5.5,,,
Maisonette,Yes,1,6.96,5.87,40.86,44.06,27,9.59
Maisonette,Yes,1,5.16,3.23,16.67,42.31,25.41,8.85
Maisonette,Yes,1,5.55,4.54,25.2,40,24.25,8.24
Maisonette,Yes,1,6.33,3.96,25.07,45.74,30.18,12.89
Maisonette,Yes,1,7.14,3.36,23.99,44.1,27.74,11.22
Maisonette,Yes,1,5.6,3.78,21.17,41.12,22.38,8.35
Maisonette,No,0,2.19,1.73,3.79,,,
Maisonette,Yes,1,9.47,5.76,54.55,46.21,28.26,12.66
Maisonette,Yes,1,5.29,3.93,20.79,26.16,15.88,1.89
Maisonette,Yes,1,4.61,2.67,12.31,47.41,28.03,13.41
Maisonette,Yes,1,5.61,4.07,22.83,25.1,15.15,1.69
Maisonette,No,0,5.35,4.4,23.54,,,
Maisonette,No,0,5.11,3.35,17.12,,,
Maisonette,No,0,6.27,4.85,30.41,,,
Maisonette,Yes,1,5.93,4.32,25.62,46.69,25.69,10.52
Maisonette,No,0,5.12,3.33,17.05,,,
Maisonette,Yes,1,4.85,2.84,13.77,25.56,16.25,1.88
Maisonette,Yes,1,4.62,3.3,15.25,37.31,23.28,5.9
Maisonette,Yes,1,5.97,3.26,19.46,27.96,17.46,2.58
Maisonette,Yes,1,5.22,4.39,22.92,39.87,23.93,6.48
Maisonette,Yes,1,6.46,4.04,26.1,50.43,29.36,16.73
Maisonette,Yes,1,10.85,6.64,72.04,49.92,29.06,14.88
Maisonette,No,0,4.45,3.32,14.77,,,
Maisonette,No,0,4.29,3.67,15.74,,,
Maisonette,Yes,1,8.75,6.71,58.71,38.04,25,7.93
Maisonette,No,0,3.83,3.51,13.44,,,
Maisonette,Yes,1,5.76,3.61,20.79,33.11,20.59,2.8
Maisonette,Yes,1,5.64,4.31,24.31,24.62,15.1,1.44
Maisonette,Yes,1,5.26,3.12,16.41,24.31,15.03,1.28
Maisonette,Yes,1,15.12,13.2,199.58,54.19,31.26,18.75
Maisonette,Yes,1,12,9.46,113.52,35.53,22.3,5.24
Maisonette,Yes,1,6.02,3.6,21.67,23.16,15.28,1.19
Maisonette,Yes,1,11.88,8.02,95.28,49.06,30.94,16.53
Maisonette,Yes,1,4.91,2.89,14.19,20.9,12.55,0.86
Maisonette,Yes,1,11.84,6.94,82.17,39.37,25.11,6.86
Maisonette,Yes,1,6.97,3.21,22.37,40.64,25.97,9.11
Maisonette,Yes,1,6.25,5.32,33.25,56.36,35.09,19.49
Maisonette,Yes,1,4.72,3.75,17.7,29.81,18.53,3.08
Maisonette,No,0,3.46,2.24,7.75,,,
Maisonette,Yes,1,13.58,10.44,141.78,36.79,23.14,6.45
Maisonette,Yes,1,7.7,5.24,40.35,41.26,25.02,7.73
Maisonette,Yes,1,9.23,5.68,52.43,46.89,28.39,11.28
Maisonette,Yes,1,4.96,4.32,21.43,32.5,19.16,3.71
Maisonette,No,0,4.65,2.83,13.16,,,
Maisonette,Yes,1,5.58,4.42,24.66,44.18,27.4,11.58
Maisonette,Yes,1,4.66,2.86,13.33,26.94,16.89,2.23
Maisonette,No,0,2.61,1.8,4.7,,,
Maisonette,Yes,1,5.08,3.16,16.05,37.03,22.98,6.47
Maisonette,No,0,3.27,1.94,6.34,,,
Maisonette,Yes,1,4.38,2.83,12.4,22.65,14.7,1.36
Maisonette,Yes,1,4.16,2.32,9.65,31.36,19.46,3.35
Maisonette,Yes,1,11.01,9.4,103.49,36.95,21.56,6.09
Maisonette,Yes,1,7.36,6.06,44.6,37.28,24.94,6.3
Maisonette,Yes,1,6.37,4.57,29.11,20.89,12.52,0.77
Maisonette,Yes,1,11.54,6.33,73.05,46.88,27.72,12.93
Maisonette,Yes,1,3.89,3.01,11.71,26.19,15.49,1.71
Maisonette,Yes,1,3.63,2.9,10.53,20.44,12.66,0.98
Maisonette,No,0,5.32,3.35,17.82,,,
Maisonette,Yes,1,7.7,5.32,40.96,26.53,16.12,1.85
Maisonette,Yes,1,8.97,6.73,60.37,48.48,28.75,12.92
Powell's Cove,Yes,1,16.24,10.17,165.16,70.8,43.09,51.9
Powell's Cove,No,0,10.32,4.62,47.68,,,
Powell's Cove,Yes,1,11.65,9.83,114.52,58.01,36.09,27.53
Powell's Cove,No,0,4.87,3.34,16.27,,,
Powell's Cove,Yes,1,17.66,10.97,193.73,62.41,40.86,43.13
Powell's Cove,Yes,1,9.86,7.7,75.92,48.33,29.98,19.23
Powell's Cove,Yes,1,10.55,8.24,86.93,24.93,15.75,1.98
Powell's Cove,Yes,1,12.91,9.23,119.16,68.8,40.79,38.52
Powell's Cove,Yes,1,9.77,6.93,67.71,,,
Powell's Cove,Yes,1,5.46,3.66,19.98,,,
Powell's Cove,Yes,1,10.07,8.61,86.7,53.9,33.62,22.52
Powell's Cove,Yes,1,8.63,5.94,51.26,,,
Powell's Cove,No,0,9.25,5.79,53.56,,,
Powell's Cove,Yes,1,15.95,12.26,195.55,70.32,44.23,47.95
Powell's Cove,Yes,1,10.92,7.44,81.24,58.59,35.95,19.89
Powell's Cove,Yes,1,12.24,8.76,107.22,57,36.7,27.83
Powell's Cove,Yes,1,7.08,4.18,29.59,71.52,43.7,46.95
Powell's Cove,Yes,1,14.53,8.02,116.53,59.02,35.92,28.82
Powell's Cove,Yes,1,16.03,8.78,140.74,62.14,38.98,30.49
Powell's Cove,Yes,1,11.89,6.67,79.31,71.81,41.54,27.87
Powell's Cove,Yes,1,14.41,10.15,146.26,60.68,36.02,18.06
Powell's Cove,Yes,1,9.54,5.33,50.85,64.01,39.15,25.39
Powell's Cove,Yes,1,9.81,4.26,41.79,66.16,41.37,30.33
Powell's Cove,Yes,1,13.57,11.53,156.46,64.87,39.83,45.39
Powell's Cove,Yes,1,16.99,9.83,167.01,74.1,46.06,59.91
Powell's Cove,Yes,1,12.17,6.71,81.66,67.9,39.6,30.52
Powell's Cove,Yes,1,10.83,7.59,82.2,63.82,36.82,37.74
Powell's Cove,Yes,1,10.01,3.74,37.44,48.1,26.06,7.73
Powell's Cove,No,0,7.38,4.24,31.29,,,
Powell's Cove,Yes,1,10.59,6.45,68.31,32.8,20.34,6.01
Powell's Cove,Yes,1,11.58,6.57,76.08,41.05,26.17,12.74
Powell's Cove,Yes,1,8.89,5.17,45.96,46.75,28.07,10.73
Powell's Cove,Yes,1,10.16,5.06,51.41,48.28,29.63,16.08
Powell's Cove,Yes,1,11.94,5.94,70.92,,,
Powell's Cove,No,0,8.32,5.69,47.34,,,
Powell's Cove,Yes,1,10.81,6.76,73.08,51.73,29.65,18.29
Powell's Cove,Yes,1,8.29,5.52,45.76,41.26,23.73,7.12
Powell's Cove,Yes,1,10.5,7.24,76.02,45.9,29.71,15.79
Powell's Cove,Yes,1,9.79,3.93,38.47,,,
Powell's Cove,Yes,1,10.09,4.77,48.13,54.04,31.68,18.74
Powell's Cove,Yes,1,7.78,5.95,46.29,39.29,24.19,7.65
Powell's Cove,No,0,5.74,3.62,20.78,,,
Powell's Cove,Yes,1,13.9,12.33,171.39,63.56,39.11,22.35
Powell's Cove,Yes,1,10.2,7.55,77.01,63.94,39.93,34.13
Powell's Cove,Yes,1,10.41,7.06,73.49,62.08,36.33,20.62
Powell's Cove,No,0,6.77,3.95,26.74,,,
Powell's Cove,Yes,1,9.49,5.95,56.47,58.62,36.26,35.91
Powell's Cove,Yes,1,15.73,10.04,157.93,65.32,38.56,40.02
Powell's Cove,Yes,1,12.79,9.76,124.83,64.77,40.87,33.89
Powell's Cove,Yes,1,7.97,4.28,34.11,59.63,37.5,17.88
Powell's Cove,No,0,10.34,5.56,57.49,,,
Powell's Cove,No,0,4.24,2.2,9.33,,,
Powell's Cove,Yes,1,15.33,10.56,161.88,,,
Powell's Cove,Yes,1,6.07,4.42,26.83,29.29,17.58,2.69
Powell's Cove,Yes,1,10.25,6.44,66.01,38.86,24.28,8.89
Powell's Cove,Yes,1,14.55,8.8,128.04,61.56,38.04,38.01
Powell's Cove,Yes,1,13.51,8.28,111.86,,,
Powell's Cove,No,0,7.44,4.54,33.78,,,
Powell's Cove,Yes,1,8.73,6.11,53.34,,,
Powell's Cove,Yes,1,10.46,4.93,51.57,69.81,41.76,51.88
Powell's Cove,Yes,1,11.97,8.5,101.75,63.79,37.98,22.49
Powell's Cove,Yes,1,13.12,7.75,101.68,42.4,25.18,10.34
Powell's Cove,Yes,1,11.96,7.29,87.19,57.38,31.94,15.12
Powell's Cove,No,0,6.76,4.83,32.65,,,
Powell's Cove,Yes,1,18.28,13.51,246.96,67.75,40.73,42.98
Powell's Cove,Yes,1,13.01,8.84,115.01,60.14,36.03,29.83
Powell's Cove,Yes,1,11.04,6.8,75.07,62,35.13,29.92
Powell's Cove,Yes,1,9.91,7.89,78.19,56.26,32.43,15.73
Powell's Cove,Yes,1,12.89,8.68,111.89,67.91,37.83,38.8
Shemogue,Yes,1,10.5,6.23,65.42,41.83,27.09,11.04
Shemogue,Yes,1,7.33,4.89,35.84,38.48,25.75,8.63
Shemogue,Yes,1,10.39,5.46,56.73,50.57,33.12,19.45
Shemogue,Yes,1,3.55,2.37,8.41,14.77,9.11,0.4
Shemogue,Yes,1,5.56,4.37,24.3,16.69,10.77,0.67
Shemogue,Yes,1,5.77,3.17,18.29,47.54,30.65,16.04
Shemogue,Yes,1,9.3,5.71,53.1,46.49,29.27,14.24
Shemogue,Yes,1,7.51,3.84,28.84,28.78,17.33,2.8
Shemogue,Yes,1,6.34,3.71,23.52,24.63,14.11,1.7
Shemogue,Yes,1,8.02,5.43,43.55,49.57,32.01,19.07
Shemogue,Yes,1,8.79,5.08,44.65,45.71,27.39,13.46
Shemogue,Yes,1,13.94,9.49,132.29,57.97,34.84,23.36
Shemogue,Yes,1,5.98,3.23,19.32,41.31,26.41,10.21
Shemogue,Yes,1,10.61,4.86,51.56,48.72,30.48,18.18
Shemogue,Yes,1,11.63,5.33,61.99,40.57,24.13,8.04
Shemogue,Yes,1,9.76,4.83,47.14,48.01,31.52,17.73
Shemogue,Yes,1,7.2,3.1,22.32,30.38,19.82,4.51
Shemogue,Yes,1,8.05,4.49,36.14,16.26,28.99,14.77
Shemogue,Yes,1,9.8,7.6,74.48,53.47,33.8,24.21
Shemogue,Yes,1,6.76,5.17,34.95,49.61,30.1,15.54
Shemogue,Yes,1,10.93,5.48,59.9,51.23,31.72,22.16
Shemogue,Yes,1,7.21,4.49,32.37,46.42,27.69,11.02
Shemogue,Yes,1,7.38,4.2,31,43.73,27.55,12.36
Shemogue,Yes,1,8.43,5.6,47.21,34.21,21.68,5.57
Shemogue,Yes,1,6.87,3.87,26.59,42.4,25.62,9.78
Shemogue,Yes,1,10.58,5.89,62.32,65.04,37.27,33.89
Shemogue,Yes,1,11.98,5.03,60.26,52.16,34.22,22.63
Shemogue,Yes,1,7.23,5.45,39.4,30.75,18.45,3.92
Shemogue,Yes,1,5.71,3.91,22.33,36.45,21.08,5.22
Shemogue,Yes,1,9.12,6.01,54.81,33.69,19.7,4.86
Shemogue,Yes,1,7.97,5.3,42.24,49.94,30.82,19.45
Shemogue,Yes,1,9.83,5.54,54.46,51.8,31.95,20.67
Shemogue,Yes,1,9.98,6.49,64.77,37.11,24.48,8.13
Shemogue,Yes,1,7.51,3.35,25.16,63.33,40.64,39.52
Shemogue,Yes,1,8.16,3.7,30.19,52.4,32.49,12.52
Shemogue,Yes,1,7.68,4.51,34.64,37.87,24.4,6.93
Shemogue,Yes,1,10.57,7.32,77.37,42.34,26.82,9.79
Shemogue,Yes,1,12.52,7.32,91.65,58.06,37.67,26.78
Shemogue,Yes,1,8.98,3.65,32.78,51.78,32.39,14.75
Shemogue,Yes,1,7.3,3.12,22.78,42.82,27.91,10.84
