site,moisture,OC,grainsize
Shemogue,18.19927194,1.040978131,2.63409388
Shemogue,18.05554645,1.153217132,2.412156556
Shemogue,24.36683521,1.712872635,2.640175968
Powell's Cove,17.10049423,1.285936672,2.514940329
Powell's Cove,17.88588928,1.818053231,2.613436319
Powell's Cove,19.3738671,1.361120406,2.195590408
Maisonnette,26.34912761,2.157852046,2.289295774
Maisonnette,27.01748999,1.676472082,2.26015767
Maisonnette,24.72413523,1.639458079,2.271564335
Kouchibouguac,21.28832361,1.157525009,1.589727121
Kouchibouguac,21.60744169,1.757037134,1.55645167
Kouchibouguac,21.5189124,1.189129138,1.762379236
