site,quadrat,observer,hole.count,clams.above.20mm,clams.below.20mm,total.clams,total.clam.weight,include.exclude
Maisonnette,1,JC,12,23,11,34,82.66,Exclude
Maisonnette,2,JC,41,34,16,50,134.45,Include
Maisonnette,3,JC,54,20,9,29,55.09,Include
Maisonnette,4,JC,30,21,9,30,86.76,Include
Maisonnette,5,JC,31,20,9,29,50.29,Include
Maisonnette,6,JC,38,6,8,14,12.79,Include
Maisonnette,7,JC,43,16,14,30,69.57,Include
Maisonnette,8,JC,36,7,5,12,26.38,Include
Maisonnette,9,JC,23,24,13,37,113.21,Include
Maisonnette,10,JC,16,12,6,18,51.8,Include
Maisonnette,1,JH,7,23,11,34,82.66,Exclude
Maisonnette,2,JH,22,34,16,50,134.45,Include
Maisonnette,3,JH,33,20,9,29,55.09,Include
Maisonnette,4,JH,36,21,9,30,86.76,Include
Maisonnette,5,JH,49,20,9,29,50.29,Include
Maisonnette,6,JH,34,6,8,14,12.79,Include
Maisonnette,7,JH,49,16,14,30,69.57,Include
Maisonnette,8,JH,47,7,5,12,26.38,Include
Maisonnette,9,JH,32,24,13,37,113.21,Include
Maisonnette,10,JH,22,12,6,18,51.8,Include
Maisonnette,1,SH,7,23,11,34,82.66,Exclude
Maisonnette,2,SH,39,34,16,50,134.45,Include
Maisonnette,3,SH,54,20,9,29,55.09,Include
Maisonnette,4,SH,45,21,9,30,86.76,Include
Maisonnette,5,SH,48,20,9,29,50.29,Include
Maisonnette,6,SH,42,6,8,14,12.79,Include
Maisonnette,7,SH,44,16,14,30,69.57,Include
Maisonnette,8,SH,41,7,5,12,26.38,Include
Maisonnette,9,SH,22,24,13,37,113.21,Include
Maisonnette,10,SH,16,12,6,18,51.8,Include
Powell's Cove,1,SH,1,1,0,1,14.39,Include
Powell's Cove,2,SH,1,0,0,0,0,Include
Powell's Cove,3,SH,12,12,0,12,241.61,Include
Powell's Cove,4,SH,6,6,0,6,226.09,Include
Powell's Cove,5,SH,3,3,0,3,73.68,Include
Powell's Cove,6,SH,3,3,0,3,106.7,Include
Powell's Cove,7,SH,6,6,0,6,122.55,Include
Powell's Cove,8,SH,10,14,2,16,238.89,Exclude
Powell's Cove,9,SH,3,3,0,3,30.11,Include
Powell's Cove,10,SH,2,2,0,2,17.47,Include
Powell's Cove,1,HH,1,1,0,1,14.39,Include
Powell's Cove,2,HH,0,0,0,0,0,Include
Powell's Cove,3,HH,12,12,0,12,241.61,Include
Powell's Cove,4,HH,5,6,0,6,226.09,Include
Powell's Cove,5,HH,3,3,0,3,73.68,Include
Powell's Cove,6,HH,3,3,0,3,106.7,Include
Powell's Cove,7,HH,5,6,0,6,122.55,Include
Powell's Cove,8,HH,8,14,2,16,238.89,Exclude
Powell's Cove,9,HH,3,3,0,3,30.11,Include
Powell's Cove,10,HH,2,2,0,2,17.47,Include
Shemogue,1,JC,7,8,2,10,172.74,Include
Shemogue,2,JC,6,6,0,6,114.52,Include
Shemogue,3,JC,6,9,2,11,212.85,Include
Shemogue,4,JC,7,7,0,7,154.52,Include
Shemogue,5,JC,5,5,0,5,191.46,Include
Shemogue,6,JC,9,13,2,15,343.29,Include
Shemogue,7,JC,6,6,0,6,138.07,Include
Shemogue,8,JC,2,1,0,1,48.88,Include
Shemogue,9,JC,6,8,0,8,189.55,Include
Shemogue,10,JC,1,1,2,3,5.96,Include
Shemogue,1,JH,8,8,2,10,172.74,Include
Shemogue,2,JH,6,6,0,6,114.52,Include
Shemogue,3,JH,6,9,2,11,212.85,Include
Shemogue,4,JH,6,7,0,7,154.52,Include
Shemogue,5,JH,5,5,0,5,191.46,Include
Shemogue,6,JH,9,13,2,15,343.29,Include
Shemogue,7,JH,5,6,0,6,138.07,Include
Shemogue,8,JH,2,1,0,1,48.88,Include
Shemogue,9,JH,6,8,0,8,189.55,Include
Shemogue,10,JH,1,1,2,3,5.96,Include
Kouchibouguac,1,JC,41,37,8,45,120.76,Include
Kouchibouguac,2,JC,43,23,9,32,121.43,Include
Kouchibouguac,3,JC,36,27,23,50,98.46,Include
Kouchibouguac,4,JC,21,28,16,44,58.8,Include
Kouchibouguac,5,JC,33,28,14,42,59.47,Include
Kouchibouguac,6,JC,28,27,16,43,73.32,Include
Kouchibouguac,7,JC,18,11,8,19,30.04,Include
Kouchibouguac,8,JC,37,35,1,36,109.4,Include
Kouchibouguac,9,JC,77,110,4,114,230.59,Include
Kouchibouguac,10,JC,24,25,15,40,62.26,Include
Kouchibouguac,1,JH,39,37,8,45,120.76,Include
Kouchibouguac,2,JH,42,23,9,32,121.43,Include
Kouchibouguac,3,JH,36,27,23,50,98.46,Include
Kouchibouguac,4,JH,24,28,16,44,58.8,Include
Kouchibouguac,5,JH,28,28,14,42,59.47,Include
Kouchibouguac,6,JH,32,27,16,43,73.32,Include
Kouchibouguac,7,JH,17,11,8,19,30.04,Include
Kouchibouguac,8,JH,39,35,1,36,109.4,Include
Kouchibouguac,9,JH,81,110,4,114,230.59,Include
Kouchibouguac,10,JH,20,25,15,40,62.26,Include
Kouchibouguac,1,IB,38,37,8,45,120.76,Include
Kouchibouguac,2,IB,42,23,9,32,121.43,Include
Kouchibouguac,3,IB,35,27,23,50,98.46,Include
Kouchibouguac,4,IB,22,28,16,44,58.8,Include
Kouchibouguac,5,IB,31,28,14,42,59.47,Include
Kouchibouguac,6,IB,34,27,16,43,73.32,Include
Kouchibouguac,7,IB,26,11,8,19,30.04,Include
Kouchibouguac,8,IB,39,35,1,36,109.4,Include
Kouchibouguac,9,IB,68,110,4,114,230.59,Include
Kouchibouguac,10,IB,23,25,15,40,62.26,Include
