site,quadrat,observer,hole.count,clams.above.20mm,clams.below.20mm,total.clams,total.clam.weight,include.exclude
Kouchibouguac,1,JC,41,37,8,45,120.76,Include
Kouchibouguac,2,JC,43,23,9,32,121.43,Include
Kouchibouguac,3,JC,36,27,23,50,98.46,Include
Kouchibouguac,4,JC,21,28,16,44,58.8,Include
Kouchibouguac,5,JC,33,28,14,42,59.47,Include
Kouchibouguac,6,JC,28,27,16,43,73.32,Include
Kouchibouguac,7,JC,18,11,8,19,30.04,Include
Kouchibouguac,8,JC,37,35,1,36,109.4,Include
Kouchibouguac,10,JC,24,25,15,40,62.26,Include
Kouchibouguac,1,JH,39,37,8,45,120.76,Include
Kouchibouguac,2,JH,42,23,9,32,121.43,Include
Kouchibouguac,3,JH,36,27,23,50,98.46,Include
Kouchibouguac,4,JH,24,28,16,44,58.8,Include
Kouchibouguac,5,JH,28,28,14,42,59.47,Include
Kouchibouguac,6,JH,32,27,16,43,73.32,Include
Kouchibouguac,7,JH,17,11,8,19,30.04,Include
Kouchibouguac,8,JH,39,35,1,36,109.4,Include
Kouchibouguac,10,JH,20,25,15,40,62.26,Include
Kouchibouguac,1,IB,38,37,8,45,120.76,Include
Kouchibouguac,2,IB,42,23,9,32,121.43,Include
Kouchibouguac,3,IB,35,27,23,50,98.46,Include
Kouchibouguac,4,IB,22,28,16,44,58.8,Include
Kouchibouguac,5,IB,31,28,14,42,59.47,Include
Kouchibouguac,6,IB,34,27,16,43,73.32,Include
Kouchibouguac,7,IB,26,11,8,19,30.04,Include
Kouchibouguac,8,IB,39,35,1,36,109.4,Include
Kouchibouguac,10,IB,23,25,15,40,62.26,Include
