year_annee,no.licenses_no.permis,no.days_no.jours,active.licenses_permis.active,landings.by.day_debarquement.par.jour
1985,29,11,1.63962069,4.322636364
1986,34,7,2.241647059,10.888
1987,36,7,3.800527778,19.54557143
1988,36,16,2.218388889,4.991375
1989,36,1,0.914277778,32.914
1990,43,,1.90355814,
1991,44,3,2.681909091,27.28433333
1992,45,6,1.032977778,19.66733333
1993,106,12,0.780641509,3.873666667
1994,104,46,5.221903846,1.798869565
1995,105,17,2.120771429,31.94576471
1996,105,16,1.438933333,13.9175625
1997,107,28,2.22153271,5.396
1998,91,28,2.543395604,8.489428571
1999,89,41,6.27194382,5.645097561
2000,89,30,3.413449438,18.60676667
2001,86,58,7.512848837,5.23787931
2002,89,33,2.227561798,19.57893939
2003,80,60,5.8465375,3.304216667
2004,86,67,3.42344186,6.980940299
2005,85,58,2.929223529,5.076137931
2006,85,72,6.487917647,3.458111111
2007,83,65,5.957096386,8.4842
2008,83,66,5.352626506,7.4915
2009,83,71,5.710638554,6.257295775
2010,83,72,8.280024096,6.583097222
2011,82,59,3.708963415,11.64816949
2012,81,62,5.098691358,4.905403226
2013,81,59,5.653950617,6.999898305
2014,81,55,5.367580247,8.326727273
2015,81,58,3.134037037,7.496103448
2016,81,57,2.395518519,4.453631579
2017,81,53,2.203148148,3.661075472
2018,80,49,2.4866375,3.641938776
2019,80,58,1.849525,3.429844828
2020,79,54,2.115126582,2.740037037
2021,78,68,2.019141026,2.457279412
2022,78,60,1.869038462,2.624883333
