name_nom,description_en,description_fr
sample_id,unique identifier of sample,identifiant unique de l'échantillon
year,year of observation,l'année de l’observation
month,month of observation,le mois de l’observation
prov,province,province
site,name of site and province,site de PSCA
station,camp station,station de PSCA
latitude,station latitude (decimal degrees),latitude de la station (degrés décimaux)
longitude,station longitude (decimal degrees),longitude de la station (degrés décimaux)
start_date,sample start date/time,date / heure de début
end_date,sample end date/time,date / heure de fin
ammonia,ammonia,ammoniac
do,dissolved oxygen,oxygène dissous
nitrates,nitrates,nitrates
nitrite,nitrite,nitrite
phosphate,phosphate,phosphate
sal,salinity,salinité
silicate,silicate,silicate
water_temp,water temperature (degrees C),température de l'eau (degrés C)
gravel,gravel (%),gravier (%)
mud,mud (%),boue (%)
rock,rock (%),roche (%)
sand,sand (%),sable (%)
species_code,species code,code de l'espèce
tsn,ITIS taxonomic serial number (TSN),numéro de série taxonomique ITIS (TSN)
sav,Is the species submerged aquatic vegetation (SAV)?,l'espèce est-elle une végétation aquatique submergée (VAS)?
sav_level,SAV level observed,VAS niveau observé
adults,count of adults,nombre d’adultes
yoy,count of young-of-the-year,nombre de jeunes de l'année
total_ind,total number of individuals observed,nombre total d'individus observés
total_all,total (SAV and non-SAV),total (VAS et non-VAS)
number_of_samples,number of samples collected at the station in that year,nombre d'échantillons recueillis à la station pour cette année
avg_water_temp,average water temperature (degrees C) at station,température moyenne de l'eau (degrés C) à la station
avg_sal,average salinity at station,salinité moyenne à la station
avg_do,average dissolved oxygen (mg/L) at station,oxygène dissous (mg / L) à la station
[SPECIES_CODE]_YOY,average count of the young-of-the-year for a given species,nombre moyen de jeunes de l'année pour une espèce donnée
[SPECIES_CODE]_adults,average count of the adults for a given species,nombre moyen d'adultes pour une espèce donnée
[SPECIES_CODE]_total,average count of all individuals for a given species,nombre moyen d'individus pour une espèce donnée
