sample_id,year,month,day,prov,site,station,latitude,longitude,start_date,end_date,ammonia,do,nitrates,nitrite,phosphate,sal,silicate,water_temp,gravel,mud,rock,sand
10042,2019,8,28,PE / Î-P-É,Souris,Causeway East (50%),46.35652,-62.27541,2019-08-28 11:15:00-03:00,2019-08-28 11:45:00-03:00,,7.7,,,,24.54,,19.4,20.0,0,0,80.0
10040,2019,8,28,PE / Î-P-É,Souris,New Zealand rd. (10%),46.374493,-62.292103,2019-08-28 10:15:00-03:00,2019-08-28 11:10:00-03:00,,8.6,,,,19.6,,18.5,0,0,0,100.0
10041,2019,8,28,PE / Î-P-É,Souris,Cahil Lane 10%,46.379258,-62.289264,2019-08-28 09:15:00-03:00,2019-08-28 10:10:00-03:00,,6.15,,,,12.63,,17.4,0,50.0,0,50.0
10039,2019,8,28,PE / Î-P-É,Souris,Paul Gallant 50%,46.35741,-62.27969,2019-08-28 08:30:00-03:00,2019-08-28 09:05:00-03:00,,6.96,,,,26.49,,18.6,10.0,0,0,90.0
10004,2019,8,28,PE / Î-P-É,Souris,Joe Carter 100%,46.35015,-62.2796,2019-08-28 08:00:00-03:00,2019-08-28 08:25:00-03:00,,6.69,,,,26.7,,18.31,0,0,0,100.0
10005,2019,8,28,PE / Î-P-É,Souris,Ferry 100%,46.35102,-62.2504,2019-08-28 07:00:00-03:00,2019-08-28 07:55:00-03:00,,7.13,,,,26.08,,18.0,0,0,0,100.0
10038,2019,8,27,PE / Î-P-É,Winter River,Sunset Lane 100%,46.380017,-63.00635,2019-08-27 13:30:00-03:00,2019-08-27 14:15:00-03:00,,8.21,,,,23.06,,17.2,30.0,0,0,70.0
10036,2019,8,27,PE / Î-P-É,Winter River,Court's Island road 50%,46.37772,-63.02224,2019-08-27 12:45:00-03:00,2019-08-27 13:25:00-03:00,,7.75,,,,24.09,,18.1,0,10.0,0,90.0
10033,2019,8,27,PE / Î-P-É,Winter River,Pleasant Grove road 10%,46.37803,-63.057578,2019-08-27 11:40:00-03:00,2019-08-27 12:30:00-03:00,,10.73,,,,2.04,,15.6,10.0,10.0,0,80.0
10034,2019,8,27,PE / Î-P-É,Winter River,Bald Eagle Lane 10%,46.376779,-63.05252,2019-08-27 11:15:00-03:00,2019-08-27 11:40:00-03:00,,10.66,,,,9.66,,17.0,0,0,0,0
10035,2019,8,27,PE / Î-P-É,Winter River,White Sickle 50%,46.384027,-63.032463,2019-08-27 10:30:00-03:00,2019-08-27 11:10:00-03:00,,6.22,,,,24.44,,19.6,40.0,10.0,0,50.0
10037,2019,8,27,PE / Î-P-É,Winter River,Queen's Point road 100%,46.390168,-63.004063,2019-08-27 09:40:00-03:00,2019-08-27 10:20:00-03:00,,7.56,,,,25.54,,16.5,20.0,0,0,80.0
9841,2019,8,19,PE / Î-P-É,Basin Head,Opposite House,46.385205,-62.116711,2019-08-19 11:30:00-03:00,2019-08-19 12:00:00-03:00,,5.88,,,,27.16,,21.5,0,25.0,0,75.0
