site,province,station,station_latitude,station_longitude,seasons_in_operation_and_samples_collected,list_of_species_caught,list_of_SAV,total_number_of_fish_caught,mean_annual_number_of_fish_caught
Bathurst Harbour,NB,Caron Point,47.65259,-65.62222,"2009(5), 2010(2), 2011(3)","American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",9373,3124.33
Bathurst Harbour,NB,Charlie's,47.65668,-65.6468,"2009(5), 2010(2), 2011(3)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Eelgrass, Green algae, Rockweed",4292,1430.67
Bathurst Harbour,NB,Daly Point,47.63957,-65.61709,"2009(4), 2010(2), 2011(3)","Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",3062,1020.67
Bathurst Harbour,NB,Downtown Causeway,47.61966,-65.66146,"2009(5), 2010(2), 2011(3)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Rainbow Smelt, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Green algae, Rockweed",3274,1091.33
Bathurst Harbour,NB,Marina,47.65579,-65.62616,"2009(5), 2010(2), 2011(3)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",7564,2521.33
Bathurst Harbour,NB,Roadside,47.64439,-65.6052,"2009(5), 2010(2), 2011(3)","Alewife (Gaspereau), Atlantic Silverside, Blackspotted Stickleback, Fourspine Stickleback, Grass Shrimp, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Eelgrass, Green algae, Rockweed",3854,1284.67
Bouctouche,NB,Behind the takeout,46.469231,-64.714104,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",61010,3813.13
Bouctouche,NB,Info Center,46.471729,-64.714365,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed",61356,3834.75
Bouctouche,NB,Marina,46.475972,-64.710486,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",52323,3270.19
Bouctouche,NB,Pub by the bridge,46.471865,-64.719819,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",47275,2954.69
Bouctouche,NB,Route 11,46.462419,-64.726601,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",70961,4435.06
Bouctouche,NB,Treatment Plant outlet,46.46733,-64.722576,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",57506,3833.73
Cap-Pelé,NB,Aboujagane River,46.22155,-64.39916,"2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","American Eel, American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Unknown species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed, Widgeon grass",26120,2374.55
Cap-Pelé,NB,Camp Ta-Wa-Si,46.1827,-64.11454,"2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Grubby, Lady Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",9049,822.64
