site,province,station,latitude_de_station,longitude_de_station,saisons_en_opération_et_nombre_échontillions,liste_des_espèces_capturées,list_de_VAS,nombre_total_de_poisson_capturées,nombre_annuel_moyen_de_poissons_capturés
Bathurst Harbour,N-B,Caron Point,47.65259,-65.62222,"2009(5), 2010(2), 2011(3)","Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Plie lisse, Épinoche a trois épines","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",9373,3124.33
Bathurst Harbour,N-B,Charlie's,47.65668,-65.6468,"2009(5), 2010(2), 2011(3)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Zostere marine, Algue verte, Espece Fucus",4292,1430.67
Bathurst Harbour,N-B,Daly Point,47.63957,-65.61709,"2009(4), 2010(2), 2011(3)","Capucette dAtlantique, Épinoche tachetée, Épinoche a quatre épines, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Épinoche a trois épines","Algue brune filamenteuse, Zostere marine, Algue verte, Espece Fucus",3062,1020.67
Bathurst Harbour,N-B,Downtown Causeway,47.61966,-65.66146,"2009(5), 2010(2), 2011(3)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue verte, Espece Fucus",3274,1091.33
Bathurst Harbour,N-B,Marina,47.65579,-65.62616,"2009(5), 2010(2), 2011(3)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",7564,2521.33
Bathurst Harbour,N-B,Roadside,47.64439,-65.6052,"2009(5), 2010(2), 2011(3)","Gaspereau, Capucette dAtlantique, Épinoche tachetée, Épinoche a quatre épines, Crevette dherbe, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Zostere marine, Algue verte, Espece Fucus",3854,1284.67
Bouctouche,N-B,Behind the takeout,46.469231,-64.714104,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",61010,3813.13
Bouctouche,N-B,Info Center,46.471729,-64.714365,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus",61356,3834.75
Bouctouche,N-B,Marina,46.475972,-64.710486,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",52323,3270.19
Bouctouche,N-B,Pub by the bridge,46.471865,-64.719819,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",47275,2954.69
Bouctouche,N-B,Route 11,46.462419,-64.726601,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",70961,4435.06
Bouctouche,N-B,Treatment Plant outlet,46.46733,-64.722576,"2004(5), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",57506,3833.73
