"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year","month","number.otoliths_nombre.otolithes"
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,6,20
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1951,10,20
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1952,6,20
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,6,40
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1953,12,20
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1961,6,50
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1968,5,35
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1969,2,34
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1971,1,31
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1972,9,63
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1972,10,29
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,4,32
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,5,40
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,7,42
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,8,128
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,10,40
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,11,45
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1973,12,60
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1974,1,40
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1974,5,125
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1974,8,41
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1974,11,118
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,2,72
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,4,39
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,5,67
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,6,36
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,7,49
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1975,8,35
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,1,50
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,2,40
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,3,37
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,4,151
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,5,580
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,6,663
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,7,265
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,8,429
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,9,34
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,10,111
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1976,11,37
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,1,79
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,4,46
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,5,47
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,6,517
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,7,343
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,8,536
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1977,9,232
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1978,1,48
"Commercial","Gadus morhua","Atlantic Cod","Morue franche",1978,5,45
