Year,SampleID,SampleType,EventID ,SamplingLocation ,SamplingSite,SiteCode,EventDate,RecordedBy,DecimalLatitude,DecimalLongitude,VolumeFiltered (mL),FilterType,Brook Floater OccurrenceStatus,Brook Floater Ct_1,Brook Floater Ct_2,Brook Floater Ct_3,Brook Floater eDNA Concentration_1 (pg/L),Brook Floater eDNA Concentration_2 (pg/L),Brook Floater eDNA Concentration_3 (pg/L),Eastern Pearlshell OccurrenceStatus,Eastern Pearlshell Ct_1,Eastern Pearlshell Ct_2,Eastern Pearlshell Ct_3,Eastern Pearlshell eDN/A concentration_1 (pg/L),Eastern Pearlshell eDN/A concentration_2 (pg/L),Eastern Pearlshell eDN/A concentration_3 (pg/L),Yellow Lampmussel OccurrenceStatus,Yellow Lampmussel Ct_1,Yellow Lampmussel Ct_2,Yellow Lampmussel Ct_3,Yellow Lampmussel eDN/A concentration_1 (pg/L) ,Yellow Lampmussel eDN/A concentration_2 (pg/L) ,Yellow Lampmussel eDN/A concentration_3 (pg/L) 
2017,r17D:1180,Field blank,2017-r17D:1180,N/A,N/A,N/A,6/5/2017,ARM,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Inconclusive / Non concluant,No Ct,37.8,N/A,0,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1181,Sample,2017-r17D:1181,Barnaby River,Mir11,N/A,6/5/2017,ARM,46.85996,-65.44615,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1182,Sample,2017-r17D:1182,Barnaby River,Mir11,N/A,6/5/2017,ARM,46.85994,-65.4459,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1183,Field blank,2017-r17D:1183,N/A,N/A,N/A,7/6/2017,ARM,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1185,Sample,2017-r17D:1185,Taxis River,Mir10,N/A,7/5/2017,ARM,46.5478,-66.42287,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.8,33.2,N/A,83.8,118.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1186,Sample,2017-r17D:1186,Taxis River,Mir10,N/A,7/5/2017,ARM,46.45493,-66.42291,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.9,32.3,N/A,79.6,212.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1187,Sample,2017-r17D:1187,Southwest Miramichi River,Mir12,N/A,7/5/2017,ARM,46.51131,-66.28583,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,No Ct,39.4,N/A,0,5.3,N/A,Detected / Détecté,32.1,31.9,N/A,251,283.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1188,Sample,2017-r17D:1188,Southwest Miramichi River,Mir12,N/A,7/5/2017,ARM,46.51117,-66.28639,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,39.5,No Ct,N/A,5.2,0,N/A,Detected / Détecté,32.6,32.6,N/A,182.9,174.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1481,Field blank,2017-r17D:1481,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1482,Sample,2017-r17D:1482,Shediac River,ShdD,N/A,6/16/2017,SBWA,46.23792,-64.68964,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32.7,32.7,N/A,162.9,165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
