stand,stand.number,date,time,julian date,hour,time.of.day,tide.level.m,sw.ph,do,temp,salinity,turbidity
Outside,2558,2023-07-26,12:00 AM,207,0,Night,1.268,8.163302363,7.6525,24.555,25.675,4.03
Outside,2558,2023-07-26,1:00 AM,207,1,Night,1.214,8.178769608,7.485,24.48133333,25.695,4.21
Outside,2558,2023-07-26,2:00 AM,207,2,Night,1.148,8.207141584,7.4925,24.41083333,25.7,2.44
Outside,2558,2023-07-26,3:00 AM,207,3,Night,1.087,8.195453747,7.2,24.27433333,25.7025,2.29
Outside,2558,2023-07-26,4:00 AM,207,4,Night,1.032,8.184430766,6.78,24.19783333,25.7075,2.24
Outside,2558,2023-07-26,5:00 AM,207,5,Day,0.987,8.079570564,6.5175,23.758,25.735,1.71
Outside,2558,2023-07-26,6:00 AM,207,6,Day,0.967,8.051011633,6.155,23.63766667,25.775,1.46
Outside,2558,2023-07-26,7:00 AM,207,7,Day,0.982,8.06817916,6.0325,23.60266667,25.775,1.4
Outside,2558,2023-07-26,8:00 AM,207,8,Day,1.023,8.127479944,6.2725,23.56933333,25.6675,2.46
Outside,2558,2023-07-26,9:00 AM,207,9,Day,1.069,8.147843179,6.375,23.593,25.62,0.15
Outside,2558,2023-07-26,10:00 AM,207,10,Day,1.11,8.113384067,6.4275,23.24533333,25.5375,2.29
Outside,2558,2023-07-26,11:00 AM,207,11,Day,1.136,8.095896114,6.585,22.96933333,25.485,2.36
Outside,2558,2023-07-26,12:00 PM,207,12,Day,1.137,8.088530478,7.225,23.0685,25.35,2.29
Outside,2558,2023-07-26,1:00 PM,207,13,Day,1.108,8.138143096,7.7275,23.59,25.385,2.02
Outside,2558,2023-07-26,2:00 PM,207,14,Day,1.061,8.134400671,8.415,23.9795,25.44,1.28
Outside,2558,2023-07-26,3:00 PM,207,15,Day,1.01,8.169524269,8.89,24.44733333,25.4725,1.83
Outside,2558,2023-07-26,4:00 PM,207,16,Day,0.964,8.183651569,9.2225,24.5935,25.46,1.61
Outside,2558,2023-07-26,5:00 PM,207,17,Day,0.934,8.188856531,9.41,24.69816667,25.48,1.48
Outside,2558,2023-07-26,6:00 PM,207,18,Day,0.941,8.192755058,9.68,24.724,25.5575,1.25
Outside,2558,2023-07-26,7:00 PM,207,19,Day,0.999,8.225129162,9.8375,25.4695,25.6375,3.21
Outside,2558,2023-07-26,8:00 PM,207,20,Night,1.102,8.314411352,10.18,25.87566667,25.6775,2.05
Outside,2558,2023-07-26,9:00 PM,207,21,Night,1.22,8.398821626,10.545,25.374,25.8375,3.29
Outside,2558,2023-07-26,10:00 PM,207,22,Night,1.324,8.337183125,9.8625,24.725,25.885,2.59
Outside,2558,2023-07-27,11:00 PM,207,23,Night,1.395,8.201099695,8.575,24.15783333,25.955,2.49
Outside,2558,2023-07-27,12:00 AM,208,0,Night,1.419,8.121718202,7.8225,23.8325,26.0075,3.01
Outside,2558,2023-07-27,1:00 AM,208,1,Night,1.393,8.125937021,7.62,23.767,26.01,2.08
Outside,2558,2023-07-27,2:00 AM,208,2,Night,1.329,8.168746747,7.8525,23.75416667,25.9925,2.57
Outside,2558,2023-07-27,3:00 AM,208,3,Night,1.248,8.078593487,7.1975,23.49033333,26.065,1.57
Outside,2558,2023-07-27,4:00 AM,208,4,Night,1.163,8.03732905,6.895,23.26816667,26.06,1.5
Outside,2558,2023-07-27,5:00 AM,208,5,Day,1.081,8.011704357,6.68,23.13833333,26.07,1.48
Outside,2558,2023-07-27,6:00 AM,208,6,Day,1.015,7.98447278,6.4425,23.0095,26.05,1.08
