obs,pile,brick,years.deployed,year,Daphnia sp.,Ciona intestinalis,Styela clava,Molgula sp.,Porifera,Metridium senile,Asterias rubens,Cerabratulus lacteus,Mytilus edulis,Crassostrea virginica_adults,Crassostrea virginica_spat,Crepidula fornicata,Anomia simplex,Gastropoda,Buccinum undatum,Spisula solidissima,Astarte subaequilatera,Mya arenaria,Polychaeta,Idotea balthica,Corophidae,Amphipoda,Caprella mutica,Balanomorpha,Gammarus sp.,Crangon septemspinosa,Palaemon sp.,Rhithropanopeus harrisii,Dyspanopeus sayi,Homarus americanus
1,1,A,2 year,2021,0,1,337,1,0,59,0,0,270,89,430,4,5,1410,0,325,10,7,11,0,80,0,0,100,0,0,0,0,3,2
2,1,B,2 year,2021,10,0,17,0,0,8,0,0,9,73,510,44,19,2780,0,40,0,6,26,0,200,0,30,16,0,0,0,0,2,2
3,1,C,2 year,2021,0,0,125,0,0,8,0,0,18,79,430,6,4,3960,0,39,10,10,0,0,320,0,0,26,50,0,0,0,3,1
4,2,A,2 year,2021,0,0,161,0,0,37,1,0,138,125,530,4,0,670,0,60,0,2,18,0,240,0,10,64,0,0,0,0,4,1
5,2,B,2 year,2021,0,0,74,0,0,6,0,0,131,273,140,14,3,770,0,136,0,1,15,0,0,20,0,30,0,0,0,0,5,0
6,2,C,2 year,2021,0,0,4,0,0,8,0,0,8,134,60,45,39,2970,0,370,0,1,11,0,30,0,0,11,0,0,0,0,4,2
7,3,A,2 year,2021,0,0,79,0,0,10,1,0,91,163,15,60,0,2950,0,42,0,2,11,0,45,0,0,116,0,0,0,0,4,2
8,3,B,2 year,2021,0,0,79,0,0,17,1,0,66,194,190,13,6,5670,0,242,0,4,13,0,10,0,0,9,0,0,0,0,10,2
9,3,C,2 year,2021,0,0,17,0,0,1,0,0,19,147,260,56,24,190,0,22,0,2,4,0,170,0,0,44,0,0,0,0,3,1
10,1,A,1 year,2022,0,0,100,20,0,47,0,0,1,29,190,1,0,3970,0,20,0,0,11,0,270,0,30,27,40,0,0,0,1,2
11,1,B,1 year,2022,0,0,0,0,0,66,0,0,5,8,180,5,1,8760,0,10,0,0,0,0,180,0,40,12,30,0,0,0,2,1
12,1,C,1 year,2022,30,0,159,40,0,59,1,0,2,22,190,4,10,7640,1,170,0,0,10,2,600,0,20,20,60,0,0,0,5,2
13,2,A,1 year,2022,0,0,137,0,0,21,1,0,6,10,0,3,0,4920,0,0,0,20,0,0,50,0,0,1,20,0,0,0,3,1
14,2,B,1 year,2022,0,0,65,5,0,20,1,0,4,9,170,27,15,3030,0,10,0,0,0,0,430,0,20,7,70,0,0,0,3,2
15,2,C,1 year,2022,0,0,46,0,0,15,0,0,1,0,70,33,9,2030,0,140,0,2,8,0,240,0,0,4,20,0,0,0,3,1
16,3,A,1 year,2022,0,0,155,10,0,64,0,0,6,0,90,1,0,3410,0,20,0,0,10,1,0,150,0,11,90,0,0,10,2,1
17,3,B,1 year,2022,0,0,55,0,0,66,1,0,5,3,10,16,3,2290,0,0,0,0,20,0,250,0,0,142,30,0,0,0,5,2
18,3,C,1 year,2022,0,0,42,0,0,54,0,0,1,10,120,12,8,2680,0,110,0,0,0,0,80,0,10,16,20,0,0,0,2,1
19,1,A,0 year,2023,0,0,0,0,0,0,0,0,0,0,430,0,0,3290,0,20,0,0,0,0,0,0,0,0,30,0,0,0,0,1
20,1,B,0 year,2023,0,0,0,0,0,0,0,0,0,0,930,0,0,980,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,C,0 year,2023,0,0,0,20,0,0,0,0,0,0,200,1,0,1870,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,2,A,0 year,2023,0,0,0,0,0,0,0,0,0,0,400,0,0,1540,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23,2,B,0 year,2023,0,0,0,0,0,0,0,0,0,0,2240,0,0,3940,0,0,0,0,0,10,20,0,0,0,30,0,0,0,0,1
24,2,C,0 year,2023,0,0,0,20,0,0,0,0,0,0,1430,3,0,1140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2
25,3,A,0 year,2023,0,0,1,0,0,0,1,0,0,0,540,0,0,2140,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,1
26,3,B,0 year,2023,0,0,0,561,0,0,1,0,0,0,550,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,3,C,0 year,2023,0,0,0,0,0,0,0,0,0,0,40,1,0,80,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,1
