obs,pile,brick,years.deployed,year,Daphnia sp.,Ulva lactuca,Codium fragile,Polysiphonia elongata,Brown algae,Filamentous green algae,Filamentous red algae,Bryozoa,Ciona intestinalis,Styela clava,Botryllus schlosseri,Botrylloides violaceus,Molgula sp.,Porifera,Metridium senile,Asterias rubens,Cerabratulus lacteus,Mytilus edulis,Crassostrea virginica_adults,Crassostrea virginica_spat,Crepidula fornicata,Anomia simplex,Gastropoda,Buccinum undatum,Spisula solidissima,Astarte subaequilatera,Mya arenaria,Polychaeta,Idotea balthica,Corophidae,Amphipoda,Caprella mutica,Balanomorpha,Gammarus sp.,Crangon septemspinosa,Palaemon sp.,Rhithropanopeus harrisii,Dyspanopeus sayi
1,1,A,2 year,2021,0,4.114,178.88,17.79,0,4.1051,0,0,1.3336,252.82,0,4.0993,0.1888,0,14.0216,0,0,258.112,500.42,3.095,4.7005,1.0253,7.61,0,3.0168,0.001,0.604,0.9645,0,1.752,0,0,58.1347,0,0,0,0,7.752
2,1,B,2 year,2021,0.004,5.0536,71.45,43.59,0,0,0,0,0,10.48,0,0.321,0,0,0.7157,0,0,16.0474,703.4,1.747,16.9063,2.6359,9.495,0,1.146,0,0.63,2.1865,0,0.162,0,0.086,11.9002,0,0,0,0,0.7886
3,1,C,2 year,2021,0,9.9605,0,76.14,27.4752,4.314,0,0,0,139.5,0,0.2227,0,0,2.3402,0,0,32.3339,431.49,4.312,1.8193,0.8419,12.344,0,0.9461,0.001,1.13,0.6125,0,0.165,0,0,26.0662,0.002,0,0,0,6.3769
4,2,A,2 year,2021,0,14.0918,0,9.16,0,0.1522,0,0,0,310.68,0,0.0385,0,0,14.9238,1.8539,0,36.517,1068.86,4.656,1.6537,0,4.053,0,1.297,0,0.4136,3.8306,0,0.881,0,0.001,55.7709,0,0,0,0,0.8644
5,2,B,2 year,2021,0,10.3539,1.7127,4.5772,0,0.5555,0.0741,0,0,121.07,0,0,0,0,2.5985,0,0,168.53,1509.51,0.405,15.4659,1.0462,3.061,0,5.2754,0,2.242,18.436,0,0,0.001,0,24.0358,0,0,0,0,2.5435
6,2,C,2 year,2021,0,0,135.43,0.7463,0,0,2.822,0,0,3.4551,0,0.1326,0,0,137.4958,0,0,19.8282,1208.48,0.72,26.34,13.0436,9.431,0,2.07,0,0.1711,3.6258,0,0.274,0,0,11.4451,0,0,0,0,1.1271
7,3,A,2 year,2021,0,2.9711,0,0,62.6,0,0,0,0,98.49,0,0,0,0,2.3925,5.2743,0,68.8425,1028.72,1.25,21.0507,0,8.49075,0,1.3001,0,0.4569,1.5264,0,0.9866,0,0,42.8993,0,0,0,0,8.737
8,3,B,2 year,2021,0,3.7627,236.79,10.9587,0,5.4813,0,0,0,110.23,0,0.7182,0,0,7.6426,0.4278,0,36.2755,1428.01,3.316,10.6291,1.3118,20.277,0,3.5784,0,0.4695,1.6731,0,0.001,0,0,14.333,0,0,0,0,30.2331
9,3,C,2 year,2021,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0.5355,0,0,8.29,790.33,1.504,24.839,3.0265,1.655,0,1.1415,0,0.301,0.8609,0,2.379,0,0,31.5361,0,0,0,0,2.0463
10,1,A,1 year,2022,0,1.2469,1.45,91.14,0,5.7572,14.439,0,0,62.1,0,0.9442,1.449,0,15.095,0,0,0.0789,16.027,2.134,1.2294,0,15.966,0,0.001,0,0,0.4242,1.788,0,0,1.906,4.3583,2.684,0,0,0,0.7403
