stand,stand.number,date,time,julian date,hour,time.of.day,tide.level.m,do
Outside,2558,2023-07-26,12:00 AM,207,0,Night,1.268,7.6525
Outside,2558,2023-07-26,1:00 AM,207,1,Night,1.214,7.485
Outside,2558,2023-07-26,2:00 AM,207,2,Night,1.148,7.4925
Outside,2558,2023-07-26,3:00 AM,207,3,Night,1.087,7.2
Outside,2558,2023-07-26,4:00 AM,207,4,Night,1.032,6.78
Outside,2558,2023-07-26,5:00 AM,207,5,Day,0.987,6.5175
Outside,2558,2023-07-26,6:00 AM,207,6,Day,0.967,6.155
Outside,2558,2023-07-26,7:00 AM,207,7,Day,0.982,6.0325
Outside,2558,2023-07-26,8:00 AM,207,8,Day,1.023,6.2725
Outside,2558,2023-07-26,9:00 AM,207,9,Day,1.069,6.375
Outside,2558,2023-07-26,10:00 AM,207,10,Day,1.11,6.4275
Outside,2558,2023-07-26,11:00 AM,207,11,Day,1.136,6.585
Outside,2558,2023-07-26,12:00 PM,207,12,Day,1.137,7.225
Outside,2558,2023-07-26,1:00 PM,207,13,Day,1.108,7.7275
Outside,2558,2023-07-26,2:00 PM,207,14,Day,1.061,8.415
Outside,2558,2023-07-26,3:00 PM,207,15,Day,1.01,8.89
Outside,2558,2023-07-26,4:00 PM,207,16,Day,0.964,9.2225
Outside,2558,2023-07-26,5:00 PM,207,17,Day,0.934,9.41
Outside,2558,2023-07-26,6:00 PM,207,18,Day,0.941,9.68
Outside,2558,2023-07-26,7:00 PM,207,19,Day,0.999,9.8375
Outside,2558,2023-07-26,8:00 PM,207,20,Night,1.102,10.18
Outside,2558,2023-07-26,9:00 PM,207,21,Night,1.22,10.545
Outside,2558,2023-07-26,10:00 PM,207,22,Night,1.324,9.8625
Outside,2558,2023-07-26,11:00 PM,207,23,Night,1.395,8.575
Outside,2558,2023-07-27,12:00 AM,208,0,Night,1.419,7.8225
Outside,2558,2023-07-27,1:00 AM,208,1,Night,1.393,7.62
Outside,2558,2023-07-27,2:00 AM,208,2,Night,1.329,7.8525
Outside,2558,2023-07-27,3:00 AM,208,3,Night,1.248,7.1975
Outside,2558,2023-07-27,4:00 AM,208,4,Night,1.163,6.895
Outside,2558,2023-07-27,5:00 AM,208,5,Day,1.081,6.68
Outside,2558,2023-07-27,6:00 AM,208,6,Day,1.015,6.4425
Outside,2558,2023-07-27,7:00 AM,208,7,Day,0.98,6.3325
Outside,2558,2023-07-27,8:00 AM,208,8,Day,0.98,6.4675
Outside,2558,2023-07-27,9:00 AM,208,9,Day,1.002,6.7075
Outside,2558,2023-07-27,10:00 AM,208,10,Day,1.031,7.2575
Outside,2558,2023-07-27,11:00 AM,208,11,Day,1.06,7.7075
Outside,2558,2023-07-27,12:00 PM,208,12,Day,1.08,8.0625
Outside,2558,2023-07-27,1:00 PM,208,13,Day,1.083,8.65
Outside,2558,2023-07-27,2:00 PM,208,14,Day,1.069,9.1325
Outside,2558,2023-07-27,3:00 PM,208,15,Day,1.044,9.6125
Outside,2558,2023-07-27,4:00 PM,208,16,Day,1.014,10.2025
Outside,2558,2023-07-27,5:00 PM,208,17,Day,0.987,10.125
Outside,2558,2023-07-27,6:00 PM,208,18,Day,0.978,9.945
Outside,2558,2023-07-27,7:00 PM,208,19,Day,1.009,10.08
Outside,2558,2023-07-27,8:00 PM,208,20,Night,1.089,10.0225
Outside,2558,2023-07-27,9:00 PM,208,21,Night,1.206,9.9675
Outside,2558,2023-07-27,10:00 PM,208,22,Night,1.334,9.59
Outside,2558,2023-07-27,11:00 PM,208,23,Night,1.448,9.0775
Outside,2558,2023-07-28,12:00 AM,209,0,Night,1.525,8.4725
Outside,2558,2023-07-28,1:00 AM,209,1,Night,1.551,7.8275
Outside,2558,2023-07-28,2:00 AM,209,2,Night,1.523,7.37
Outside,2558,2023-07-28,3:00 AM,209,3,Night,1.45,7.0175
Outside,2558,2023-07-28,4:00 AM,209,4,Night,1.35,6.7025
Outside,2558,2023-07-28,5:00 AM,209,5,Day,1.235,6.9525
Outside,2558,2023-07-28,6:00 AM,209,6,Day,1.122,6.965
Outside,2558,2023-07-28,7:00 AM,209,7,Day,1.031,6.87
Outside,2558,2023-07-28,8:00 AM,209,8,Day,0.974,6.9675
Outside,2558,2023-07-28,9:00 AM,209,9,Day,0.951,7.265
Outside,2558,2023-07-28,10:00 AM,209,10,Day,0.951,7.425
Outside,2558,2023-07-28,11:00 AM,209,11,Day,0.965,7.44
Outside,2558,2023-07-28,12:00 PM,209,12,Day,0.987,8.6525
Outside,2558,2023-07-28,1:00 PM,209,13,Day,1.01,9.19
Outside,2558,2023-07-28,2:00 PM,209,14,Day,1.027,9.75
Outside,2558,2023-07-28,3:00 PM,209,15,Day,1.034,9.5075
Outside,2558,2023-07-28,4:00 PM,209,16,Day,1.03,9.38
Outside,2558,2023-07-28,5:00 PM,209,17,Day,1.017,9.775
Outside,2558,2023-07-28,6:00 PM,209,18,Day,1.004,10.1725
Outside,2558,2023-07-28,7:00 PM,209,19,Day,1.009,10.595
Outside,2558,2023-07-28,8:00 PM,209,20,Night,1.055,10.175
Outside,2558,2023-07-28,9:00 PM,209,21,Night,1.147,10.2675
Outside,2558,2023-07-28,10:00 PM,209,22,Night,1.274,10.71
Outside,2558,2023-07-28,11:00 PM,209,23,Night,1.414,9.4775
Outside,2558,2023-07-29,12:00 AM,210,0,Night,1.541,8.805
Outside,2558,2023-07-29,1:00 AM,210,1,Night,1.631,8.28
Outside,2558,2023-07-29,2:00 AM,210,2,Night,1.667,7.98
Outside,2558,2023-07-29,3:00 AM,210,3,Night,1.641,7.555
Outside,2558,2023-07-29,4:00 AM,210,4,Night,1.56,7.36
Outside,2558,2023-07-29,5:00 AM,210,5,Day,1.438,7.55
Outside,2558,2023-07-29,6:00 AM,210,6,Day,1.293,7.185
Outside,2558,2023-07-29,7:00 AM,210,7,Day,1.15,6.915
Outside,2558,2023-07-29,8:00 AM,210,8,Day,1.03,6.9275
Outside,2558,2023-07-29,9:00 AM,210,9,Day,0.946,7.2125
Outside,2558,2023-07-29,10:00 AM,210,10,Day,0.896,7.6475
Outside,2558,2023-07-29,11:00 AM,210,11,Day,0.874,8.075
Outside,2558,2023-07-29,12:00 PM,210,12,Day,0.876,8.5
Outside,2558,2023-07-29,1:00 PM,210,13,Day,0.898,8.775
Outside,2558,2023-07-29,2:00 PM,210,14,Day,0.932,9.4025
Outside,2558,2023-07-29,3:00 PM,210,15,Day,0.968,10.1
Outside,2558,2023-07-29,4:00 PM,210,16,Day,0.996,10.7975
Outside,2558,2023-07-29,5:00 PM,210,17,Day,1.009,10.86
Outside,2558,2023-07-29,6:00 PM,210,18,Day,1.007,10.6525
Outside,2558,2023-07-29,7:00 PM,210,19,Day,1,10.92
Outside,2558,2023-07-29,8:00 PM,210,20,Night,1.013,10.9825
Outside,2558,2023-07-29,9:00 PM,210,21,Night,1.065,11.27
Outside,2558,2023-07-29,10:00 PM,210,22,Night,1.162,10.53
Outside,2558,2023-07-29,11:00 PM,210,23,Night,1.296,8.8975
Outside,2558,2023-07-30,12:00 AM,211,0,Night,1.448,8.3875
Outside,2558,2023-07-30,1:00 AM,211,1,Night,1.593,7.5875
Outside,2558,2023-07-30,2:00 AM,211,2,Night,1.701,7.1675
Outside,2558,2023-07-30,3:00 AM,211,3,Night,1.749,7.125
Outside,2558,2023-07-30,4:00 AM,211,4,Night,1.727,7.0975
Outside,2558,2023-07-30,5:00 AM,211,5,Day,1.638,6.9375
Outside,2558,2023-07-30,6:00 AM,211,6,Day,1.497,6.435
Outside,2558,2023-07-30,7:00 AM,211,7,Day,1.327,6.6175
Outside,2558,2023-07-30,8:00 AM,211,8,Day,1.157,6.775
Outside,2558,2023-07-30,9:00 AM,211,9,Day,1.011,7.21
Outside,2558,2023-07-30,10:00 AM,211,10,Day,0.898,7.8025
Outside,2558,2023-07-30,11:00 AM,211,11,Day,0.82,8.3675
Outside,2558,2023-07-30,12:00 PM,211,12,Day,0.779,8.58
Outside,2558,2023-07-30,1:00 PM,211,13,Day,0.777,9.0925
Outside,2558,2023-07-30,2:00 PM,211,14,Day,0.807,9.6075
Outside,2558,2023-07-30,3:00 PM,211,15,Day,0.856,9.34
Outside,2558,2023-07-30,4:00 PM,211,16,Day,0.911,9.5375
Outside,2558,2023-07-30,5:00 PM,211,17,Day,0.955,9.5675
Outside,2558,2023-07-30,6:00 PM,211,18,Day,0.977,9.65
Outside,2558,2023-07-30,7:00 PM,211,19,Day,0.976,9.4325
Outside,2558,2023-07-30,8:00 PM,211,20,Night,0.969,9.475
Outside,2558,2023-07-30,9:00 PM,211,21,Night,0.982,9.5425
Outside,2558,2023-07-30,10:00 PM,211,22,Night,1.033,9.4025
Outside,2558,2023-07-30,11:00 PM,211,23,Night,1.129,9.435
Outside,2558,2023-07-31,12:00 AM,212,0,Night,1.268,9.42
Outside,2558,2023-07-31,1:00 AM,212,1,Night,1.434,8.8525
Outside,2558,2023-07-31,2:00 AM,212,2,Night,1.598,8.1025
Outside,2558,2023-07-31,3:00 AM,212,3,Night,1.723,7.5525
Outside,2558,2023-07-31,4:00 AM,212,4,Night,1.782,7.3125
Outside,2558,2023-07-31,5:00 AM,212,5,Day,1.763,7.4425
Outside,2558,2023-07-31,6:00 AM,212,6,Day,1.669,7.2725
Outside,2558,2023-07-31,7:00 AM,212,7,Day,1.514,7.2225
Outside,2558,2023-07-31,8:00 AM,212,8,Day,1.326,7.6775
Outside,2558,2023-07-31,9:00 AM,212,9,Day,1.137,7.825
Outside,2558,2023-07-31,10:00 AM,212,10,Day,0.968,8.13
Outside,2558,2023-07-31,11:00 AM,212,11,Day,0.83,8.7
Outside,2558,2023-07-31,12:00 PM,212,12,Day,0.73,9.345
Outside,2558,2023-07-31,1:00 PM,212,13,Day,0.681,10.01
Outside,2558,2023-07-31,2:00 PM,212,14,Day,0.684,10.4475
Outside,2558,2023-07-31,3:00 PM,212,15,Day,0.728,10.665
Outside,2558,2023-07-31,4:00 PM,212,16,Day,0.794,10.97
Outside,2558,2023-07-31,5:00 PM,212,17,Day,0.862,10.925
Outside,2558,2023-07-31,6:00 PM,212,18,Day,0.914,10.6125
Outside,2558,2023-07-31,7:00 PM,212,19,Day,0.934,10.2575
Outside,2558,2023-07-31,8:00 PM,212,20,Night,0.926,10.61
Outside,2558,2023-07-31,9:00 PM,212,21,Night,0.913,10.9575
Outside,2558,2023-07-31,10:00 PM,212,22,Night,0.919,10.12
Outside,2558,2023-07-31,11:00 PM,212,23,Night,0.963,9.5825
Outside,2558,2023-08-01,12:00 AM,212,0,Night,1.054,9.375
Outside,2558,2023-08-01,1:00 AM,213,1,Night,1.196,7.545
Outside,2558,2023-08-01,2:00 AM,213,2,Night,1.375,6.4675
Outside,2558,2023-08-01,3:00 AM,213,3,Night,1.554,7.0975
Outside,2558,2023-08-01,4:00 AM,213,4,Night,1.691,7.3
Outside,2558,2023-08-01,5:00 AM,213,5,Day,1.757,7.2025
Outside,2558,2023-08-01,6:00 AM,213,6,Day,1.741,7.0575
Outside,2558,2023-08-01,7:00 AM,213,7,Day,1.644,6.905
Outside,2558,2023-08-01,8:00 AM,213,8,Day,1.481,6.69
Outside,2558,2023-08-01,9:00 AM,213,9,Day,1.284,6.9725
Outside,2558,2023-08-01,10:00 AM,213,10,Day,1.085,7.2475
Outside,2558,2023-08-01,11:00 AM,213,11,Day,0.902,7.8125
Outside,2558,2023-08-01,12:00 PM,213,12,Day,0.747,8.3925
Outside,2558,2023-08-01,1:00 PM,213,13,Day,0.64,9.0325
Outside,2558,2023-08-01,2:00 PM,213,14,Day,0.598,9.6875
Outside,2558,2023-08-01,3:00 PM,213,15,Day,0.617,10.0425
Outside,2558,2023-08-01,4:00 PM,213,16,Day,0.678,10.28
Outside,2558,2023-08-01,5:00 PM,213,17,Day,0.756,10.4575
Outside,2558,2023-08-01,6:00 PM,213,18,Day,0.83,10.3
Outside,2558,2023-08-01,7:00 PM,213,19,Day,0.878,11.315
Outside,2558,2023-08-01,8:00 PM,213,20,Night,0.886,11.0075
Outside,2558,2023-08-01,9:00 PM,213,21,Night,0.864,10.615
Outside,2558,2023-08-01,10:00 PM,213,22,Night,0.839,10.1425
Outside,2558,2023-08-01,11:00 PM,213,23,Night,0.834,9.9
Outside,2558,2023-08-02,12:00 AM,214,0,Night,0.865,9.815
Outside,2558,2023-08-02,1:00 AM,214,1,Night,0.948,9.14
Outside,2558,2023-08-02,2:00 AM,214,2,Night,1.094,8
Outside,2558,2023-08-02,3:00 AM,214,3,Night,1.281,6.6
Outside,2558,2023-08-02,4:00 AM,214,4,Night,1.467,6.56
Outside,2558,2023-08-02,5:00 AM,214,5,Day,1.607,6.8525
Outside,2558,2023-08-02,6:00 AM,214,6,Day,1.675,7.055
Outside,2558,2023-08-02,7:00 AM,214,7,Day,1.661,7.1275
Outside,2558,2023-08-02,8:00 AM,214,8,Day,1.562,7.215
Outside,2558,2023-08-02,9:00 AM,214,9,Day,1.397,7.085
Outside,2558,2023-08-02,10:00 AM,214,10,Day,1.203,7.635
Outside,2558,2023-08-02,11:00 AM,214,11,Day,1.004,8.085
Outside,2558,2023-08-02,12:00 PM,214,12,Day,0.816,8.5925
Outside,2558,2023-08-02,1:00 PM,214,13,Day,0.659,9.195
Outside,2558,2023-08-02,2:00 PM,214,14,Day,0.564,9.7
Outside,2558,2023-08-02,3:00 PM,214,15,Day,0.546,10.145
Outside,2558,2023-08-02,4:00 PM,214,16,Day,0.59,10.31
Outside,2558,2023-08-02,5:00 PM,214,17,Day,0.666,10.7725
Outside,2558,2023-08-02,6:00 PM,214,18,Day,0.751,10.855
Outside,2558,2023-08-02,7:00 PM,214,19,Day,0.821,10.7675
Outside,2558,2023-08-02,8:00 PM,214,20,Night,0.852,11.385
Outside,2558,2023-08-02,9:00 PM,214,21,Night,0.839,11.1175
Outside,2558,2023-08-02,10:00 PM,214,22,Night,0.8,10.5775
Outside,2558,2023-08-02,11:00 PM,214,23,Night,0.761,9.775
Outside,2558,2023-08-03,12:00 AM,215,0,Night,0.74,9.11
Outside,2558,2023-08-03,1:00 AM,215,1,Night,0.755,8.44
