reef.id,year,year.class,species,count,passive,feeding,sheltering,total.active
control,control,control,Tautogolabrus adspersus,0,,,,
control,control,control,Gasterosteidae,4,4,0,0,0
control,control,control,Pseudopleuronectes americanus,0,,,,
control,control,control,Menidia menidia,1,1,0,0,0
control,control,control,Syngnathus fuscus,1,1,0,0,0
control,control,control,Fundulus heteroclitus,9,9,0,0,0
control,control,control,Clupeidae,0,,,,
2281,2022,1-year,Tautogolabrus adspersus,0,,,,
2281,2022,1-year,Gasterosteidae,8,6,2,0,2
2281,2022,1-year,Pseudopleuronectes americanus,1,1,0,0,0
2281,2022,1-year,Menidia menidia,1,1,0,0,0
2281,2022,1-year,Syngnathus fuscus,0,,,,
2281,2022,1-year,Fundulus heteroclitus,3,3,0,0,0
2281,2022,1-year,Clupeidae,0,,,,
2501,2021,2-year,Tautogolabrus adspersus,2,0,0,2,2
2501,2021,2-year,Gasterosteidae,5,1,1,3,4
2501,2021,2-year,Pseudopleuronectes americanus,0,,,,
2501,2021,2-year,Menidia menidia,10,3,0,7,7
2501,2021,2-year,Syngnathus fuscus,0,,,,
2501,2021,2-year,Fundulus heteroclitus,4,1,1,2,3
2501,2021,2-year,Clupeidae,0,,,,
2502,2023,0-year,Tautogolabrus adspersus,6,3,0,3,3
2502,2023,0-year,Gasterosteidae,22,2,20,0,20
2502,2023,0-year,Pseudopleuronectes americanus,3,2,0,1,1
2502,2023,0-year,Menidia menidia,11,10,1,0,1
2502,2023,0-year,Syngnathus fuscus,0,,,,
2502,2023,0-year,Fundulus heteroclitus,5,0,4,1,5
2502,2023,0-year,Clupeidae,0,,,,
2505,2022,1-year,Tautogolabrus adspersus,4,0,0,4,4
2505,2022,1-year,Gasterosteidae,4,1,3,0,3
2505,2022,1-year,Pseudopleuronectes americanus,5,2,0,3,3
2505,2022,1-year,Menidia menidia,1,0,0,1,1
2505,2022,1-year,Syngnathus fuscus,0,,,,
2505,2022,1-year,Fundulus heteroclitus,2,2,0,0,0
2505,2022,1-year,Clupeidae,0,,,,
2506,2022,1-year,Tautogolabrus adspersus,0,,,,
2506,2022,1-year,Gasterosteidae,8,2,5,1,6
2506,2022,1-year,Pseudopleuronectes americanus,0,,,,
2506,2022,1-year,Menidia menidia,0,,,,
2506,2022,1-year,Syngnathus fuscus,0,,,,
2506,2022,1-year,Fundulus heteroclitus,4,1,1,2,3
2506,2022,1-year,Clupeidae,0,,,,
2511,2021,2-year,Tautogolabrus adspersus,8,5,0,3,3
2511,2021,2-year,Gasterosteidae,6,1,5,0,5
2511,2021,2-year,Pseudopleuronectes americanus,0,,,,
2511,2021,2-year,Menidia menidia,13,13,0,0,0
2511,2021,2-year,Syngnathus fuscus,0,,,,
2511,2021,2-year,Fundulus heteroclitus,7,6,1,0,1
2511,2021,2-year,Clupeidae,0,,,,
2512,2022,1-year,Tautogolabrus adspersus,0,,,,
2512,2022,1-year,Gasterosteidae,7,0,7,0,7
2512,2022,1-year,Pseudopleuronectes americanus,4,2,0,2,2
2512,2022,1-year,Menidia menidia,4,0,4,0,4
2512,2022,1-year,Syngnathus fuscus,0,,,,
2512,2022,1-year,Fundulus heteroclitus,25,0,25,0,25
2512,2022,1-year,Clupeidae,0,,,,
2518,2023,0-year,Tautogolabrus adspersus,2,1,0,1,1
2518,2023,0-year,Gasterosteidae,13,2,11,0,11
2518,2023,0-year,Pseudopleuronectes americanus,0,,,,
2518,2023,0-year,Menidia menidia,2,2,0,0,0
2518,2023,0-year,Syngnathus fuscus,0,,,,
2518,2023,0-year,Fundulus heteroclitus,14,2,10,2,12
2518,2023,0-year,Clupeidae,0,,,,
2545,2022,1-year,Tautogolabrus adspersus,0,,,,
2545,2022,1-year,Gasterosteidae,0,,,,
2545,2022,1-year,Pseudopleuronectes americanus,0,,,,
2545,2022,1-year,Menidia menidia,0,,,,
2545,2022,1-year,Syngnathus fuscus,0,,,,
2545,2022,1-year,Fundulus heteroclitus,0,,,,
2545,2022,1-year,Clupeidae,9,9,0,0,0
2548,2021,2-year,Tautogolabrus adspersus,2,0,0,2,2
2548,2021,2-year,Gasterosteidae,4,1,3,0,3
2548,2021,2-year,Pseudopleuronectes americanus,3,1,0,2,2
2548,2021,2-year,Menidia menidia,0,,,,
2548,2021,2-year,Syngnathus fuscus,0,,,,
2548,2021,2-year,Fundulus heteroclitus,2,0,2,0,2
2548,2021,2-year,Clupeidae,6,6,0,0,0
2553,2021,2-year,Tautogolabrus adspersus,6,0,0,6,6
2553,2021,2-year,Gasterosteidae,9,1,9,0,9
2553,2021,2-year,Pseudopleuronectes americanus,4,0,0,4,4
2553,2021,2-year,Menidia menidia,4,2,0,2,2
2553,2021,2-year,Syngnathus fuscus,0,,,,
2553,2021,2-year,Fundulus heteroclitus,1,0,1,0,1
2553,2021,2-year,Clupeidae,0,,,,
