year,year.class,pile.all,pile.year,brick.all,brick.year,richness,biomass
2021,2 year,1,1,1,A,19,1205.4434
2021,2 year,1,1,2,B,20,1044.2752
2021,2 year,1,1,3,C,21,958.6856
2021,2 year,2,2,4,A,22,2064.382
2021,2 year,2,2,5,B,18,2115.1087
2021,2 year,2,2,6,C,18,1802.7427
2021,2 year,3,3,7,A,16,1346.3724
2021,2 year,3,3,8,B,19,2076.3208
2021,2 year,3,3,9,C,14,993.4158
2022,1 year,4,1,10,A,21,270.0094
2022,1 year,4,1,11,B,18,355.4714
2022,1 year,4,1,12,C,23,321.2617
2022,1 year,5,2,13,A,16,457.95
2022,1 year,5,2,14,B,20,254.1516
2022,1 year,5,2,15,C,17,165.1973
2022,1 year,6,3,16,A,21,429.4729
2022,1 year,6,3,17,B,18,286.348
2022,1 year,6,3,18,C,17,151.0824
2023,0 year,7,1,19,A,7,61.3029
2023,0 year,7,1,20,B,5,28.355
2023,0 year,7,1,21,C,9,31.0025
2023,0 year,8,2,22,A,6,27.8354
2023,0 year,8,2,23,B,8,61.523
2023,0 year,8,2,24,C,7,24.8364
2023,0 year,9,3,25,A,9,49.5733
2023,0 year,9,3,26,B,7,49.4106
2023,0 year,9,3,27,C,8,9.1952
