obs,pile,brick,years.deployed,year,Ciona intestinalis,Styela clava,Molgula sp.,Porifera,Metridium senile,Mytilus edulis,Crassostrea virginica_adult,Crassostrea virginica_spat,Crepidula fornicata,Anomia simplex,Spisula solidissima,Astarte subaequilatera,Mya arenaria,Balanomorpha
1,1,A,2 year,2021,1,337,1,0,59,270,89,430,4,5,325,10,7,64
2,1,B,2 year,2021,0,17,0,0,8,9,73,510,44,19,40,0,6,16
3,1,C,2 year,2021,0,125,0,0,8,18,79,430,6,4,39,10,10,26
4,2,A,2 year,2021,0,161,0,0,37,138,125,530,4,0,60,0,2,100
5,2,B,2 year,2021,0,74,0,0,6,131,273,140,14,3,136,0,1,30
6,2,C,2 year,2021,0,4,0,0,8,8,134,60,45,39,370,0,1,11
7,3,A,2 year,2021,0,79,0,0,10,91,163,15,60,0,42,0,2,116
8,3,B,2 year,2021,0,79,0,0,17,66,194,190,13,6,242,0,4,9
9,3,C,2 year,2021,0,17,0,0,1,19,147,260,56,24,22,0,2,44
10,1,A,1 year,2022,0,100,20,0,47,1,29,190,1,0,20,0,0,27
11,1,B,1 year,2022,0,0,0,0,66,5,8,180,5,1,10,0,0,12
12,1,C,1 year,2022,0,159,40,0,59,2,22,190,4,10,170,0,0,20
13,2,A,1 year,2022,0,137,0,0,21,6,10,0,3,0,0,0,20,1
14,2,B,1 year,2022,0,65,5,0,20,4,9,170,27,15,10,0,0,7
15,2,C,1 year,2022,0,46,0,0,15,1,0,70,33,9,140,0,2,4
16,3,A,1 year,2022,0,155,10,0,64,6,0,90,1,0,20,0,0,11
17,3,B,1 year,2022,0,55,0,0,66,5,3,10,16,3,0,0,0,142
18,3,C,1 year,2022,0,42,0,0,54,1,10,120,12,8,110,0,0,16
19,1,A,0 year,2023,0,0,0,0,0,0,0,430,0,0,20,0,0,0
20,1,B,0 year,2023,0,0,0,0,0,0,0,930,0,0,10,0,0,0
21,1,C,0 year,2023,0,0,20,0,0,0,0,200,1,0,10,0,0,0
22,2,A,0 year,2023,0,0,0,0,0,0,0,400,0,0,10,0,0,0
23,2,B,0 year,2023,0,0,0,0,0,0,0,2240,0,0,0,0,0,0
24,2,C,0 year,2023,0,0,20,0,0,0,0,1430,3,0,0,0,0,0
25,3,A,0 year,2023,0,1,0,0,0,0,0,540,0,0,0,0,0,0
26,3,B,0 year,2023,0,0,561,0,0,0,0,550,0,0,0,0,0,0
27,3,C,0 year,2023,0,0,0,0,0,0,0,40,1,0,10,0,0,0
