obs,pile,brick,years.deployed,year,Ciona intestinalis,Styela clava,Molgula sp.,Porifera,Metridium senile,Mytilus edulis,Crassostrea virginica_adults,Crassostrea virginica_spat,Crepidula fornicata,Anomia simplex,Spisula solidissima,Astarte subaequilatera,Mya arenaria,Balanomorpha
1,1,A,2 year,2021,1.3336,252.82,0.1888,0,14.0216,258.112,500.42,3.095,4.7005,1.0253,3.0168,0.001,0.604,58.1347
2,1,B,2 year,2021,0,10.48,0,0,0.7157,16.0474,703.4,1.747,16.9063,2.6359,1.146,0,0.63,11.9002
3,1,C,2 year,2021,0,139.5,0,0,2.3402,32.3339,431.49,4.312,1.8193,0.8419,0.9461,0.001,1.13,26.0662
4,2,A,2 year,2021,0,310.68,0,0,14.9238,36.517,1068.86,4.656,1.6537,0,1.297,0,0.4136,55.7709
5,2,B,2 year,2021,0,121.07,0,0,2.5985,168.53,1509.51,0.405,15.4659,1.0462,5.2754,0,2.242,24.0358
6,2,C,2 year,2021,0,3.4551,0,0,137.4958,19.8282,1208.48,0.72,26.34,13.0436,2.07,0,0.1711,11.4451
7,3,A,2 year,2021,0,98.49,0,0,2.3925,68.8425,1028.72,1.25,21.0507,0,1.3001,0,0.4569,42.8993
8,3,B,2 year,2021,0,110.23,0,0,7.6426,36.2755,1428.01,3.316,10.6291,1.3118,3.5784,0,0.4695,14.333
9,3,C,2 year,2021,0,11.49,0,0,0.5355,8.29,790.33,1.504,24.839,3.0265,1.1415,0,0.301,31.5361
10,1,A,1 year,2022,0,62.1,1.449,0,15.095,0.0789,16.027,2.134,1.2294,0,0.001,0,0,4.3583
11,1,B,1 year,2022,0,32.21,0,0,9.5945,0.4742,6.6466,1.941,6.6105,0.3896,0.001,0,0,3.8307
12,1,C,1 year,2022,0,92.34,0.272,0,13.2028,0.2133,9.5017,1.595,2.6058,3.0147,0.859,0,0,2.1513
13,2,A,1 year,2022,0,117.09,0,0,13.25,9.47,3.34,0,3.34,0,0,0,0.063,0.16
14,2,B,1 year,2022,0,63.67,0.403,0,2.56,0.5519,10.058,3.451,29.7115,5.7411,0.001,0,0,1.3722
15,2,C,1 year,2022,0,29.22,0,0,2.3414,0.4184,0,1.545,28.8138,3.6852,0.981,0,0.5052,1.7447
16,3,A,1 year,2022,0,127.92,1.522,0,21.9456,3.8258,0,3.114,0.3252,0,1.161,0,0,1.4318
17,3,B,1 year,2022,0,65.28,0,0,21.21,4.13,3.99,0.032,19.34,1.23,0,0,0,1.032
18,3,C,1 year,2022,0,42.1,0,0,3.726,0.4311,3.9316,1.446,13.021,2.1617,0.229,0,0,5.0453
19,1,A,0 year,2023,0,0,0,0,0,0,0,5.448,0,0,0.001,0,0,0
20,1,B,0 year,2023,0,0,0,0,0,0,0,9.463,0,0,0.13,0,0,0
21,1,C,0 year,2023,0,0,0.868,0,0,0,0,3.88,0.3454,0,0.001,0,0,0
22,2,A,0 year,2023,0,0,0,0,0,0,0,3.503,0,0,0.001,0,0,0
23,2,B,0 year,2023,0,0,0,0,0,0,0,9.869,0,0,0,0,0,0
24,2,C,0 year,2023,0,0,1.253,0,0,0,0,11.44,0.5441,0,0,0,0,0
25,3,A,0 year,2023,0,0.0332,0,0,0,0,0,7.958,0,0,0,0,0,0
26,3,B,0 year,2023,0,0,8.36,0,0,0,0,6.819,0,0,0,0,0,0
27,3,C,0 year,2023,0,0,0,0,0,0,0,3.297,0.41,0,0.001,0,0,0
