stand,stand.number,date,time,julian date,hour,time.of.day,tide.level.m,turbidity
Outside,2558,2023-07-26,12:00 AM,207,0,Night,1.268,4.03
Outside,2558,2023-07-26,1:00 AM,207,1,Night,1.214,4.21
Outside,2558,2023-07-26,2:00 AM,207,2,Night,1.148,2.44
Outside,2558,2023-07-26,3:00 AM,207,3,Night,1.087,2.29
Outside,2558,2023-07-26,4:00 AM,207,4,Night,1.032,2.24
Outside,2558,2023-07-26,5:00 AM,207,5,Day,0.987,1.71
Outside,2558,2023-07-26,6:00 AM,207,6,Day,0.967,1.46
Outside,2558,2023-07-26,7:00 AM,207,7,Day,0.982,1.4
Outside,2558,2023-07-26,8:00 AM,207,8,Day,1.023,2.46
Outside,2558,2023-07-26,9:00 AM,207,9,Day,1.069,0.15
Outside,2558,2023-07-26,10:00 AM,207,10,Day,1.11,2.29
Outside,2558,2023-07-26,11:00 AM,207,11,Day,1.136,2.36
Outside,2558,2023-07-26,12:00 PM,207,12,Day,1.137,2.29
Outside,2558,2023-07-26,1:00 PM,207,13,Day,1.108,2.02
Outside,2558,2023-07-26,2:00 PM,207,14,Day,1.061,1.28
Outside,2558,2023-07-26,3:00 PM,207,15,Day,1.01,1.83
Outside,2558,2023-07-26,4:00 PM,207,16,Day,0.964,1.61
Outside,2558,2023-07-26,5:00 PM,207,17,Day,0.934,1.48
Outside,2558,2023-07-26,6:00 PM,207,18,Day,0.941,1.25
Outside,2558,2023-07-26,7:00 PM,207,19,Day,0.999,3.21
Outside,2558,2023-07-26,8:00 PM,207,20,Night,1.102,2.05
Outside,2558,2023-07-26,9:00 PM,207,21,Night,1.22,3.29
Outside,2558,2023-07-26,10:00 PM,207,22,Night,1.324,2.59
Outside,2558,2023-07-26,11:00 PM,207,23,Night,1.395,2.49
Outside,2558,2023-07-27,12:00 AM,208,0,Night,1.419,3.01
Outside,2558,2023-07-27,1:00 AM,208,1,Night,1.393,2.08
Outside,2558,2023-07-27,2:00 AM,208,2,Night,1.329,2.57
Outside,2558,2023-07-27,3:00 AM,208,3,Night,1.248,1.57
Outside,2558,2023-07-27,4:00 AM,208,4,Night,1.163,1.5
Outside,2558,2023-07-27,5:00 AM,208,5,Day,1.081,1.48
Outside,2558,2023-07-27,6:00 AM,208,6,Day,1.015,1.08
Outside,2558,2023-07-27,7:00 AM,208,7,Day,0.98,1.6
Outside,2558,2023-07-27,8:00 AM,208,8,Day,0.98,1.46
Outside,2558,2023-07-27,9:00 AM,208,9,Day,1.002,0.14
Outside,2558,2023-07-27,10:00 AM,208,10,Day,1.031,14.85
Outside,2558,2023-07-27,11:00 AM,208,11,Day,1.06,1.17
Outside,2558,2023-07-27,12:00 PM,208,12,Day,1.08,1.86
Outside,2558,2023-07-27,1:00 PM,208,13,Day,1.083,1.41
Outside,2558,2023-07-27,2:00 PM,208,14,Day,1.069,1.31
Outside,2558,2023-07-27,3:00 PM,208,15,Day,1.044,1.42
Outside,2558,2023-07-27,4:00 PM,208,16,Day,1.014,1.62
Outside,2558,2023-07-27,5:00 PM,208,17,Day,0.987,1.38
Outside,2558,2023-07-27,6:00 PM,208,18,Day,0.978,0.9
Outside,2558,2023-07-27,7:00 PM,208,19,Day,1.009,0.83
Outside,2558,2023-07-27,8:00 PM,208,20,Night,1.089,5.95
Outside,2558,2023-07-27,9:00 PM,208,21,Night,1.206,1.71
Outside,2558,2023-07-27,10:00 PM,208,22,Night,1.334,2.87
Outside,2558,2023-07-27,11:00 PM,208,23,Night,1.448,3.7
Outside,2558,2023-07-28,12:00 AM,209,0,Night,1.525,3.77
Outside,2558,2023-07-28,1:00 AM,209,1,Night,1.551,3.69
Outside,2558,2023-07-28,2:00 AM,209,2,Night,1.523,2.57
Outside,2558,2023-07-28,3:00 AM,209,3,Night,1.45,2.32
Outside,2558,2023-07-28,4:00 AM,209,4,Night,1.35,7.51
Outside,2558,2023-07-28,5:00 AM,209,5,Day,1.235,2.13
Outside,2558,2023-07-28,6:00 AM,209,6,Day,1.122,0.99
Outside,2558,2023-07-28,7:00 AM,209,7,Day,1.031,0.87
Outside,2558,2023-07-28,8:00 AM,209,8,Day,0.974,1.25
Outside,2558,2023-07-28,9:00 AM,209,9,Day,0.951,0.14
Outside,2558,2023-07-28,10:00 AM,209,10,Day,0.951,1.66
Outside,2558,2023-07-28,11:00 AM,209,11,Day,0.965,0.75
Outside,2558,2023-07-28,12:00 PM,209,12,Day,0.987,0.93
Outside,2558,2023-07-28,1:00 PM,209,13,Day,1.01,1.41
Outside,2558,2023-07-28,2:00 PM,209,14,Day,1.027,1.33
Outside,2558,2023-07-28,3:00 PM,209,15,Day,1.034,1.99
Outside,2558,2023-07-28,4:00 PM,209,16,Day,1.03,1.81
Outside,2558,2023-07-28,5:00 PM,209,17,Day,1.017,1.32
Outside,2558,2023-07-28,6:00 PM,209,18,Day,1.004,1.77
Outside,2558,2023-07-28,7:00 PM,209,19,Day,1.009,0.71
Outside,2558,2023-07-28,8:00 PM,209,20,Night,1.055,2.81
Outside,2558,2023-07-28,9:00 PM,209,21,Night,1.147,1.93
Outside,2558,2023-07-28,10:00 PM,209,22,Night,1.274,2.22
Outside,2558,2023-07-28,11:00 PM,209,23,Night,1.414,2.5
Outside,2558,2023-07-29,12:00 AM,210,0,Night,1.541,4.47
Outside,2558,2023-07-29,1:00 AM,210,1,Night,1.631,3.18
Outside,2558,2023-07-29,2:00 AM,210,2,Night,1.667,3.77
Outside,2558,2023-07-29,3:00 AM,210,3,Night,1.641,3.8
Outside,2558,2023-07-29,4:00 AM,210,4,Night,1.56,2.19
Outside,2558,2023-07-29,5:00 AM,210,5,Day,1.438,2.06
Outside,2558,2023-07-29,6:00 AM,210,6,Day,1.293,2.31
Outside,2558,2023-07-29,7:00 AM,210,7,Day,1.15,2.32
Outside,2558,2023-07-29,8:00 AM,210,8,Day,1.03,1.15
Outside,2558,2023-07-29,9:00 AM,210,9,Day,0.946,0.24
Outside,2558,2023-07-29,10:00 AM,210,10,Day,0.896,5.59
Outside,2558,2023-07-29,11:00 AM,210,11,Day,0.874,2.52
Outside,2558,2023-07-29,12:00 PM,210,12,Day,0.876,1.8
Outside,2558,2023-07-29,1:00 PM,210,13,Day,0.898,1.53
Outside,2558,2023-07-29,2:00 PM,210,14,Day,0.932,1.39
Outside,2558,2023-07-29,3:00 PM,210,15,Day,0.968,1.71
Outside,2558,2023-07-29,4:00 PM,210,16,Day,0.996,1.3
Outside,2558,2023-07-29,5:00 PM,210,17,Day,1.009,1.1
Outside,2558,2023-07-29,6:00 PM,210,18,Day,1.007,1.19
Outside,2558,2023-07-29,7:00 PM,210,19,Day,1,0.73
Outside,2558,2023-07-29,8:00 PM,210,20,Night,1.013,1.43
Outside,2558,2023-07-29,9:00 PM,210,21,Night,1.065,2.63
Outside,2558,2023-07-29,10:00 PM,210,22,Night,1.162,1.52
Outside,2558,2023-07-29,11:00 PM,210,23,Night,1.296,2.47
Outside,2558,2023-07-30,12:00 AM,211,0,Night,1.448,2.42
Outside,2558,2023-07-30,1:00 AM,211,1,Night,1.593,4.78
Outside,2558,2023-07-30,2:00 AM,211,2,Night,1.701,3.01
Outside,2558,2023-07-30,3:00 AM,211,3,Night,1.749,1.88
Outside,2558,2023-07-30,4:00 AM,211,4,Night,1.727,1.77
Outside,2558,2023-07-30,5:00 AM,211,5,Day,1.638,1.82
Outside,2558,2023-07-30,6:00 AM,211,6,Day,1.497,1.73
Outside,2558,2023-07-30,7:00 AM,211,7,Day,1.327,1.68
Outside,2558,2023-07-30,8:00 AM,211,8,Day,1.157,1.8
Outside,2558,2023-07-30,9:00 AM,211,9,Day,1.011,0.19
Outside,2558,2023-07-30,10:00 AM,211,10,Day,0.898,1.52
Outside,2558,2023-07-30,11:00 AM,211,11,Day,0.82,1.88
Outside,2558,2023-07-30,12:00 PM,211,12,Day,0.779,0.97
Outside,2558,2023-07-30,1:00 PM,211,13,Day,0.777,2.39
Outside,2558,2023-07-30,2:00 PM,211,14,Day,0.807,0.94
Outside,2558,2023-07-30,3:00 PM,211,15,Day,0.856,0.85
Outside,2558,2023-07-30,4:00 PM,211,16,Day,0.911,0.73
Outside,2558,2023-07-30,5:00 PM,211,17,Day,0.955,1.62
Outside,2558,2023-07-30,6:00 PM,211,18,Day,0.977,4.23
Outside,2558,2023-07-30,7:00 PM,211,19,Day,0.976,1.46
Outside,2558,2023-07-30,8:00 PM,211,20,Night,0.969,1.34
Outside,2558,2023-07-30,9:00 PM,211,21,Night,0.982,2.75
Outside,2558,2023-07-30,10:00 PM,211,22,Night,1.033,0.63
Outside,2558,2023-07-30,11:00 PM,211,23,Night,1.129,0.81
Outside,2558,2023-07-31,12:00 AM,212,0,Night,1.268,1.87
Outside,2558,2023-07-31,1:00 AM,212,1,Night,1.434,1.48
Outside,2558,2023-07-31,2:00 AM,212,2,Night,1.598,2.4
Outside,2558,2023-07-31,3:00 AM,212,3,Night,1.723,2.74
Outside,2558,2023-07-31,4:00 AM,212,4,Night,1.782,2.32
Outside,2558,2023-07-31,5:00 AM,212,5,Day,1.763,2.24
Outside,2558,2023-07-31,6:00 AM,212,6,Day,1.669,2.14
Outside,2558,2023-07-31,7:00 AM,212,7,Day,1.514,1.43
Outside,2558,2023-07-31,8:00 AM,212,8,Day,1.326,2.45
Outside,2558,2023-07-31,9:00 AM,212,9,Day,1.137,0.21
Outside,2558,2023-07-31,10:00 AM,212,10,Day,0.968,1.8
Outside,2558,2023-07-31,11:00 AM,212,11,Day,0.83,1.67
Outside,2558,2023-07-31,12:00 PM,212,12,Day,0.73,2.93
Outside,2558,2023-07-31,1:00 PM,212,13,Day,0.681,2.78
Outside,2558,2023-07-31,2:00 PM,212,14,Day,0.684,1.98
Outside,2558,2023-07-31,3:00 PM,212,15,Day,0.728,1.29
Outside,2558,2023-07-31,4:00 PM,212,16,Day,0.794,1.53
Outside,2558,2023-07-31,5:00 PM,212,17,Day,0.862,0.78
Outside,2558,2023-07-31,6:00 PM,212,18,Day,0.914,1.23
Outside,2558,2023-07-31,7:00 PM,212,19,Day,0.934,1.16
Outside,2558,2023-07-31,8:00 PM,212,20,Night,0.926,1.41
Outside,2558,2023-07-31,9:00 PM,212,21,Night,0.913,1.52
Outside,2558,2023-07-31,10:00 PM,212,22,Night,0.919,0.68
Outside,2558,2023-07-31,11:00 PM,212,23,Night,0.963,1.09
Outside,2558,2023-08-01,12:00 AM,212,0,Night,1.054,0.93
Outside,2558,2023-08-01,1:00 AM,213,1,Night,1.196,1.09
Outside,2558,2023-08-01,2:00 AM,213,2,Night,1.375,8.61
Outside,2558,2023-08-01,3:00 AM,213,3,Night,1.554,3.33
Outside,2558,2023-08-01,4:00 AM,213,4,Night,1.691,2.01
Outside,2558,2023-08-01,5:00 AM,213,5,Day,1.757,2.13
Outside,2558,2023-08-01,6:00 AM,213,6,Day,1.741,1.75
Outside,2558,2023-08-01,7:00 AM,213,7,Day,1.644,2.18
Outside,2558,2023-08-01,8:00 AM,213,8,Day,1.481,1.71
Outside,2558,2023-08-01,9:00 AM,213,9,Day,1.284,0.29
Outside,2558,2023-08-01,10:00 AM,213,10,Day,1.085,3.98
Outside,2558,2023-08-01,11:00 AM,213,11,Day,0.902,1.41
Outside,2558,2023-08-01,12:00 PM,213,12,Day,0.747,1.73
Outside,2558,2023-08-01,1:00 PM,213,13,Day,0.64,1.54
Outside,2558,2023-08-01,2:00 PM,213,14,Day,0.598,7.2
Outside,2558,2023-08-01,3:00 PM,213,15,Day,0.617,1
Outside,2558,2023-08-01,4:00 PM,213,16,Day,0.678,49.15
Outside,2558,2023-08-01,5:00 PM,213,17,Day,0.756,1.95
Outside,2558,2023-08-01,6:00 PM,213,18,Day,0.83,1.27
Outside,2558,2023-08-01,7:00 PM,213,19,Day,0.878,2.29
Outside,2558,2023-08-01,8:00 PM,213,20,Night,0.886,2.15
Outside,2558,2023-08-01,9:00 PM,213,21,Night,0.864,1.32
Outside,2558,2023-08-01,10:00 PM,213,22,Night,0.839,0.67
Outside,2558,2023-08-01,11:00 PM,213,23,Night,0.834,0.89
Outside,2558,2023-08-02,12:00 AM,214,0,Night,0.865,0.57
Outside,2558,2023-08-02,1:00 AM,214,1,Night,0.948,0.95
Outside,2558,2023-08-02,2:00 AM,214,2,Night,1.094,2.54
Outside,2558,2023-08-02,3:00 AM,214,3,Night,1.281,2.45
Outside,2558,2023-08-02,4:00 AM,214,4,Night,1.467,3.12
Outside,2558,2023-08-02,5:00 AM,214,5,Day,1.607,2.88
Outside,2558,2023-08-02,6:00 AM,214,6,Day,1.675,2.65
Outside,2558,2023-08-02,7:00 AM,214,7,Day,1.661,3.86
Outside,2558,2023-08-02,8:00 AM,214,8,Day,1.562,2.56
Outside,2558,2023-08-02,9:00 AM,214,9,Day,1.397,2.18
Outside,2558,2023-08-02,10:00 AM,214,10,Day,1.203,2.45
Outside,2558,2023-08-02,11:00 AM,214,11,Day,1.004,1.98
Outside,2558,2023-08-02,12:00 PM,214,12,Day,0.816,1.89
Outside,2558,2023-08-02,1:00 PM,214,13,Day,0.659,2.93
Outside,2558,2023-08-02,2:00 PM,214,14,Day,0.564,1.06
Outside,2558,2023-08-02,3:00 PM,214,15,Day,0.546,1.25
Outside,2558,2023-08-02,4:00 PM,214,16,Day,0.59,1.41
Outside,2558,2023-08-02,5:00 PM,214,17,Day,0.666,0.71
Outside,2558,2023-08-02,6:00 PM,214,18,Day,0.751,432.92
Outside,2558,2023-08-02,7:00 PM,214,19,Day,0.821,0.57
Outside,2558,2023-08-02,8:00 PM,214,20,Night,0.852,1.22
Outside,2558,2023-08-02,9:00 PM,214,21,Night,0.839,0.78
Outside,2558,2023-08-02,10:00 PM,214,22,Night,0.8,0.65
Outside,2558,2023-08-02,11:00 PM,214,23,Night,0.761,1.17
Outside,2558,2023-08-03,12:00 AM,215,0,Night,0.74,1.95
Outside,2558,2023-08-03,1:00 AM,215,1,Night,0.755,1.35
Outside,2558,2023-08-03,2:00 AM,215,2,Night,0.831,1.5
Outside,2558,2023-08-03,3:00 AM,215,3,Night,0.979,2.52
Outside,2558,2023-08-03,4:00 AM,215,4,Night,1.168,3.26
Outside,2558,2023-08-03,5:00 AM,215,5,Day,1.349,3.57
Outside,2558,2023-08-03,6:00 AM,215,6,Day,1.483,2.54
Outside,2558,2023-08-03,7:00 AM,215,7,Day,1.549,2.76
Outside,2558,2023-08-03,8:00 AM,215,8,Day,1.532,2.57
Outside,2558,2023-08-03,9:00 AM,215,9,Day,1.432,0.4
Outside,2558,2023-08-03,10:00 AM,215,10,Day,1.273,2.74
Outside,2558,2023-08-03,11:00 AM,215,11,Day,1.09,2.39
Outside,2558,2023-08-03,12:00 PM,215,12,Day,0.9,2.49
Outside,2558,2023-08-03,1:00 PM,215,13,Day,0.72,3.37
Outside,2558,2023-08-03,2:00 PM,215,14,Day,0.582,1.43
Outside,2558,2023-08-03,3:00 PM,215,15,Day,0.521,1.55
Outside,2558,2023-08-03,4:00 PM,215,16,Day,0.539,1.3
Outside,2558,2023-08-03,5:00 PM,215,17,Day,0.607,0.8
Outside,2558,2023-08-03,6:00 PM,215,18,Day,0.695,1.35
Outside,2558,2023-08-03,7:00 PM,215,19,Day,0.778,0.95
Outside,2558,2023-08-03,8:00 PM,215,20,Night,0.833,1.46
Outside,2558,2023-08-03,9:00 PM,215,21,Night,0.84,0.95
Outside,2558,2023-08-03,10:00 PM,215,22,Night,0.803,1.18
Outside,2558,2023-08-03,11:00 PM,215,23,Night,0.747,1.43
Outside,2558,2023-08-04,12:00 AM,216,0,Night,0.692,12.9
Outside,2558,2023-08-04,1:00 AM,216,1,Night,0.652,0.8
Outside,2558,2023-08-04,2:00 AM,216,2,Night,0.651,1.06
Outside,2558,2023-08-04,3:00 AM,216,3,Night,0.724,0.67
Outside,2558,2023-08-04,4:00 AM,216,4,Night,0.87,2.32
Outside,2558,2023-08-04,5:00 AM,216,5,Day,1.05,2.51
Outside,2558,2023-08-04,6:00 AM,216,6,Day,1.217,2.21
Outside,2558,2023-08-04,7:00 AM,216,7,Day,1.339,2.92
Outside,2558,2023-08-04,8:00 AM,216,8,Day,1.396,3.17
Outside,2558,2023-08-04,9:00 AM,216,9,Day,1.372,0.69
Outside,2558,2023-08-04,10:00 AM,216,10,Day,1.273,4.28
Outside,2558,2023-08-04,11:00 AM,216,11,Day,1.128,5.49
Outside,2558,2023-08-04,12:00 PM,216,12,Day,0.963,5.04
Outside,2558,2023-08-04,1:00 PM,216,13,Day,0.79,8.02
Outside,2558,2023-08-04,2:00 PM,216,14,Day,0.633,2.86
