Type,Site,Latitude,Longitude
Fish__Poisson,Bass Trap,46.9583,-65.6899
Fish__Poisson,Cassilis,46.9339,-65.7836
Fish__Poisson,Opposite Hatchett,46.9582,-65.6899
Invertebrate__Invertébré,Little South-West,46.9234,-65.9583
Invertebrate__Invertébré,Lyttleton,46.9358,-65.9085
Invertebrate__Invertébré,Wayerton Bridge,47.1354,-65.8332
Invertebrate__Invertébré,Wilson’s Point,46.964,-65.58185
Invertebrate__Invertébré,Cassilis,46.9339,-65.7836
Invertebrate__Invertébré,Bass Trap,46.9583,-65.6899
Invertebrate__Invertébré,Opposite Hatchett,46.9582,-65.6899
Invertebrate__Invertébré,Strawberry Marsh,46.9881,-65.5631
Invertebrate__Invertébré,Beaubear Island,46.9785,-65.5553
Invertebrate__Invertébré,Bartibog,47.0746,-65.3363
Invertebrate__Invertébré,East Point,47.0744,-65.3353
Invertebrate__Invertébré,Oak Point,47.128,-65.2553
Invertebrate__Invertébré,Pointe-Aux-Carr,47.0771,-65.2152
