Sample_ID,Species,Location,Catch_Method_Notes,Tissue,Year,Date_Collected,Date_Dissected,Date_Analyzed,Fork_Length ,Unit_FLength,Weight,Unit_weight,ë13C,ë15N,ë34S,X.C,X.N,C.N_ratio,X.S ,d13C_Lipid_Corr,Notes
2019-SIM-002,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,03-07-2019,20-2-2020,12.8,Centimeters,15.3,Grams,-19.8,13.77,17.49,41.76,12.4,3.37,1.11,-19,
2019-SIM-003,Yellow Perch,Cassilis,Fyke Net,Muscle,2019,03-06-2019,03-07-2019,27-11-2020,19.6,Centimeters,79.768,Grams,-21.22,12.18,12.32,45.01,14,3.22,1.06,-20.7,
2019-SIM-004,White Sucker,Cassilis,Fyke Net,Muscle,2019,03-06-2019,03-07-2019,08-09-2022,9.7,Centimeters,9.777,Grams,-22.57,10.35,14.76,48.93,12.56,3.89,0.77,-20.9,
2019-SIM-005,White Sucker,Cassilis,Fyke Net,Muscle,2019,03-06-2019,03-07-2019,08-09-2022,12.8,Centimeters,25.052,Grams,-22.9,8.14,11.43,46.53,13.52,3.44,0.67,-22,
2019-SIM-006,White Sucker,Cassilis,Fyke Net,Muscle,2019,03-06-2019,03-07-2019,08-09-2022,17.4,Centimeters,70.292,Grams,-21.91,10.61,15.95,45.91,13.46,3.41,0.66,-21.1,
2019-SIM-007,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,8.7,Centimeters,6.49,Grams,-18.27,10.67,13.61,47.71,14.4,3.31,1.29,-17.6,
2019-SIM-008,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,7.6,Centimeters,3.9,Grams,-21.38,12.29,12.75,48,14.27,3.36,1.25,-20.6,
2019-SIM-009,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,5.3,Centimeters,1.6,Grams,-20.92,9.74,5.53,46.09,13.23,3.48,1.34,-19.9,
2019-SIM-010,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,7.15,Centimeters,4.909,Grams,-21.96,11.34,12.57,47.83,14.03,3.41,1.42,-21.1,
2019-SIM-011,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,8.1,Centimeters,6.33,Grams,-22.17,12.76,15.02,48.31,14.1,3.42,1.27,-21.3,
