"year","biomass.median_biomasse.médiane","biomass.025_biomasse.025","biomass.25_biomasse.25","biomass.75_biomasse.75","biomass.975_biomasse.975"
1950,288.4585,232.364625,263.8795,313.42125,379.1525
1951,292.649,236.669775,269.87375,317.343,385.38205
1952,306.047,248.907275,284.1855,331.71325,398.638375
1953,314.5215,259.579675,294.47875,338.642,396.1158
1954,313.7585,262.2892,295.26325,336.0545,380.949675
1955,297.123,251.948975,279.5925,316.62875,352.557825
1956,294.9835,256.610825,278.05975,311.473,342.824
1957,272.5985,236.842175,258.02625,287.56125,314.677525
1958,249.18,218.648875,235.893,263.32125,289.5285
1959,202.9115,175.4686,190.95575,214.12425,236.231425
1960,162.397,137.55585,152.23325,172.922,188.8177
1961,188.335,160.8475,177.03325,199.7015,215.660575
1962,230.4205,198.0083,217.55125,244.389,263.328875
1963,243.632,212.863275,232.40325,256.5725,275.8024
1964,198.121,171.7178,188.792,206.812,224.83855
1965,171,147.46735,162.565,178.65325,194.261725
1966,135.8635,115.7805,128.373,142.66175,155.509775
1967,124.9845,107.72095,117.566,131.08175,141.92965
1968,162.823,145.35565,155.76525,169.60575,181.65485
1969,176.4805,160.186225,169.69075,183.18075,194.1052
1970,189.473,175.1648,183.43875,195.95925,206.903425
1971,169.96,157.50745,164.28625,175.4175,186.871825
1972,158.772,147.64435,154.107,163.77,174.68735
1973,129.2495,119.454,124.803,133.4785,143.7303
1974,122.8175,112.988225,118.61325,127.81775,139.754825
1975,115.5515,104.81,110.80075,120.65975,135.925375
1976,115.5395,102.672225,110.41575,121.44325,139.70035
1977,141.893,122.1904,134.07275,151.0925,177.22905
1978,220.9045,190.6597,207.895,236.92825,278.9026
1979,285.574,245.1845,266.804,308.10625,367.575225
1980,311.3205,267.483625,290.5685,339.58025,412.20115
1981,342.057,291.40035,318.0115,372.3605,452.0571
1982,340.987,287.279,316.27,370.541,449.622675
1983,336.517,278.888775,313.6865,364.54625,439.134425
1984,313.949,255.656475,293.2165,339.24425,407.78355
1985,315.4095,261.728175,295.93875,341.1545,413.3973
1986,307.3425,258.80765,289.2775,331.338,408.7822
1987,264.339,224.59585,249.8095,282.236,348.31925
1988,230.3285,198.5431,218.56975,247.54,302.622075
1989,201.715,174.7096,190.87325,217.84775,260.54535
1990,169.4685,146.120725,159.39975,182.7575,217.208
1991,139.8045,117.117025,130.8725,151.5175,180.320875
1992,112.4675,91.177715,104.52075,123.2445,152.622275
1993,91.7347,71.1309225,84.6527,101.628,133.241725
1994,92.91255,73.3309125,86.33215,101.9655,133.88315
1995,98.68835,80.112605,91.88965,108.10125,140.928425
1996,105.5825,86.24411,98.088775,115.27825,150.28515
1997,113.589,92.7010675,105.2615,123.84975,158.6396
1998,114.5045,93.988935,105.57025,125.40625,159.57095
1999,110.0855,90.3916275,101.03825,122.002,152.17285
2000,109.4515,88.35594,99.933725,122.0515,148.259675
2001,110.3105,87.692325,100.3865,122.51775,145.596775
2002,98.2731,77.5881075,88.544475,108.935,128.369825
2003,85.827,67.9735625,77.6512,95.07045,113.863475
2004,81.3014,64.73515,74.131525,89.912175,107.562
2005,70.651,57.008005,64.636775,78.4088,92.132225
2006,64.6021,52.8689825,59.3673,71.75105,84.43069
2007,56.4713,46.0803025,52.0666,62.595375,73.79026
2008,44.73835,36.395745,41.2729,48.909675,58.006855
2009,33.0601,26.7542725,30.5284,36.3455,43.399225
2010,30.264,24.4868675,27.968025,33.35875,40.30282
2011,28.5497,23.00085,26.24565,31.2931,37.876005
2012,26.25925,21.3797975,24.105125,28.606675,34.2682225
2013,24.56775,20.0869075,22.644175,26.779,31.922075
2014,24.48755,20.282825,22.802,26.654825,31.6171375
2015,26.27775,21.97637,24.581675,28.665975,33.70813
2016,25.6028,21.2604075,23.971525,27.897825,32.5592175
2017,20.90655,17.1049025,19.51195,22.4635,25.83816
2018,14.05685,11.167585,12.972175,15.21245,17.65843
2019,10.7351,8.37856375,9.8095175,11.730825,13.7654175
2020,10.37715,7.7278905,9.3515975,11.475975,13.54667
2021,11.4678,8.15181275,10.3308,12.86515,15.4905925
2022,12.87735,8.90101675,11.449525,14.655925,18.047035
2023,11.88645,7.8404085,10.546425,13.56535,16.5300375
