name__nom,description_en,description_fr
Sampling year,Sample year,Année d'échantillonnage
Station code,Station code,Code de la station
Station name,Station name,Nom de la station
Date in,Date of deployment (yyyy-mm-dd),Date de la mise à l'eau (aaaa-mm-jj)
Date out,Date of retrieval (yyyy-mm-dd),Date de sortie de l'eau (aaaa-mm-jj)
Weeks,Duration in number of weeks,Durée de la saison période d'immersion en semaines
Station Description,Station description,Description de la station
Collector Latitude,Latitude of the collector (decimal degrees),Latitude du collecteur (degrés décimaux)
Collector Longitude,Longitude of the collector (decimal degrees),Longitude du collecteur (degrés décimaux)
Collector ID,Collector identifier,Numéro du collecteur
Surface Type,Surface type (plate or petri dish),Type de surface (plaque ou pétri)
Surface ID,Surface identifier,Numéro du surface
Probe Type,Probe model name,Modèle de la sonde
Probe Sample Date/Time,Date and time of probe sample (yyyy-mm-dd hh:mm),Date et heure de l'échantillonnage des paramètres physico-chimiques de l'eau (aaaa-mm-jj hh:mm)
Probe Depth,Probe depth (m),Profondeur de la sonde (m)
Temperture C,Water temperature (degrés C),Température de l'eau au moment de l'échantillonnage (degrés C)
Sal ppt,Salinity (ppt),Salinité de l'eau au moment de l'échatillonnage (ppt)
O2 percent,Dissolved oxygen (%),Oxygène dissout (%)
O2 mg-l,Dissolved oxygen (mg/L),Oxygène dissout (mg/L)
SpCond - mS,Specific conductance (mS),Conductance spécifique (mS)
Spc - mS,Conductivity (mS),Conductivité (mS)
pH,pH,pH
Turbidity,Turbidity,Turbidité
Weather Notes,Weather description,Description météo
Samplers,Names of samplers and their organization affiliations,noms des échantillonneurs et nom de l’organisme responsable
Other species,Other species present on surface,Autre espèces présentes sur le surface
B. violaceus % cover,% coverage of Botrylloides violaceus,% de recouvrement de Botrylloides violaceus
B. violaceus Color Notes,Color morph notes for Botrylloides violaceus,Patrons de couleur de Botrylloides violaceus
C. intestinalis % cover,% coverage of Ciona intestinalis,% de recouvrement de Ciona intestinalis
S. clava % cover,% coverage of Styela clava,% de recouvrement de Styela clava
B. schlosseri % cover,% coverage of Botryllus schlosseri,% de recouvrement de Botryllus schlosseri
B. schlosseri Color Notes,Color morph notes for Botryllus schlosseri,Patrons de couleur de Botryllus schlosseri
C. mutica % cover,% coverage of Caprella mutica,% de recouvrement de Caprella mutica
M. membranacea % cover,% coverage of Membranipora membranacea,% de recouvrement de Membranipora membranacea
C. fragile fragile % cover,% coverage of Codium fragile fragile,% de recouvrement de Codium fragile fragile
