Sampling year,Station code,Station name,Date in,Date out,Weeks,Station Description,Collector Latitude,Collector Longitude,Collector ID,Surface Type,Surface ID,Probe Type,Probe Sample Date/Time,Probe Depth,Temperture C,Sal ppt,O2 percent,O2 mg-l,SpCond - mS,Spc - mS,pH,Turbidity,Weather Notes,Samplers,Other species,B. violaceus % cover,B. violaceus Color Notes,C. intestinalis % cover,S. clava % cover,B. schlosseri % cover,B. schlosseri Color Notes,C. mutica % cover,M. membranacea % cover,C. fragile fragile % cover
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73834,-62.68682,676,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,5,"Beige, orange and rust",90,0,5,Black and purple colonies,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73833,-62.68668,672,Petri dish,Petri dish 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,5,yellow,80,0,0,,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73833,-62.68668,672,Petri dish,Petri dish 2,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,5,orange and rust,60,0,10,black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73833,-62.68668,672,Petri dish,Petri dish 3,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,0,,70,0,10,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73833,-62.68668,672,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,2,Beige,95,0,3,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73838,-62.68651,673,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sponge (Porifera)",15,"Rust, orange and burgendy",0,0,10,Black and purple and black and red colonies,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73873,-62.6865,671,Petri dish,Petri dish 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Bryozoans (Ectoprocta),2,"Orange, rust and yellow",0,0,5,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73873,-62.6865,671,Petri dish,Petri dish 2,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Bryozoans (Ectoprocta),5,Orange and rust,0,0,1,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73873,-62.6865,671,Petri dish,Petri dish 3,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Bryozoans (Ectoprocta),5,"Orange, beige and rust",0,0,0,,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73873,-62.6865,671,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,5,Orange and burgendy,0,0,5,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73903,-62.68649,675,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Barnacle (Cirripedia),5,Rust,0,0,5,Black and purple,0,0,0
2018,20,"Caribou, NS",2018-05-29,2018-10-04,18.29,,45.73855,-62.68649,974,Plate,Plate 1,YSI Pro+,2018-10-04 13:57,1.0,14.3,30.35,91.9,7.79,46726.0,37160.0,,,Windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Bryozoans (Ectoprocta), Jingle shell (Anomiidae), Sponge (Porifera)",5,"Beige, orange and rust",20,0,20,Black and purple,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47544,-64.7129,660,Petri dish,Petri dish 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47544,-64.7129,660,Petri dish,Petri dish 2,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47544,-64.7129,660,Petri dish,Petri dish 3,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47544,-64.7129,660,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
