seasons,station_code,station_name,station_province,station_description,station_latitude,station_longitude,list_of_other_species_observed,B_violaceus_detected,C_intestinalis_detected,S_clava_detected,B_schlosseri_detected,C_mutica_detected,M_membranacea_detected,C_fragile fragile_detected
2018,91,Aboiteau,NB,Marina and wharf. Wood structure.,46.22953,-64.29719,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Little vase sponge (Scypha ciliata - Sycon ciliatum), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria)",False,False,False,False,False,False,False
2018,27,Alberton,PE,,46.79628,-64.05791,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Jingle shell (Anomiidae), Sea grapes (Molgula sp)",True,False,False,True,False,False,False
2018,50,Aulds Cove,NS,,45.64824,-61.4353,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp)",True,False,False,True,False,False,False
2018,22,Ballantynes Cove,NS,,45.85872,-61.91898,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",True,True,False,True,False,False,False
2018,44,Barachois Harbour,NB,,45.73212,-63.26453,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Sponge (Porifera)",False,False,False,False,False,False,False
2018,3,Bas Caraquet,NB,,47.8031,-64.87206,"Anemones (Actiniaria), Blue mussel (Mytilus edulis), Mussel spat (Mytilidae), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",False,False,False,True,False,False,False
2018,56,Basin Head,PE,,46.38478333,-62.10188333,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Fan ectoproct (Bugula spp), Sponge (Porifera), Ulva (Ulva)",False,False,False,False,False,False,False
2018,45,Bathurst,NB,,47.65783,-65.62671,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Mussel spat (Mytilidae), Soft shell clam (Mya arenaria)",False,False,False,False,False,False,False
2018,90,Bayfield,NS,Commercial wharf with floating docks,45.64547,-61.75435,"Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",True,True,False,True,False,False,False
2018,31,Bideford,PE,,46.61719,-63.91655,"Barnacle (Cirripedia), Bryozoans (Ectoprocta)",False,False,True,True,False,False,False
2018,33,Borden,PE,,46.24948,-63.70099,"Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp)",True,False,False,True,False,False,False
2018,11,Bouctouche,NB,Marina,46.47568,-64.71331,"Anemones (Actiniaria), Barnacle (Cirripedia), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",False,False,False,False,False,False,False
2018,16,Cape Tormentine,NB,Commercial,46.13477,-63.77724,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera)",True,False,False,False,False,False,False
2018,2,Caraquet,NB,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.79688,-64.92723,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Little vase sponge (Scypha ciliata - Sycon ciliatum), Mussel spat (Mytilidae)",False,False,False,True,False,False,False
2018,20,Caribou,NS,,45.73861,-62.68648,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Jingle shell (Anomiidae), Sponge (Porifera)",True,True,False,True,False,False,False
2018,21,Chance Harbour,NS,,45.67947,-62.58035,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Sponge (Porifera)",True,False,False,True,False,False,False
2018,38,Charlottetown,PE,,46.23124,-63.12219,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",True,False,False,True,True,False,False
2018,26,Chéticamp,NS,,46.60305,-61.02261,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sponge (Porifera)",True,False,False,True,False,False,False
2018,12,Cocagne,NB,,46.35558,-64.57497,"Barnacle (Cirripedia), Sea grapes (Molgula sp), Sponge (Porifera)",False,False,False,False,True,False,False
2018,30,Conway Narrows,PE,,46.65518,-63.91164,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp), Sponge (Porifera)",True,False,False,True,False,False,False
2018,23,Cribbons Point,NS,"Commercial Wharf. 	Primarily cement, wood and pvc.",45.75577,-61.8967,Bryozoans (Ectoprocta),True,False,False,True,False,False,False
2018,48,Egmont Bay,PE,,46.54981,-64.08887,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp)",False,False,True,False,False,False,False
2018,46,Escuminac,NB,,47.08062,-64.8877,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica), Jingle shell (Anomiidae), Nudibranchs (Nudibranchia), Soft shell clam (Mya arenaria)",False,False,False,False,False,False,False
2018,28,Foxley,PE,,46.74467,-64.07397,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Gastropod (Gastropoda), Sea grapes (Molgula sp)",False,False,False,False,False,False,False
2018,40,Georgetown,PE,,46.17871,-62.5313,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sea star (Asteroidea)",True,True,True,True,False,False,False
2018,25,Grand-Etang,NS,,46.54861,-61.04403,"Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Fan ectoproct (Bugula spp)",True,False,False,True,False,False,False
2018,13,Grande Digue,NB,Commerical,46.31356,-64.50982,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica)",False,False,False,False,False,False,False
2018,9,Kouchibouguac,NB,Commercial,46.83158,-64.93414,"Barnacle (Cirripedia), Jingle shell (Anomiidae), Mussel spat (Mytilidae), Nudibranchs (Nudibranchia)",False,False,False,False,False,False,False
2018,24,Mabou,NS,,46.086639,-61.46465,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Sponge (Porifera)",False,False,False,False,False,False,False
2018,53,Merigomish,NS,"small wooded/rock wharf, very shallow in a small protected bay with a few small floating docks only deployed in mid summer for a month or so.",45.63716111,-62.421725,"Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica)",False,False,False,False,False,False,False
2018,8,Miramichi,NB,Miramichi has multiple monitoring locations (both Chatham and Douglastown Marinas in some years) so GPS coordinate was chosen from mid way between these two to represent this station.,47.027479,-65.48241,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa )",False,False,False,False,False,False,False
