year_annee,stock,4t_fixed_spring,4t_mobile_spring,4t_fixed_fall,4t_mobile_fall,4t_total,4vn_total,4tvn_total
1978,ss,7498,6400,231,10187,24316,799,25115
1978,fs,1048,1647,4910,21568,29173,2042,31215
1978,total,8546,8047,5141,31755,53489,2841,56330
1979,ss,6799,13683,218,8288,28988,1598,30586
1979,fs,826,217,5856,12330,19229,1313,20542
1979,total,7625,13900,6074,20618,48217,2911,51128
1980,ss,7192,6555,575,8701,23023,1303,24326
1980,fs,74,7361,5971,6114,19520,2547,22067
1980,total,7266,13916,6546,14815,42543,3850,46393
1981,ss,6287,20,293,589,7189,822,8011
1981,fs,1212,1,10932,2599,14744,2594,17338
1981,total,7499,21,11225,3188,21933,3416,25349
1982,ss,5692,57,292,574,6615,834,7449
1982,fs,230,5,12691,2003,14929,2674,17603
1982,total,5922,62,12983,2577,21544,3508,25052
1983,ss,7655,17,423,1466,9561,1307,10868
1983,fs,865,2,13415,2023,16305,2672,18977
1983,total,8520,19,13838,3489,25866,3979,29845
1984,ss,4434,3,303,895,5635,1376,7011
1984,fs,847,1,15672,1384,17904,2549,20453
1984,total,5281,4,15975,2279,23539,3925,27464
1985,ss,6720,0,1287,2154,10161,1082,11243
1985,fs,498,0,22420,4867,27785,2388,30173
1985,total,7218,0,23707,7021,37946,3470,41416
1986,ss,7154,0,3181,6773,17108,2782,19890
1986,fs,1397,0,36710,4143,42250,1568,43818
1986,total,8551,0,39891,10916,59358,4350,63708
1987,ss,10419,0,2538,9460,22417,1446,23863
1987,fs,1340,0,49585,4273,55198,917,56115
1987,total,11759,0,52123,13733,77615,2363,79978
1988,ss,9166,0,2843,12036,24045,1766,25811
1988,fs,3719,0,38367,5496,47582,806,48388
1988,total,12885,0,41210,17532,71627,2572,74199
1989,ss,9062,0,1691,8778,19531,1302,20833
1989,fs,2032,0,32157,5492,39681,815,40496
1989,total,11094,0,33848,14270,59212,2117,61329
1990,ss,4083,1,2146,6756,12986,3088,16074
1990,fs,818,0,59138,3551,63507,1623,65130
1990,total,4901,1,61284,10307,76493,4711,81204
1991,ss,12073,5,178,3319,15575,1902,17477
1991,fs,817,13,26965,4741,32536,2888,35424
1991,total,12890,18,27143,8060,48111,4790,52901
1992,ss,12291,641,322,3327,16581,493,17074
1992,fs,186,478,32760,3789,37213,3735,40948
1992,total,12477,1119,33082,7116,53794,4228,58022
1993,ss,14643,1526,780,3741,20690,434,21124
1993,fs,538,1190,22319,2487,26534,3517,30051
1993,total,15181,2716,23099,6228,47224,3951,51175
1994,ss,18498,883,481,3357,23219,568,23787
1994,fs,517,3049,53333,3603,60502,2681,63183
1994,total,19015,3932,53814,6960,83721,3249,86970
1995,ss,15137,950,2102,7671,25860,470,26330
1995,fs,836,875,54161,7595,63467,3674,67141
1995,total,15973,1825,56263,15266,89327,4144,93471
1996,ss,15409,441,1365,3977,21192,1033,22225
1996,fs,668,1466,44408,4044,50586,3234,53820
1996,total,16077,1907,45773,8021,71778,4267,76045
1997,ss,12846,614,98,3627,17185,231,17416
1997,fs,380,888,34974,2175,38417,3299,41716
1997,total,13226,1502,35072,5802,55602,3530,59132
1998,ss,13382,297,121,1418,15218,2,15220
1998,fs,528,707,39009,3158,43402,50,43452
1998,total,13910,1004,39130,4576,58620,52,58672
1999,ss,10256,688,176,3770,14890,0,14890
1999,fs,1625,4130,44615,5334,55704,0,55704
1999,total,11881,4818,44791,9104,70594,0,70594
