"cruise_number__numero_de_criosiere","year__annee","month__mois","day_jour","start_hour__heure_de_depart","start_minute__minute_de_depart","latitude","longitude","gear__equipement","species__espece","french_name__nom_francais","english_name__nom_anglais","latin_name__nom_latin","weight_caught__poids_pris","number_caught__quantite__attrape"
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",0.5,1
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",0.8,2
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",3.8,16
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",4330,"Moule non-spécifié","Mussel unidentified","Mytilidae (f.)",0.01,1
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",0.01,1
"024",2000,7,25,10,39,46.7741666666667,-64.7509166666667,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.9,3
"024",2000,7,25,11,27,46.8035,-64.80425,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",0.9,5
"024",2000,7,25,11,27,46.8035,-64.80425,"No. 286 otter trawl with rockhopper",63,"Éperlan arc-en-ciel","Rainbow smelt","Osmerus mordax",0.03,1
"024",2000,7,25,11,27,46.8035,-64.80425,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",1.6,19
"024",2000,7,25,11,27,46.8035,-64.80425,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",8.9,36
"024",2000,7,25,11,27,46.8035,-64.80425,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.8,5
"024",2000,7,25,12,40,46.8381666666667,-64.8373333333333,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",0.01,1
"024",2000,7,25,12,40,46.8381666666667,-64.8373333333333,"No. 286 otter trawl with rockhopper",8500,"Méduse non-spécifié","Jellyfish unidentified","Scyphozoa (c.)",0.01,7
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.2,2
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.7,2
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",63,"Éperlan arc-en-ciel","Rainbow smelt","Osmerus mordax",0.8,20
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",1.3,10
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",361,"Épinoche à trois épines","Three-spined stickleback","Gasterosteus aculeatus",0.01,0
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",13.9,49
"024",2000,7,25,20,29,46.8695,-64.8403333333333,"No. 286 otter trawl with rockhopper",6400,"Strongylocentrotus non-spécifié","Sea urchin unidentified","Strongylocentrotus sp.",0.01,1
"024",2000,7,26,8,6,46.8950833333333,-64.7954166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.1,4
"024",2000,7,26,8,6,46.8950833333333,-64.7954166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1,4
"024",2000,7,26,8,6,46.8950833333333,-64.7954166666667,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",1,4
"024",2000,7,26,8,6,46.8950833333333,-64.7954166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",36.1,114
