cruise.number_numéro.de.criosière,year_année,month_mois,day_jour,start.hour_heure.de.début,start.minute_minute.de.début,latitude,longitude,gear_équipement,species_espèce,french.name_nom.français,english.name_nom.anglais,latin.name_nom.latin,weight.caught_poids.pris,number.caught_quantité_attrapé
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,0.5,1
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,0.8,2
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,3.8,16
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,4330,Moule non spécifié,MUSSELS (NS),MYTILIDAE F.,0.01,1
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,6200,Ophiure  non spécifié,BRITTLE STAR,OPHIUROIDEA S.C.,0.01,1
24,2000,7,25,10,39,46.77416667,-64.75091667,No. 286 otter trawl with rockhopper,8300,Anémone de mer non spécifiée,SEA ANEMONE,ANTHOZOA C.,0.9,3
24,2000,7,25,11,27,46.8035,-64.80425,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,0.9,5
24,2000,7,25,11,27,46.8035,-64.80425,No. 286 otter trawl with rockhopper,63,Éperlan d'Amérique,RAINBOW SMELT,OSMERUS MORDAX,0.03,1
24,2000,7,25,11,27,46.8035,-64.80425,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,1.6,19
24,2000,7,25,11,27,46.8035,-64.80425,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,8.9,36
24,2000,7,25,11,27,46.8035,-64.80425,No. 286 otter trawl with rockhopper,8300,Anémone de mer non spécifiée,SEA ANEMONE,ANTHOZOA C.,0.8,5
24,2000,7,25,12,40,46.83816667,-64.83733333,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,0.01,1
24,2000,7,25,12,40,46.83816667,-64.83733333,No. 286 otter trawl with rockhopper,8500,méduse non spécifiée,JELLYFISHES,SCYPHOZOA C.,0.01,7
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,0.2,2
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,1.7,2
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,63,Éperlan d'Amérique,RAINBOW SMELT,OSMERUS MORDAX,0.8,20
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,1.3,10
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,361,Épinoche à trois épines,THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS,0.01,0
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,13.9,49
24,2000,7,25,20,29,46.8695,-64.84033333,No. 286 otter trawl with rockhopper,6400,Oursin ,SEA URCHINS,STRONGYLOCENTROTUS SP.,0.01,1
24,2000,7,26,8,6,46.89508333,-64.79541667,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,1.1,4
24,2000,7,26,8,6,46.89508333,-64.79541667,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,1,4
24,2000,7,26,8,6,46.89508333,-64.79541667,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,1,4
24,2000,7,26,8,6,46.89508333,-64.79541667,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,36.1,114
24,2000,7,26,8,41,46.86683333,-64.75025,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,1,1
24,2000,7,26,8,41,46.86683333,-64.75025,No. 286 otter trawl with rockhopper,610,Lançon du nord,NORTHERN SAND LANCE,AMMODYTES DUBIUS,0.01,2
24,2000,7,26,8,41,46.86683333,-64.75025,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,1.9,4
24,2000,7,26,9,20,46.83675,-64.75341667,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,1.1,4
24,2000,7,26,9,20,46.83675,-64.75341667,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,0.9,1
24,2000,7,26,9,20,46.83675,-64.75341667,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,1.8,4
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,0.7,3
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,1.7,18
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,1.3,15
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,204,Raie tachetée,WINTER SKATE,LEUCORAJA OCELLATA,0.9,1
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,3.7,15
24,2000,7,27,7,28,46.70775,-64.66,No. 286 otter trawl with rockhopper,6200,Ophiure  non spécifié,BRITTLE STAR,OPHIUROIDEA S.C.,0.01,1
24,2000,7,27,7,59,46.74,-64.613,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,0.07,1
24,2000,7,27,7,59,46.74,-64.613,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,0.11,1
24,2000,7,27,7,59,46.74,-64.613,No. 286 otter trawl with rockhopper,122,Tanche-tautogue,CUNNER,TAUTOGOLABRUS ADSPERSUS,0.7,4
24,2000,7,27,7,59,46.74,-64.613,No. 286 otter trawl with rockhopper,2513,Crabe tourteau commun,ATLANTIC ROCK CRAB,CANCER IRRORATUS,0.1,1
24,2000,7,27,7,59,46.74,-64.613,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,1.3,6
24,2000,7,27,8,31,46.7715,-64.56575,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,2.3,12
24,2000,7,27,8,31,46.7715,-64.56575,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,2.4,1
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,10,Morue franche,COD(ATLANTIC),GADUS MORHUA,0.4,6
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,0.15,2
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,1.8,25
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,300,Chaboisseau à dix-huit-épines,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS,0.64,5
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,610,Lançon du nord,NORTHERN SAND LANCE,AMMODYTES DUBIUS,0.01,1
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,2513,Crabe tourteau commun,ATLANTIC ROCK CRAB,CANCER IRRORATUS,0.05,1
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,2550,Homard américain,AMERICAN LOBSTER,HOMARUS AMERICANUS,1.3,5
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,6500,Clypéastre non spécifié,SAND DOLLARS,CLYPEASTEROIDA O.,0.01,1
24,2000,7,27,9,32,46.804,-64.66733333,No. 286 otter trawl with rockhopper,8300,Anémone de mer non spécifiée,SEA ANEMONE,ANTHOZOA C.,0.01,1
24,2000,7,27,10,21,46.84091667,-64.7055,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,0.01,1
24,2000,7,27,10,21,46.84091667,-64.7055,No. 286 otter trawl with rockhopper,2513,Crabe tourteau commun,ATLANTIC ROCK CRAB,CANCER IRRORATUS,0.05,1
24,2000,7,27,10,21,46.84091667,-64.7055,No. 286 otter trawl with rockhopper,6200,Ophiure  non spécifié,BRITTLE STAR,OPHIUROIDEA S.C.,0.01,1
24,2000,7,27,11,40,46.83933333,-64.56433333,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,1.15,10
24,2000,7,27,11,40,46.83933333,-64.56433333,No. 286 otter trawl with rockhopper,4000,Mollusques,MOLLUSCA P.,MOLLUSCA P.,0.01,2
24,2000,7,27,12,16,46.83691667,-64.51925,No. 286 otter trawl with rockhopper,42,Limande à queue jaune,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA,0.28,3
24,2000,7,27,12,16,46.83691667,-64.51925,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,11.8,103
24,2000,7,27,12,16,46.83691667,-64.51925,No. 286 otter trawl with rockhopper,300,Chaboisseau à dix-huit-épines,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS,3.4,20
24,2000,7,27,12,16,46.83691667,-64.51925,No. 286 otter trawl with rockhopper,2416,Crevette grise non spécifiée,CRANGON SP.,CRANGON SP.,0.01,6
24,2000,7,27,13,17,46.8715,-64.61466667,No. 286 otter trawl with rockhopper,10,Morue franche,COD(ATLANTIC),GADUS MORHUA,0.02,1
24,2000,7,27,13,17,46.8715,-64.61466667,No. 286 otter trawl with rockhopper,43,Plie rouge,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,2.3,15
24,2000,7,27,13,17,46.8715,-64.61466667,No. 286 otter trawl with rockhopper,63,Éperlan d'Amérique,RAINBOW SMELT,OSMERUS MORDAX,0.1,5
24,2000,7,27,13,17,46.8715,-64.61466667,No. 286 otter trawl with rockhopper,300,Chaboisseau à dix-huit-épines,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS,1.3,10
