"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agées"
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1952,6,18,18
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1953,5,16,16
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1953,11,18,18
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1954,6,13,13
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1963,8,25,25
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,6,92,52
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,7,20,20
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,9,56,56
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1974,5,65,65
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1975,2,38,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1975,5,70,25
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,1,63,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,2,92,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,3,94,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,4,88,79
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,5,221,128
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,6,29,141
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1977,2,34,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1977,6,31,100
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1978,1,75,29
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1979,1,33,33
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,1,34,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,2,26,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,3,35,27
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,5,99,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,6,159,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,8,135,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,9,115,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,5,70,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,6,142,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,8,64,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,10,56,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,5,57,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,6,55,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,8,123,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,9,37,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,10,89,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,5,107,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,6,155,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,8,62,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,9,32,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,10,193,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,5,233,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,6,80,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,7,62,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,9,152,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,10,141,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,6,27,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,7,27,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,9,147,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,10,102,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,11,34,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,6,102,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,7,45,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,8,35,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,9,180,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,10,62,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,11,32,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,5,32,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,6,79,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,7,52,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,8,61,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,10,94,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,5,85,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,6,77,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,7,25,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,8,159,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,9,64,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,10,95,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,5,92,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,6,174,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,7,21,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,8,62,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,9,122,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,10,107,0
