"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1952,6,18
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1953,5,16
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1953,11,18
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1954,6,13
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1963,8,25
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,6,92
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,7,20
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1964,9,56
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1974,5,65
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1975,2,38
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1975,5,70
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,1,63
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,2,92
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,3,94
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,4,88
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,5,221
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,6,29
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1977,2,34
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1977,6,31
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1978,1,75
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1979,1,33
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,1,34
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,2,26
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,3,35
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,5,99
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,6,159
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,8,135
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,9,115
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,5,70
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,6,142
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,8,64
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,10,56
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,5,57
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,6,55
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,8,123
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,9,37
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,10,89
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,5,107
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,6,155
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,8,62
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,9,32
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,10,193
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,5,233
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,6,80
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,7,62
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,9,152
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,10,141
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,6,27
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,7,27
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,9,147
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,10,102
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,11,34
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,6,102
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,7,45
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,8,35
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,9,180
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,10,62
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,11,32
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,5,32
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,6,79
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,7,52
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,8,61
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,10,94
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,5,85
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,6,77
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,7,25
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,8,159
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,9,64
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,10,95
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,5,92
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,6,174
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,7,21
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,8,62
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,9,122
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,10,107
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,5,91
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,6,85
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,8,61
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,9,83
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,10,98
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,11,71
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,5,124
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,6,74
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,8,66
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,9,108
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,5,59
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,6,78
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,10,90
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,11,33
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,5,55
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,7,27
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,9,26
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,10,30
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,5,52
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,6,48
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,7,25
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,4,83
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,5,52
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,6,70
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,7,28
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,5,76
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,6,42
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,7,31
