"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agés"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,6,40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1953,12,20,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1961,6,50,50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,9,63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1972,10,29,29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,5,40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,7,42,42
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,8,41,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1973,10,40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,8,41,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1974,11,118,118
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,5,67,67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,6,36,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,7,49,49
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1975,8,35,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,4,80,117
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,5,580,578
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,6,478,594
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,7,186,265
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,8,309,429
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,9,34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1976,10,34,111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,6,286,517
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,7,164,306
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,8,402,535
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1977,9,155,232
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,6,115,192
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,7,72,238
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,8,59,125
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,9,74,74
