"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"RV","Gadus morhua","Atlantic Cod","Morue franche",1970,9,1975
"RV","Gadus morhua","Atlantic Cod","Morue franche",1971,9,1782
"RV","Gadus morhua","Atlantic Cod","Morue franche",1972,9,1760
"RV","Gadus morhua","Atlantic Cod","Morue franche",1973,8,11
"RV","Gadus morhua","Atlantic Cod","Morue franche",1973,9,1757
"RV","Gadus morhua","Atlantic Cod","Morue franche",1974,9,1135
"RV","Gadus morhua","Atlantic Cod","Morue franche",1975,9,1245
"RV","Gadus morhua","Atlantic Cod","Morue franche",1976,9,1292
"RV","Gadus morhua","Atlantic Cod","Morue franche",1977,9,1567
"RV","Gadus morhua","Atlantic Cod","Morue franche",1978,9,1358
"RV","Gadus morhua","Atlantic Cod","Morue franche",1978,10,139
"RV","Gadus morhua","Atlantic Cod","Morue franche",1979,9,1869
"RV","Gadus morhua","Atlantic Cod","Morue franche",1979,10,47
"RV","Gadus morhua","Atlantic Cod","Morue franche",1980,9,2086
"RV","Gadus morhua","Atlantic Cod","Morue franche",1981,9,2309
"RV","Gadus morhua","Atlantic Cod","Morue franche",1982,9,1807
"RV","Gadus morhua","Atlantic Cod","Morue franche",1983,9,2207
"RV","Gadus morhua","Atlantic Cod","Morue franche",1984,8,415
"RV","Gadus morhua","Atlantic Cod","Morue franche",1984,9,2336
"RV","Gadus morhua","Atlantic Cod","Morue franche",1985,9,5431
"RV","Gadus morhua","Atlantic Cod","Morue franche",1986,9,3166
"RV","Gadus morhua","Atlantic Cod","Morue franche",1987,8,2
"RV","Gadus morhua","Atlantic Cod","Morue franche",1987,9,3107
"RV","Gadus morhua","Atlantic Cod","Morue franche",1988,9,3142
"RV","Gadus morhua","Atlantic Cod","Morue franche",1989,9,3694
"RV","Gadus morhua","Atlantic Cod","Morue franche",1990,9,2900
"RV","Gadus morhua","Atlantic Cod","Morue franche",1991,9,3277
"RV","Gadus morhua","Atlantic Cod","Morue franche",1992,8,22
"RV","Gadus morhua","Atlantic Cod","Morue franche",1992,9,2571
"RV","Gadus morhua","Atlantic Cod","Morue franche",1993,9,2968
"RV","Gadus morhua","Atlantic Cod","Morue franche",1994,9,3017
"RV","Gadus morhua","Atlantic Cod","Morue franche",1995,9,3432
"RV","Gadus morhua","Atlantic Cod","Morue franche",1996,9,3532
"RV","Gadus morhua","Atlantic Cod","Morue franche",1997,9,3615
"RV","Gadus morhua","Atlantic Cod","Morue franche",1998,9,2968
"RV","Gadus morhua","Atlantic Cod","Morue franche",1999,9,2604
"RV","Gadus morhua","Atlantic Cod","Morue franche",2000,9,2115
"RV","Gadus morhua","Atlantic Cod","Morue franche",2001,9,1754
"RV","Gadus morhua","Atlantic Cod","Morue franche",2002,9,1829
"RV","Gadus morhua","Atlantic Cod","Morue franche",2003,9,697
"RV","Gadus morhua","Atlantic Cod","Morue franche",2004,9,1791
"RV","Gadus morhua","Atlantic Cod","Morue franche",2005,9,1518
"RV","Gadus morhua","Atlantic Cod","Morue franche",2006,9,1630
"RV","Gadus morhua","Atlantic Cod","Morue franche",2007,9,1498
"RV","Gadus morhua","Atlantic Cod","Morue franche",2008,8,147
"RV","Gadus morhua","Atlantic Cod","Morue franche",2008,9,1424
"RV","Gadus morhua","Atlantic Cod","Morue franche",2009,9,977
"RV","Gadus morhua","Atlantic Cod","Morue franche",2010,9,1169
"RV","Gadus morhua","Atlantic Cod","Morue franche",2011,9,820
"RV","Gadus morhua","Atlantic Cod","Morue franche",2011,10,57
"RV","Gadus morhua","Atlantic Cod","Morue franche",2012,9,1153
"RV","Gadus morhua","Atlantic Cod","Morue franche",2013,9,1210
"RV","Gadus morhua","Atlantic Cod","Morue franche",2014,9,1338
"RV","Gadus morhua","Atlantic Cod","Morue franche",2015,9,1425
"RV","Gadus morhua","Atlantic Cod","Morue franche",2016,9,943
"RV","Gadus morhua","Atlantic Cod","Morue franche",2017,9,364
"RV","Gadus morhua","Atlantic Cod","Morue franche",2018,9,700
"RV","Gadus morhua","Atlantic Cod","Morue franche",2018,10,19
"RV","Gadus morhua","Atlantic Cod","Morue franche",2019,9,503
"RV","Gadus morhua","Atlantic Cod","Morue franche",2019,10,2
