"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.vertebrae_nombre.vertèbres"
"RV","Leucoraja ocellata","Winter Skate","Raie tachetée",2004,9,2
"RV","Amblyraja radiata","Thorny Skate","Raie épineuse",2005,9,323
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2005,9,82
"RV","Leucoraja ocellata","Winter Skate","Raie tachetée",2005,9,27
"RV","Amblyraja radiata","Thorny Skate","Raie épineuse",2006,9,530
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2006,9,108
"RV","Leucoraja ocellata","Winter Skate","Raie tachetée",2006,9,27
"RV","Amblyraja radiata","Thorny Skate","Raie épineuse",2007,9,144
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2007,9,41
"RV","Leucoraja ocellata","Winter Skate","Raie tachetée",2007,9,21
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2008,9,70
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2009,9,35
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2014,9,27
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2015,9,61
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2016,9,32
"RV","Malacoraja senta","Smooth Skate","Raie lisse",2017,9,1
