"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.vertebrae_nombre.vertèbres"
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2004,9,2
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2005,9,323
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2005,9,82
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2005,9,27
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2006,9,530
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2006,9,108
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2006,9,27
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2007,9,144
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2007,9,41
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2007,9,21
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2008,9,70
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2009,9,35
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2010,9,55
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2011,9,115
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2012,9,20
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2013,9,2
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2013,9,50
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2014,9,27
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2015,9,61
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2016,9,32
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2017,9,109
