"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agés"
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1967,8,112,112
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1967,9,34,34
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1975,8,50,50
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1976,7,77,77
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1976,8,95,95
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1977,7,92,92
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1977,8,20,20
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,6,41,41
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,7,38,38
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,8,105,105
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,9,27,27
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,10,73,73
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,6,140,140
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,7,89,89
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,8,228,228
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,6,174,171
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,7,82,76
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,8,278,274
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,9,45,42
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,10,83,81
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,11,191,188
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,6,206,206
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,7,429,429
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,8,759,759
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,9,55,55
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,10,228,228
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,5,83,74
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,6,40,36
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,7,292,263
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,8,220,206
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,9,136,125
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,10,200,183
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,11,172,167
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,5,63,55
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,6,145,128
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,7,412,383
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,8,264,237
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,9,199,193
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1986,10,243,234
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,5,111,103
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,6,211,191
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,7,301,267
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,8,101,92
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,9,16,15
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,10,276,248
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1987,11,36,33
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,5,21,20
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,6,303,288
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,7,143,138
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,8,49,49
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,9,33,32
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1988,10,95,89
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1989,5,147,137
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1989,6,398,383
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1989,8,310,297
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1989,9,127,120
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1989,10,175,165
