"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1967,8,112
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1967,9,34
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1975,8,50
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1976,7,77
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1976,8,95
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1977,7,92
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1977,8,20
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,6,41
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,7,38
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,8,105
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,9,27
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1981,10,73
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,6,140
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,7,89
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1982,8,228
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,6,174
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,7,82
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,8,278
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,9,45
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,10,83
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1983,11,191
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,6,206
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,7,429
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,8,759
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,9,55
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1984,10,228
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1985,5,83
