"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1970,9,93
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1971,9,271
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1972,9,134
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1973,8,31
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1973,9,230
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1974,9,230
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1975,9,189
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1976,9,126
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1977,9,172
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1978,9,254
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1978,10,5
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1979,9,307
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1979,10,44
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1980,9,378
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1981,9,383
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1982,9,257
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1983,9,232
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1984,8,115
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1984,9,167
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1985,9,334
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1986,9,627
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1987,8,73
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1987,9,466
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1988,9,737
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1989,9,606
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1990,9,579
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1991,9,561
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1992,9,733
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1993,9,1345
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1994,9,717
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1995,9,996
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1996,9,1125
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1997,9,1170
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1998,9,796
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",1999,9,975
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2000,9,1031
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2001,9,761
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2002,9,1109
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2003,9,552
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2004,9,1187
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2005,9,728
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2006,9,1064
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2007,9,992
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2008,8,256
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2008,9,706
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2009,9,885
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2010,9,829
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2011,9,597
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2011,10,11
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2012,9,636
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2013,9,667
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2014,9,748
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2015,9,774
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2016,9,633
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2017,9,503
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2018,9,387
"RV","Pseudopleuronectes americanus","Winter Flounder","Plie Rouge",2019,9,638
