"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1970,9,93
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1971,9,199
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1972,9,67
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1973,9,87
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1974,9,151
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1975,9,156
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1976,9,133
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1977,9,134
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1978,9,50
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1978,10,15
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1979,9,151
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1980,9,83
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1981,9,49
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1982,9,45
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1983,9,50
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1984,9,76
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1985,9,33
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1986,9,252
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1987,9,210
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1988,9,368
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1989,9,245
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1990,9,175
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1991,9,190
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1992,9,132
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1993,9,243
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1994,9,326
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1995,9,320
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1996,9,344
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1997,9,184
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1998,9,344
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",1999,9,188
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2000,9,232
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2001,9,191
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2002,9,250
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2003,9,63
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2004,9,161
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2005,9,209
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2006,9,425
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2007,9,177
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2008,8,49
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2008,9,252
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2009,9,235
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2010,9,173
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2011,9,196
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2012,9,215
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2013,9,216
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2014,9,235
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2015,9,282
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2016,9,337
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2017,9,363
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2018,9,214
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2018,10,4
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2019,9,230
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie Grise",2019,10,4
