"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agées"
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1975,8,40,40
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1982,7,11,11
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,5,11,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,6,27,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,7,8,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,5,47,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,6,35,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,6,12,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,4,16,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,5,26,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,6,11,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2022,5,30,0
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2022,6,16,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1970,9,74,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1971,9,199,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1972,9,186,167
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1973,9,202,184
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1974,9,317,286
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1975,9,261,216
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1976,9,193,185
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1977,9,275,271
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1978,9,327,320
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1978,10,40,38
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1979,9,320,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1979,10,34,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1980,9,436,312
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1981,9,328,235
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1982,9,289,280
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1983,9,206,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1984,8,47,0
