"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes"
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1975,8,40
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1982,7,11
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,5,11
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,6,27
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,7,8
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,5,47
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,6,35
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,6,12
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,4,16
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,5,26
"Commercial","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,6,11
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1970,9,74
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1971,9,199
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1972,9,186
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1973,8,4
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1973,9,198
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1974,9,317
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1975,9,261
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1976,9,193
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1977,9,275
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1978,9,327
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1978,10,40
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1979,9,320
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1979,10,34
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1980,9,436
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1981,9,328
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1982,9,289
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1983,9,206
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1984,8,47
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1984,9,162
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1985,9,247
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1986,9,621
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2000,9,1072
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2001,9,676
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2002,9,1186
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2003,9,498
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2004,9,1061
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2005,9,843
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2006,9,1216
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2007,9,1274
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2008,8,186
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2008,9,1080
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2009,9,935
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2010,9,1043
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2011,9,809
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2011,10,73
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2012,9,1036
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2013,9,819
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2014,9,848
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2015,9,824
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2016,9,721
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2017,9,414
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,9,387
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,10,87
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,9,668
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,9,343
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,10,122
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,8,4
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,9,867
