"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.vertebrae_nombre.vertèbres","number.otoliths.aged_nombre.otolithes.agées"
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2004,9,2,0
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2005,9,323,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2005,9,82,0
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2005,9,27,0
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2006,9,530,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2006,9,108,0
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2006,9,27,0
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2007,9,144,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2007,9,41,0
"RV-4T","Leucoraja ocellata","Winter Skate","Raie tachetée",2007,9,21,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2008,9,70,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2009,9,35,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2010,9,55,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2011,9,115,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2012,9,20,0
"RV-4T","Amblyraja radiata","Thorny Skate","Raie épineuse",2013,9,2,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2013,9,50,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2014,9,27,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2015,9,61,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2016,9,32,0
"RV-4T","Malacoraja senta","Smooth Skate","Raie lisse",2017,9,109,0
