"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year","month","number.otoliths_nombre.otolithes"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1951,6,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1951,10,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1952,6,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1953,6,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1953,12,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1961,6,50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1968,5,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1969,2,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1971,1,31
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1972,9,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1972,10,29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,4,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,5,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,7,42
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,8,128
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,10,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,11,45
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1973,12,60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1974,1,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1974,5,125
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1974,8,41
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1974,11,118
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,2,72
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,4,39
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,5,67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,6,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,7,49
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1975,8,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,1,50
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,2,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,3,37
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,4,151
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,5,580
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,6,663
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,7,265
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,8,429
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,9,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,10,111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1976,11,37
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,1,79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,4,46
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,5,47
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,6,517
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,7,343
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,8,536
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1977,9,232
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,1,48
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,5,45
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,6,192
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,7,240
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,8,127
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,9,74
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1978,10,68
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,1,54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,4,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,5,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,6,133
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,7,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,8,168
"Commercial","Hippoglossoides platessoides","American Plaice","Plie Canadienne",1979,10,34
