name_nom,description_en,description_fr
year_année,The year when the station was surveyed ,L'année où la station a été chalutée
month_mois,The month when the station was surveyed ,Le mois où la station a été chalutée
day_jour,The day when the station was surveyed ,Le jour où la station a été chalutée
start.hour_heure.de.début,The hour when the station was surveyed (start of tow),L'heure où la station a été chalutée (début du trait)
start.minute_minute.de.début,The minute when the station was surveyed (start of tow),La minute où la station a été chalutée (début du trait)
latitude,Average latitude taken from start and end positions of the station surveyed (in decimal degrees),Latitude moyenne prise à partir des positions de départ et d'arrivée de la station chalutée (en degrés décimales)
longitude,Average longitude taken from start and end positions of the station surveyed (in decimal degrees),Longitude moyenne prise à partir des positions de départ et d'arrivée de la station chalutée (en degrés décimales)
gear_équipement,The fishing gear used in a set,L'engin de pêche utilisé lors du trait
species_espèce,Gulf region species code,Code des espèces de la région du Golfe
english.name_nom.anglais,English name of the species identified in station being surveyed,Nom anglais de l'espèce identifiée dans la station étudiée
latin.name_nom.latin,Latin name of the species identified in station being surveyed,Nom latin de l'espèce identifiée dans la station étudiée
french.name_nom.français,French name of the species identified in station being surveyed,Nom français de l'espèce identifiée dans la station étudiée
weight.caught_poids.pris,The total weight in kilograms of a specific species caught in the set,Le poids total en kilogrammes d'une espèce spécifique capturée lors d'un trait
number.caught_quantité_attrapé,The estimated total number of specimens of a specific species which was caught in a set,Le nombre total estimé de spécimens d'une espèce spécifique capturés lors d'un trait
