year_année,month_mois,day_jour,start.hour_heure.de.début,start.minute_minute.de.début,latitude,longitude,gear_équipement,species_espèce,english.name_nom.anglais,latin.name_nom.latin,weight.caught_poids.pris,number.caught_quantité_attrapé
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,10,COD(ATLANTIC),GADUS MORHUA,0,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,23,REDFISH UNSEPARATED,SEBASTES SP.,0.087983425,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,31,"TURBOT,GREENLAND HALIBUT",REINHARDTIUS HIPPOGLOSSOIDES,0.017403315,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,40,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES,0.583977901,17.40331492
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,60,HERRING(ATLANTIC),CLUPEA HARENGUS,0.370303867,1.933701657
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,64,CAPELIN,MALLOTUS VILLOSUS,0.043508287,23.20441989
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,302,ARCTIC STAGHORN SCULPIN,GYMNOCANTHUS TRICUSPIS,0.114088398,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,512,"SEASNAIL,DUSKY",LIPARIS GIBBUS,0.261049724,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,620,LAVAL'S EELPOUT,LYCODES LAVALAEI,0.038674033,2.900552486
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,623,DAUBED SHANNY,LUMPENUS MACULATUS,0.002900552,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,632,STOUT EELBLENNY,LUMPENUS MEDIUS,0.003867403,0.966850829
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,1511,SNAIL/SLUG EGGS,GASTEROPODA EGGS,0.025138122,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,1900,BRYOZOANS P.,BRYOZOANS P.,0,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,2100,SHRIMPS,DECAPODA O.,17.79005525,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,2526,SNOW CRAB (QUEEN),CHIONOECETES OPILIO,10.34530387,77.3480663
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,2527,TOAD CRAB,HYAS ARANEUS,0.238812155,26.10497238
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,3100,BRISTLE WORMS,POLYCHAETA C.,0.005801105,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,4342,ICELAND COCKLE,CLINOCARDIUM CILIATUM,0.089917127,1.933701657
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,4348,MOLLUSCA SHELLS EMPTY,MOLLUSCA (EMPTY),0.102486188,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,4400,SEA SLUGS,NUDIBRANCHIA O.,0.001933702,0
2018,9,7,14,4,47.90466667,-65.49108333,Western IIA trawl,6119,BLOOD STAR,HENRICIA SANGUINOLENTA,0.037707182,0
