name__nom,description_en,description_fr
year__annee,The year when the station was surveyed,L'année du chalutage
month__mois,The month when the station was surveyed,Le mois du chalutage
day__jour,The day when the station was surveyed,Le jour du chalutage
tow__trait,Unique identifier for each tow,Identifiant unique
longitude,start longitude of tow,la longitude de départ du trait
latitude,start latitude of tow,la latitude de départ du trait
start__depart,The time at start of tow,L'heure du début du chalutage
comment__commentaire,Comment,Commentaire
snow_crab_males__males_de_crabe_des_neiges,Count of male Snow crab in tow,Compte du crabe des neiges mâle
snow_crab_females__females_de_crabe_des_neiges,Count of female Snow crab in tow,Compte du crabe des neiges femelle
Atlantic_cod__morue_franche,Count of Atlantic Cod in tow,Compte de la morue franche
American_plaice__plie_americaine,Count of American Plaice in tow,Compte de la plie canadienne
Yellowtail_flounder__limande_a_queue_jaune,Count of Yellowtail Flounder in tow,Compte de la limande à queue jaune
winter_flounder__plie_rouge,Count of Winter Flounder in tow,Compte de la plie rouge
thorny_skate__raie_epineuset,Count of Thorny Skate in tow,Compte de la raie épineuset
smooth_skate__raie_lisse,Count of Smooth Skate in tow,Compte de la raie lisse
longhorn_sculpin__chaboisseau_a_dix_huit_epines,Count of Longhorn Sculpin in tow,Compte du chaboisseau à dix-huit épines
sea_potato__patate_de_mer,Count of Sea Potato in tow,Compte de patate de mer
Hyas_coarctatus,Count of Hyas Coarctatus in tow,Compte du crabe lyre (araignée)
