year__année,month__mois,day__jour,tow__trait,longitude,latitude,start__départ,comment__commentaire,snow_crab_males__mâles_de_crabe_des_neiges,snow_crab_females__femelles_de_crabe_des_neiges,Atlantic_cod__morue_franche,American_plaice__plie_américaine,Yellowtail_flounder__limande_à_queue_jaune,winter_flounder__plie_rouge,thorny_skate__raie_épineuse,smooth_skate__raie_lisse,longhorn_sculpin__chaboisseau_à_dix_huit_épines,sea_potato__patate_de_mer,Hyas_coarctatus__crabe_lyre
2019,7,12,GP323F,-61.00436667,47.62625,19:48:14,Stable ~ 2.1 kts,19,5,4,12,123,0,1,0,3,0,0
2019,7,12,GP342F,-60.69316667,47.56931667,15:06:35,Stable ~ 2.2 kts,208,10,0,88,0,0,1,0,0,0,3
2019,7,12,GP346F,-60.6098,47.4811,13:56:15,Variable 2 a 2.4 noeuds,31,98,2,97,1,0,13,0,0,1,0
2019,7,12,GP350F,-60.48346667,47.51006667,12:32:33,Stable ~ 2.2 kts,0,0,10,3,0,0,27,5,0,0,0
2019,7,12,GP351F,-60.46546667,47.43065,6:53:49,Stable ~ 2.1 kts,64,1,6,113,0,0,16,2,0,0,0
2019,7,12,GP352F,-60.4394,47.55585,11:10:09,Stable ~ 2.1 kts,18,0,1,0,0,0,1,5,0,0,0
2019,7,12,GP353FR,-60.40383333,47.52278333,9:51:01,Force a cause de vase ~ 2.1 kts,0,0,0,0,0,0,1,4,0,0,0
2019,7,12,GP354F,-60.38936667,47.38341667,5:12:31,Variable 2 a 2.4 noeuds,0,0,27,0,0,0,1,0,0,0,11
2019,7,13,GP315F,-61.08986667,47.84345,20:03:35,Stable ~ 2.1 kts,250,14,0,34,0,0,0,0,0,0,173
2019,7,13,GP325F,-60.95261667,47.78293333,17:45:21,Stable ~ 2.2 kts,264,102,0,15,0,0,0,0,0,0,0
2019,7,13,GP326F,-60.97748333,47.82098333,18:58:20,Stable ~ 2.2 kts,257,51,0,35,0,0,0,0,0,0,0
2019,7,13,GP331F,-60.9001,47.83211667,16:42:35,Stable ~ 2.2 kts,41,92,2,81,0,0,0,0,0,0,0
2019,7,13,GP334A3,-60.8439,47.55893333,9:07:55,Stable ~ 2.1 kts,7,0,3,19,0,0,0,0,0,0,42
2019,7,13,GP335F,-60.83256667,47.76965,15:42:57,Stable ~ 2.2 kts,28,126,0,78,0,0,2,0,0,1,4
2019,7,13,GP341F,-60.69043333,47.81593333,14:06:01,Accroche et force ~ 2.1 kts,0,0,0,1,0,0,2,1,0,0,0
2019,7,13,GP344F,-60.67616667,47.74118333,11:22:12,Stable ~ 2.2 kts,20,6,13,22,0,0,9,0,0,1,3
2019,7,14,GP273F,-61.70981667,48.113,19:56:16,Stable ~ 2.1 kts,161,90,0,116,0,0,4,0,0,0,0
2019,7,14,GP282F,-61.61008333,48.22563333,17:40:40,Stable ~ 2.1 kts,1,0,1,0,0,0,0,0,0,0,0
2019,7,14,GP293F,-61.43026667,48.21898333,15:42:39,Force a cause de vase ~ 2.2 kts,1,1,0,0,0,0,1,0,0,0,0
2019,7,14,GP295F,-61.40238333,48.09491667,14:07:18,Stable ~ 2.2 kts,60,13,4,69,0,0,13,0,0,0,0
2019,7,14,GP312F,-61.11336667,48.0789,9:53:00,Force a cause de vase ~ 2.2 kts,2,0,0,0,0,0,0,2,0,0,0
2019,7,14,GP313F,-61.10521667,47.96786667,6:42:11,Stable ~ 2.2 kts,18,130,0,38,0,0,1,0,0,0,1
2019,7,14,GP316F,-61.2399,48.19428333,11:50:09,Force a cause de vase ~ 2.2 kts,0,0,1,0,0,0,2,2,0,0,0
2019,7,14,GP320F,-61.01915,48.03373333,8:07:13,Variable 2 a 2.4 noeuds,66,1,0,0,0,0,1,5,0,0,0
2019,7,14,GP324F,-60.9653,47.91401667,5:20:50,Stable ~ 2.1 kts,18,77,0,181,0,0,7,0,0,0,4
2019,7,15,GP207F,-62.29873333,48.15273333,20:22:26,Stable ~ 2.1 kts,30,51,0,52,0,0,5,0,0,0,1
2019,7,15,GP208F,-62.37681667,48.26778333,19:07:58,Variable 2 a 2.4 noeuds,12,13,2,38,0,0,0,1,0,0,8
2019,7,15,GP235F,-62.1184,48.40366667,16:05:52,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,2,0,0,0,0
2019,7,15,GP237F,-62.11365,48.36021667,14:09:25,Accroche et force ~ 2.2 kts,0,0,0,0,0,0,0,0,0,0,0
2019,7,15,GP250F,-61.94463333,48.28463333,8:57:47,Force a cause de vase ~ 2.2 kts,2,1,0,6,0,0,1,2,0,0,0
2019,7,15,GP251A2,-61.95035,48.24833333,12:20:18,Stable ~ 2.1 kts,0,0,0,5,0,0,37,19,0,0,0
2019,7,15,GP260F,-61.88448333,48.23651667,7:28:27,Force a cause de vase ~ 2.2 kts,5,2,0,5,0,0,49,14,0,0,0
2019,7,15,GP269F,-61.78146667,48.28446667,5:26:44,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,1,1,0,0,0
2019,7,16,GP227F,-62.21106667,48.18545,5:29:20,Stable ~ 2.1 kts,73,59,2,33,0,0,2,0,0,0,1
2019,7,16,GP230F,-62.18435,48.1418,6:26:07,Stable ~ 2.2 kts,87,58,0,34,0,0,3,0,0,0,1
2019,7,16,GP243F,-62.00685,48.01468333,8:46:24,Stable ~ 2.2 kts,13,6,1,4,0,0,0,0,0,68,48
2019,7,16,GP247F,-61.98495,47.86746667,20:24:42,Stable ~ 2.1 kts,86,68,0,22,0,0,0,0,0,0,0
2019,7,16,GP249F,-61.98165,48.04511667,8:05:10,Stable ~ 2.2 kts,10,16,0,8,0,0,0,0,1,178,26
2019,7,16,GP257F,-61.91253333,47.98491667,10:41:56,Stable ~ 2.2 kts,48,145,1,17,0,0,0,0,0,0,4
2019,7,16,GP258F,-61.9083,47.86476667,19:31:58,Stable ~ 2.1 kts,106,81,0,3,0,0,0,0,0,0,6
2019,7,16,GP261F,-61.88648333,48.04331667,9:43:22,Stable ~ 2.2 kts,25,101,0,31,0,0,0,0,0,0,0
2019,7,16,GP278F,-61.6697,47.95136667,12:12:31,Stable ~ 2.2 kts,26,3,2,3,0,0,0,0,0,193,44
2019,7,16,GP281F,-61.7412,47.89501667,18:20:15,Stable ~ 2.1 kts,59,99,0,18,0,0,0,0,0,0,1
2019,7,16,GP287F,-61.55453333,48.02935,13:31:23,Accroche et force ~ 2.1 kts,10,0,0,3,0,0,0,0,0,271,44
2019,7,16,GP290F,-61.45953333,48.04205,14:20:40,Stable ~ 2.1 kts,57,64,5,17,0,0,0,0,0,0,44
2019,7,16,GP300F,-61.37701667,47.90505,16:09:44,Stable ~ 2.1 kts,3,0,9,2,0,0,0,0,0,51,12
2019,7,16,GP303F,-61.37876667,47.95473333,15:27:18,Stable ~ 2.1 kts,30,0,0,2,0,0,0,0,0,61,46
2019,7,17,GP195F,-62.58415,47.75465,8:43:21,Stable ~ 2.1 kts,86,23,0,116,0,0,0,0,0,0,0
2019,7,17,GP205F,-62.46558333,47.60015,10:29:08,Stable ~ 2.1 kts,76,119,1,123,1,0,0,0,0,0,0
2019,7,17,GP213F,-62.38723333,47.63161667,11:26:52,Stable ~ 2.1 kts,130,34,0,17,0,0,0,0,0,0,1
2019,7,17,GP216F,-62.37961667,47.75983333,7:05:10,Stable ~ 2.1 kts,57,126,0,60,0,0,0,0,0,0,0
2019,7,17,GP223F,-62.18576667,47.83913333,5:29:11,Stable ~ 2.1 kts,273,79,0,39,1,0,0,0,0,0,0
2019,7,17,GP224F,-62.2174,47.65243333,19:49:47,Stable ~ 2.1 kts,129,18,0,19,0,0,0,0,0,0,0
2019,7,17,GP228F,-62.21005,47.72591667,12:51:21,Stable ~ 2.1 kts,127,44,0,32,1,0,0,0,0,0,0
2019,7,17,GP239A1,-61.9844,47.67471667,18:07:34,Stable ~ 2.1 kts,92,16,0,16,11,0,0,0,0,0,7
2019,7,17,GP242F,-61.96026667,47.70723333,14:32:50,Force ~ 2.1 kts,45,4,0,7,51,0,0,0,0,1,13
2019,7,17,GP253F,-61.93715,47.69868333,15:19:29,Stable ~ 2.1 kts,169,11,0,13,117,0,0,0,0,0,20
2019,7,18,GP182F,-62.68121667,47.4419,10:12:48,Stable ~ 2.1 kts,104,38,0,171,47,0,0,0,0,0,1
