date,set__trait,set_number__numéro_trait,species__espèces,species_name__nom_espèces,number_caught__quantité_capturé,weight_caught__poids_capturé,comment__commentaire
7/12/2019,GP354F,1,10,Atlantic_cod__morue_franche,27,7.34,Variable 2 a 2.4 noeuds
7/12/2019,GP354F,1,201,thorny_skate__raie_epineuse,1,0.41,Variable 2 a 2.4 noeuds
7/12/2019,GP354F,1,2521,Hyas_coarctatus,11,0.95,Variable 2 a 2.4 noeuds
7/12/2019,GP351F,2,10,Atlantic_cod__morue_franche,6,1.27,Stable ~ 2.1 kts
7/12/2019,GP351F,2,40,American_plaice__plie_americaine,113,11.23,Stable ~ 2.1 kts
7/12/2019,GP351F,2,201,thorny_skate__raie_epineuse,16,3.36,Stable ~ 2.1 kts
7/12/2019,GP351F,2,202,smooth_skate__raie_lisse,2,0.37,Stable ~ 2.1 kts
7/12/2019,GP353FR,4,201,thorny_skate__raie_epineuse,1,1.22,Force a cause de vase ~ 2.1 kts
7/12/2019,GP353FR,4,202,smooth_skate__raie_lisse,4,0.63,Force a cause de vase ~ 2.1 kts
7/12/2019,GP352F,5,10,Atlantic_cod__morue_franche,1,0.76,Stable ~ 2.1 kts
7/12/2019,GP352F,5,201,thorny_skate__raie_epineuse,1,0.18,Stable ~ 2.1 kts
7/12/2019,GP352F,5,202,smooth_skate__raie_lisse,5,0.57,Stable ~ 2.1 kts
7/12/2019,GP350F,6,10,Atlantic_cod__morue_franche,10,0.55,Stable ~ 2.2 kts
7/12/2019,GP350F,6,40,American_plaice__plie_americaine,3,0.52,Stable ~ 2.2 kts
7/12/2019,GP350F,6,201,thorny_skate__raie_epineuse,27,27.52,Stable ~ 2.2 kts
7/12/2019,GP350F,6,202,smooth_skate__raie_lisse,5,2.69,Stable ~ 2.2 kts
7/12/2019,GP346F,7,10,Atlantic_cod__morue_franche,2,1.31,Variable 2 a 2.4 noeuds
7/12/2019,GP346F,7,40,American_plaice__plie_americaine,97,9.27,Variable 2 a 2.4 noeuds
7/12/2019,GP346F,7,42,Yellowtail_flounder__limande_a_queue_jaune,1,0.04,Variable 2 a 2.4 noeuds
7/12/2019,GP346F,7,201,thorny_skate__raie_epineuse,13,0.59,Variable 2 a 2.4 noeuds
7/12/2019,GP346F,7,1823,sea_potato__patate_de_mer,1,0.11,Variable 2 a 2.4 noeuds
7/12/2019,GP342F,8,40,American_plaice__plie_americaine,88,7.72,Stable ~ 2.2 kts
7/12/2019,GP342F,8,201,thorny_skate__raie_epineuse,1,0.78,Stable ~ 2.2 kts
7/12/2019,GP342F,8,2521,Hyas_coarctatus,3,0.32,Stable ~ 2.2 kts
7/12/2019,GP323F,11,10,Atlantic_cod__morue_franche,4,0.42,Stable ~ 2.1 kts
7/12/2019,GP323F,11,40,American_plaice__plie_americaine,12,1.21,Stable ~ 2.1 kts
7/12/2019,GP323F,11,42,Yellowtail_flounder__limande_a_queue_jaune,123,5.84,Stable ~ 2.1 kts
7/12/2019,GP323F,11,201,thorny_skate__raie_epineuse,1,0.46,Stable ~ 2.1 kts
7/12/2019,GP323F,11,300,longhorn_sculpin__chaboisseau_a_dix_huit_epines,3,0.23,Stable ~ 2.1 kts
7/13/2019,GP334A3,2,10,Atlantic_cod__morue_franche,3,0.11,Stable ~ 2.1 kts
7/13/2019,GP334A3,2,40,American_plaice__plie_americaine,19,1.06,Stable ~ 2.1 kts
7/13/2019,GP334A3,2,2521,Hyas_coarctatus,42,7.52,Stable ~ 2.1 kts
7/13/2019,GP344F,3,10,Atlantic_cod__morue_franche,13,1.93,Stable ~ 2.2 kts
7/13/2019,GP344F,3,40,American_plaice__plie_americaine,22,5.1,Stable ~ 2.2 kts
7/13/2019,GP344F,3,201,thorny_skate__raie_epineuse,9,5.02,Stable ~ 2.2 kts
7/13/2019,GP344F,3,1823,sea_potato__patate_de_mer,1,0.12,Stable ~ 2.2 kts
7/13/2019,GP344F,3,2521,Hyas_coarctatus,3,0.34,Stable ~ 2.2 kts
7/13/2019,GP341F,4,40,American_plaice__plie_americaine,1,0.28,Accroche et force ~ 2.1 kts
7/13/2019,GP341F,4,201,thorny_skate__raie_epineuse,2,0.06,Accroche et force ~ 2.1 kts
7/13/2019,GP341F,4,202,smooth_skate__raie_lisse,1,0.02,Accroche et force ~ 2.1 kts
7/13/2019,GP335F,5,40,American_plaice__plie_americaine,78,5.29,Stable ~ 2.2 kts
7/13/2019,GP335F,5,201,thorny_skate__raie_epineuse,2,0.22,Stable ~ 2.2 kts
7/13/2019,GP335F,5,1823,sea_potato__patate_de_mer,1,0.08,Stable ~ 2.2 kts
7/13/2019,GP335F,5,2521,Hyas_coarctatus,4,0.36,Stable ~ 2.2 kts
7/13/2019,GP331F,6,10,Atlantic_cod__morue_franche,2,0.89,Stable ~ 2.2 kts
7/13/2019,GP331F,6,40,American_plaice__plie_americaine,81,5.02,Stable ~ 2.2 kts
7/13/2019,GP325F,7,40,American_plaice__plie_americaine,15,0.62,Stable ~ 2.2 kts
7/13/2019,GP326F,8,40,American_plaice__plie_americaine,35,1.75,Stable ~ 2.2 kts
7/13/2019,GP315F,9,40,American_plaice__plie_americaine,34,1.84,Stable ~ 2.1 kts
7/13/2019,GP315F,9,2521,Hyas_coarctatus,173,10.44,Stable ~ 2.1 kts
7/14/2019,GP324F,1,40,American_plaice__plie_americaine,181,16.98,Stable ~ 2.1 kts
7/14/2019,GP324F,1,201,thorny_skate__raie_epineuse,7,2.01,Stable ~ 2.1 kts
7/14/2019,GP324F,1,2521,Hyas_coarctatus,4,0.29,Stable ~ 2.1 kts
7/14/2019,GP313F,2,40,American_plaice__plie_americaine,38,2.13,Stable ~ 2.2 kts
7/14/2019,GP313F,2,201,thorny_skate__raie_epineuse,1,0.21,Stable ~ 2.2 kts
7/14/2019,GP313F,2,2521,Hyas_coarctatus,1,0.18,Stable ~ 2.2 kts
7/14/2019,GP320F,3,201,thorny_skate__raie_epineuse,1,1.85,Variable 2 a 2.4 noeuds
7/14/2019,GP320F,3,202,smooth_skate__raie_lisse,5,1.65,Variable 2 a 2.4 noeuds
7/14/2019,GP312F,4,202,smooth_skate__raie_lisse,2,0.49,Force a cause de vase ~ 2.2 kts
7/14/2019,GP316F,5,10,Atlantic_cod__morue_franche,1,1.25,Force a cause de vase ~ 2.2 kts
7/14/2019,GP316F,5,201,thorny_skate__raie_epineuse,2,0.98,Force a cause de vase ~ 2.2 kts
7/14/2019,GP316F,5,202,smooth_skate__raie_lisse,2,0.58,Force a cause de vase ~ 2.2 kts
7/14/2019,GP295F,6,10,Atlantic_cod__morue_franche,4,0.56,Stable ~ 2.2 kts
7/14/2019,GP295F,6,40,American_plaice__plie_americaine,69,6,Stable ~ 2.2 kts
7/14/2019,GP295F,6,201,thorny_skate__raie_epineuse,13,2.02,Stable ~ 2.2 kts
7/14/2019,GP293F,7,201,thorny_skate__raie_epineuse,1,0.01,Force a cause de vase ~ 2.2 kts
7/14/2019,GP282F,8,10,Atlantic_cod__morue_franche,1,0.52,Stable ~ 2.1 kts
7/14/2019,GP273F,9,40,American_plaice__plie_americaine,116,6.95,Stable ~ 2.1 kts
