year__annee,month__mois,day__jour,tow__trait,longitude,latitude,start__depart,comment__commentaire,snow_crab_males__males_de_crabe_des_neiges,snow_crab_females__females_de_crabe_des_neiges,Atlantic_cod__morue_franche,American_plaice__plie_americaine,Yellowtail_flounder__limande_a_queue_jaune,winter_flounder__plie_rouge,thorny_skate__raie_epineuset,smooth_skate__raie_lisse,longhorn_sculpin__chaboisseau_a_dix_huit_epines,sea_potato__patate_de_mer,Hyas_coarctatus
2019,7,12,GP354F,-60.3894,47.38342,5:12:29,Variable 2 a 2.4 noeuds,0,0,27,0,0,0,1,0,0,0,11
2019,7,12,GP351F,-60.4655,47.43065,6:55:00,Stable ~ 2.1 kts,64,1,6,113,0,0,16,2,0,0,0
2019,7,12,GP353FR,-60.4038,47.52278,9:50:55,Force a cause de vase ~ 2.1 kts,0,0,0,0,0,0,1,4,0,0,0
2019,7,12,GP352F,-60.4394,47.55585,11:10:07,Stable ~ 2.1 kts,18,0,1,0,0,0,1,5,0,0,0
2019,7,12,GP350F,-60.4835,47.51007,12:32:42,Stable ~ 2.2 kts,0,0,10,3,0,0,27,5,0,0,0
2019,7,12,GP346F,-60.6098,47.4811,13:56:23,Variable 2 a 2.4 noeuds,31,98,2,97,1,0,13,0,0,1,0
2019,7,12,GP342F,-60.6932,47.56932,15:07:20,Stable ~ 2.2 kts,208,10,0,88,0,0,1,0,0,0,3
2019,7,12,GP323F,-61.0044,47.62625,19:48:54,Stable ~ 2.1 kts,19,5,4,12,123,0,1,0,3,0,0
2019,7,13,GP334A3,-60.8439,47.55893,9:08:09,Stable ~ 2.1 kts,7,0,3,19,0,0,0,0,0,0,42
2019,7,13,GP344F,-60.6762,47.74118,11:23:02,Stable ~ 2.2 kts,20,6,13,22,0,0,9,0,0,1,3
2019,7,13,GP341F,-60.6904,47.81593,14:06:10,Accroche et force ~ 2.1 kts,0,0,0,1,0,0,2,1,0,0,0
2019,7,13,GP335F,-60.8326,47.76965,15:43:25,Stable ~ 2.2 kts,28,126,0,78,0,0,2,0,0,1,4
2019,7,13,GP331F,-60.9001,47.83212,16:42:53,Stable ~ 2.2 kts,41,92,2,81,0,0,0,0,0,0,0
2019,7,13,GP325F,-60.9526,47.78293,17:45:21,Stable ~ 2.2 kts,264,102,0,15,0,0,0,0,0,0,0
2019,7,13,GP326F,-60.9775,47.82098,18:58:58,Stable ~ 2.2 kts,257,51,0,35,0,0,0,0,0,0,0
2019,7,13,GP315F,-61.0899,47.84345,20:03:32,Stable ~ 2.1 kts,250,14,0,34,0,0,0,0,0,0,173
2019,7,14,GP324F,-60.9653,47.91402,5:20:39,Stable ~ 2.1 kts,18,77,0,181,0,0,7,0,0,0,4
2019,7,14,GP313F,-61.1052,47.96787,6:42:21,Stable ~ 2.2 kts,18,130,0,38,0,0,1,0,0,0,1
2019,7,14,GP320F,-61.0192,48.03373,8:10:12,Variable 2 a 2.4 noeuds,66,1,0,0,0,0,1,5,0,0,0
2019,7,14,GP312F,-61.1134,48.0789,9:53:01,Force a cause de vase ~ 2.2 kts,2,0,0,0,0,0,0,2,0,0,0
2019,7,14,GP316F,-61.2399,48.19428,11:50:00,Force a cause de vase ~ 2.2 kts,0,0,1,0,0,0,2,2,0,0,0
2019,7,14,GP295F,-61.4024,48.09492,14:07:21,Stable ~ 2.2 kts,60,13,4,69,0,0,13,0,0,0,0
2019,7,14,GP293F,-61.4303,48.21898,15:42:30,Force a cause de vase ~ 2.2 kts,1,1,0,0,0,0,1,0,0,0,0
2019,7,14,GP282F,-61.6101,48.22563,17:40:38,Stable ~ 2.1 kts,1,0,1,0,0,0,0,0,0,0,0
2019,7,14,GP273F,-61.7098,48.113,19:56:26,Stable ~ 2.1 kts,161,90,0,116,0,0,4,0,0,0,0
2019,7,15,GP269F,-61.7815,48.28447,5:26:49,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,1,1,0,0,0
2019,7,15,GP260F,-61.8845,48.23652,7:28:22,Force a cause de vase ~ 2.2 kts,5,2,0,5,0,0,49,14,0,0,0
2019,7,15,GP250F,-61.9446,48.28463,8:57:42,Force a cause de vase ~ 2.2 kts,2,1,0,6,0,0,1,2,0,0,0
2019,7,15,GP251A2,-61.9503,48.24833,12:20:18,Stable ~ 2.1 kts,0,0,0,5,0,0,37,19,0,0,0
2019,7,15,GP237F,-62.1136,48.36022,14:11:25,Accroche et force ~ 2.2 kts,0,0,0,0,0,0,0,0,0,0,0
2019,7,15,GP235F,-62.1184,48.40367,16:05:47,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,2,0,0,0,0
