year,site_name,site_latitude,site_longitude,avg_air_temp_arrival,avg_max_air_temp,avg_water_temp_shore,3SST_abundance,3SST_avg_fork_length,3SST_avg_weight,9SST_abundance,9SST_avg_fork_length,9SST_avg_weight,ALEW_abundance,ALEW_avg_fork_length,ALEW_avg_weight,AMEL_abundance,AMEL_avg_total_length,AMEL_avg_weight,AMSH_abundance,AMSH_avg_fork_length,AMSH_avg_weight,ATSA(sm)_abundance,ATSA(sm)_avg_fork_length,ATSA(sm)_avg_weight,ATSA(sal)_abundance,ATSA(sal)_avg_fork_length,ATSA(sal)_avg_weight,ATSA(pa)_abundance,ATSA(pa)_avg_fork_length,ATSA(pa)_avg_weight,BAKI_abundance,BAKI_avg_fork_length,BAKI_avg_weight,BLDA_abundance,BLDA_avg_fork_length,BLDA_avg_weight,BRKTR(pa)_abundance,BRKTR(pa)_avg_fork_length,BRKTR(pa)_avg_weight,BRKTR(res)_abundance,BRKTR(res)_avg_fork_length,BRKTR(res)_avg_weight,BRKTR(sr)_abundance,BRKTR(sr)_avg_fork_length,BRKTR(sr)_avg_weight,BRBU_abundance,BRBU_avg_fork_length,BRBU_avg_weight,COSH_abundance,COSH_avg_fork_length,COSH_avg_weight,CRAY_abundance,CRAY_avg_fork_length,CRAY_avg_weight,CRCH_abundance,CRCH_avg_fork_length,CRCH_avg_weight,FIDA_abundance,FIDA_avg_fork_length,FIDA_avg_weight,GASP_abundance,GASP_avg_fork_length,GASP_avg_weight,GOSH_abundance,GOSH_avg_fork_length,GOSH_avg_weight,LACH_abundance,LACH_avg_fork_length,LACH_avg_weight,LAMP_abundance,LAMP_avg_fork_length,LAMP_avg_weight,LOSU_abundance,LOSU_avg_fork_length,LOSU_avg_weight,MUMM_abundance,MUMM_avg_fork_length,MUMM_avg_weight,NRDA_abundance,NRDA_avg_fork_length,NRDA_avg_weight,RASM_abundance,RASM_avg_fork_length,RASM_avg_weight,RATR(res)_abundance,RATR(res)_avg_fork_length,RATR(res)_avg_weight,RATR(pa)_abundance,RATR(pa)_avg_fork_length,RATR(pa)_avg_weight,ROWH_abundance,ROWH_avg_fork_length,ROWH_avg_weight,SALA_abundance,SALA_avg_fork_length,SALA_avg_weight,SELA_abundance,SELA_avg_fork_length,SELA_avg_weight,SELA(am)_abundance,SELA(am)_avg_fork_length,SELA(am)_avg_weight,SELA(si)_abundance,SELA(si)_avg_fork_length,SELA(si)_avg_weight,SLSC_abundance,SLSC_avg_fork_length,SLSC_avg_weight,STIC_abundance,STIC_avg_fork_length,STIC_avg_weight,SUCK_abundance,SUCK_avg_fork_length,SUCK_avg_weight,WHSU_abundance,WHSU_avg_fork_length,WHSU_avg_weight,YEPE_abundance,YEPE_avg_fork_length,YEPE_avg_weight
2002,Butters-RST (Restigouche River),47.9867,-66.8023,16.702,22.227,15.836,,,,,,,3,138.500,,429,263.368,,1,,,692,128.650,,,,,320,78.533,,6,,,189,,,14,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,730,,,1183,,,,,,,,,,,,,,,,,,,,,,,,1,,,1645,,,12,,,,,,,,
2002,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,9.400,14.183,8.014,,,,,,,,,,72,299.722,,,,,1279,126.758,18.358,,,,1375,60.333,,,,,64,59.333,,2,53.500,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,2,275.000,,1,,,,,,39,,,11,,,3,,,14,,,6,37.000,,2,,,,,
2002,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Moses-RST (Restigouche River),47.9971,-66.8159,11.905,20.235,11.025,,,,,,,,,,32,250.938,,,,,86,127.135,,,,,93,66.400,,1,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
2002,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Butters-RST (Restigouche River),47.9867,-66.8023,10.024,22.432,10.537,,,,,,,1,,,184,280.272,,,,,1408,126.742,20.974,,,,300,60.014,,9,,,66,,,1,180.000,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,963,,,1018,,,,,,,,,,,,,,,,,,,,,,,,1,,,1284,,,743,,,,,,,,
2003,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,11.581,16.015,8.802,,,,,,,7,113.750,,141,331.111,,,,,1850,129.067,20.982,,,,3238,59.444,2.575,,,,60,56.000,,7,60.000,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,817,,,,,,,,,1,80.000,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,36,,,4,50.000,,13,120.000,,,,
2003,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,7.286,,,,,,,,,,1,,,,,,403,124.563,,1,,,1854,65.628,,,,,120,,,249,159.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,20,,,42,,,55,234.000,,,,,,,
2003,Moses-RST (Restigouche River),47.9971,-66.8159,11.359,22.946,10.897,,,,,,,2,,,153,277.020,,,,,2876,128.298,20.384,,,,1016,59.207,,4,,,31,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,137,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,858,,,,,,,,
2003,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
