"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year","month","number.otoliths_nombre.otolithes"
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1967,8,112
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1967,9,34
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1975,8,50
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1976,7,77
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1976,8,95
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1977,7,92
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1977,8,20
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1981,6,41
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1981,7,38
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1981,8,105
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1981,9,27
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1981,10,73
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1982,6,140
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1982,7,89
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1982,8,228
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,6,174
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,7,82
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,8,278
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,9,45
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,10,83
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1983,11,191
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1984,6,206
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1984,7,429
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1984,8,759
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1984,9,55
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1984,10,228
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,5,83
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,6,40
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,7,292
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,8,220
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,9,136
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,10,200
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1985,11,172
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,5,63
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,6,145
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,7,412
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,8,264
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,9,199
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1986,10,243
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,5,111
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,6,211
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,7,301
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,8,101
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,9,16
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,10,276
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1987,11,36
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,5,21
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,6,303
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,7,143
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,8,49
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,9,33
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1988,10,95
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1989,5,147
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1989,6,398
